response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
28.0137,0.0294,0.0011,0.0001,27.9839,0.0001,200,0.0003
28.3543,0.0343,0.0013,0.0001,28.3197,0.0001,200,0.0003
26.6528,0.0280,0.0011,0.0001,26.6245,0.0001,200,0.0003
26.6721,0.0344,0.0013,0.0001,26.6375,0.0001,200,0.0002
26.9126,0.0286,0.0013,0.0001,26.8836,0.0001,200,0.0003
28.1669,0.0345,0.0011,0.0001,28.1320,0.0002,200,0.0003
27.0185,0.0334,0.0010,0.0001,26.9847,0.0001,200,0.0003
27.3322,0.0353,0.0012,0.0001,27.2966,0.0001,200,0.0003
27.9361,0.0390,0.0012,0.0001,27.8967,0.0001,200,0.0003
27.8367,0.0285,0.0018,0.0001,27.8079,0.0001,200,0.0003
29.4163,0.0265,0.0011,0.0002,29.3893,0.0002,200,0.0003
28.2377,0.0408,0.0013,0.0001,28.1964,0.0002,200,0.0003
28.6713,0.0286,0.0012,0.0001,28.6422,0.0002,200,0.0003
27.1823,0.0285,0.0012,0.0001,27.1534,0.0002,200,0.0003
28.0079,0.0288,0.0011,0.0001,27.9789,0.0001,200,0.0002
28.4882,0.0354,0.0011,0.0001,28.4524,0.0002,200,0.0003
28.1916,0.0286,0.0012,0.0001,28.1627,0.0001,200,0.0004
26.9452,0.0339,0.0013,0.0001,26.9109,0.0002,200,0.0003
28.2240,0.0353,0.0011,0.0001,28.1884,0.0002,200,0.0003
28.5561,0.0408,0.0013,0.0001,28.5149,0.0002,200,0.0003
29.3671,0.0282,0.0015,0.0001,29.3385,0.0002,200,0.0003
27.5074,0.0349,0.0011,0.0001,27.4722,0.0002,200,0.0003
28.9305,0.0338,0.0012,0.0001,28.8965,0.0001,200,0.0003
28.1962,0.0339,0.0013,0.0001,28.1619,0.0002,200,0.0003
27.1477,0.0293,0.0012,0.0001,27.1180,0.0002,200,0.0004
28.0916,0.0286,0.0013,0.0001,28.0627,0.0001,200,0.0003
29.4352,0.0352,0.0012,0.0001,29.3998,0.0001,200,0.0002
28.5919,0.0287,0.0011,0.0001,28.5628,0.0001,200,0.0003
28.4847,0.0336,0.0012,0.0001,28.4509,0.0001,200,0.0003
28.4198,0.0357,0.0012,0.0001,28.3838,0.0001,200,0.0002
28.1941,0.0326,0.0013,0.0001,28.1609,0.0002,200,0.0003
28.2789,0.0293,0.0013,0.0001,28.2493,0.0001,200,0.0002
29.6126,0.0348,0.0012,0.0001,29.5775,0.0002,200,0.0003
27.8355,0.0344,0.0014,0.0001,27.8007,0.0001,200,0.0004
27.9973,0.0283,0.0011,0.0001,27.9687,0.0001,200,0.0002
27.9008,0.0368,0.0012,0.0001,27.8636,0.0001,200,0.0003
28.2493,0.0283,0.0012,0.0001,28.2206,0.0001,200,0.0003
27.2623,0.0350,0.0011,0.0001,27.2270,0.0001,200,0.0003
27.4611,0.0375,0.0013,0.0001,27.4232,0.0002,200,0.0003
28.5325,0.0296,0.0011,0.0001,28.5026,0.0001,200,0.0003
29.0795,0.0338,0.0012,0.0001,29.0454,0.0001,200,0.0003
27.5459,0.0273,0.0011,0.0001,27.5183,0.0001,200,0.0003
27.6992,0.0289,0.0012,0.0001,27.6699,0.0001,200,0.0003
28.2735,0.0283,0.0014,0.0001,28.2448,0.0001,200,0.0003
29.0758,0.0347,0.0013,0.0001,29.0409,0.0001,200,0.0003
28.0668,0.0381,0.0012,0.0001,28.0284,0.0001,200,0.0003
28.7744,0.0334,0.0012,0.0001,28.7407,0.0002,200,0.0003
27.8684,0.0288,0.0011,0.0001,27.8392,0.0002,200,0.0003
27.2801,0.0351,0.0014,0.0001,27.2445,0.0003,200,0.0002
27.0664,0.0406,0.0011,0.0001,27.0256,0.0001,200,0.0002
29.1220,0.0283,0.0012,0.0001,29.0933,0.0002,200,0.0003
26.3725,0.0291,0.0011,0.0001,26.3430,0.0002,200,0.0002
28.0545,0.0353,0.0013,0.0001,28.0187,0.0002,200,0.0003
27.8670,0.0345,0.0011,0.0001,27.8322,0.0001,200,0.0003
28.4457,0.0350,0.0013,0.0001,28.4101,0.0002,200,0.0003
26.4436,0.0285,0.0013,0.0001,26.4148,0.0001,200,0.0002
27.4692,0.0296,0.0012,0.0001,27.4392,0.0002,200,0.0003
29.0701,0.0369,0.0012,0.0001,29.0329,0.0001,200,0.0003
26.6216,0.0281,0.0014,0.0001,26.5931,0.0001,200,0.0003
28.3631,0.0309,0.0011,0.0001,28.3318,0.0002,200,0.0003
27.1140,0.0267,0.0013,0.0001,27.0869,0.0001,200,0.0003
27.0229,0.0282,0.0015,0.0001,26.9943,0.0002,200,0.0003
26.6782,0.0281,0.0014,0.0002,26.6495,0.0002,200,0.0004
27.3047,0.0377,0.0012,0.0001,27.2667,0.0001,200,0.0003
28.6071,0.0364,0.0013,0.0001,28.5704,0.0002,200,0.0002
28.0073,0.0264,0.0012,0.0001,27.9805,0.0001,200,0.0003
27.8010,0.0350,0.0012,0.0001,27.7656,0.0002,200,0.0003
27.0403,0.0365,0.0015,0.0001,27.0034,0.0001,200,0.0005
28.2734,0.0336,0.0013,0.0001,28.2394,0.0002,200,0.0003
26.4333,0.0288,0.0015,0.0001,26.4043,0.0001,200,0.0003
28.6305,0.0280,0.0012,0.0001,28.6021,0.0002,200,0.0003
26.4504,0.0340,0.0014,0.0001,26.4160,0.0001,200,0.0004
29.0487,0.0286,0.0013,0.0001,29.0198,0.0002,200,0.0003
27.0738,0.0303,0.0011,0.0001,27.0430,0.0002,200,0.0003
28.8769,0.0378,0.0013,0.0001,28.8388,0.0002,200,0.0003
28.7660,0.0281,0.0010,0.0001,28.7375,0.0001,200,0.0003
27.8041,0.0361,0.0015,0.0001,27.7675,0.0002,200,0.0003
28.3338,0.0355,0.0012,0.0001,28.2980,0.0001,200,0.0003
27.9093,0.0284,0.0010,0.0001,27.8806,0.0001,200,0.0003
29.1904,0.0297,0.0015,0.0001,29.1603,0.0001,200,0.0003
27.2785,0.0344,0.0012,0.0001,27.2436,0.0001,200,0.0003
27.7651,0.0337,0.0012,0.0001,27.7310,0.0001,200,0.0003
28.2758,0.0294,0.0016,0.0001,28.2460,0.0002,200,0.0003
27.6896,0.0290,0.0013,0.0001,27.6603,0.0002,200,0.0003
28.7415,0.0360,0.0015,0.0001,28.7051,0.0001,200,0.0003
28.2309,0.0322,0.0012,0.0001,28.1983,0.0001,200,0.0003
28.5869,0.0292,0.0013,0.0001,28.5574,0.0001,200,0.0003
28.3088,0.0286,0.0010,0.0001,28.2799,0.0001,200,0.0003
28.4931,0.0279,0.0012,0.0001,28.4649,0.0002,200,0.0003
26.8117,0.0289,0.0011,0.0001,26.7826,0.0001,200,0.0003
27.3835,0.0343,0.0011,0.0001,27.3488,0.0003,200,0.0003
27.0432,0.0296,0.0019,0.0001,27.0132,0.0002,200,0.0003
27.7185,0.0365,0.0011,0.0001,27.6815,0.0001,200,0.0003
28.0035,0.0288,0.0012,0.0001,27.9743,0.0001,200,0.0003
28.3394,0.0252,0.0012,0.0001,28.3138,0.0002,200,0.0003
27.1086,0.0340,0.0010,0.0001,27.0743,0.0001,200,0.0003
28.3514,0.0340,0.0011,0.0001,28.3169,0.0002,200,0.0003
28.4152,0.0335,0.0013,0.0001,28.3815,0.0001,200,0.0002
27.9156,0.0344,0.0013,0.0001,27.8809,0.0002,200,0.0003
28.3931,0.0282,0.0012,0.0001,28.3644,0.0002,200,0.0003
