response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.0391,0.0335,0.0013,0.0001,7.0053,0.0001,200,0.0003
7.8411,0.0267,0.0011,0.0001,7.8140,0.0002,200,0.0003
7.6766,0.0407,0.0011,0.0001,7.6355,0.0002,200,0.0002
8.0345,0.0342,0.0011,0.0001,8.0001,0.0001,200,0.0003
6.4156,0.0327,0.0012,0.0001,6.3827,0.0001,200,0.0003
7.5718,0.0285,0.0012,0.0001,7.5430,0.0002,200,0.0003
6.3149,0.0282,0.0011,0.0001,6.2864,0.0002,200,0.0003
6.3371,0.0359,0.0013,0.0001,6.3008,0.0002,200,0.0003
6.9180,0.0377,0.0013,0.0001,6.8798,0.0002,200,0.0003
7.3348,0.0354,0.0013,0.0001,7.2992,0.0001,200,0.0003
6.8978,0.0287,0.0012,0.0001,6.8685,0.0002,200,0.0003
6.0183,0.0357,0.0013,0.0001,5.9824,0.0001,200,0.0002
7.2663,0.0335,0.0013,0.0001,7.2326,0.0001,200,0.0003
8.1386,0.0282,0.0011,0.0001,8.1099,0.0002,200,0.0003
8.0114,0.0292,0.0013,0.0001,7.9820,0.0001,200,0.0003
7.7929,0.0288,0.0013,0.0001,7.7638,0.0002,200,0.0003
7.1310,0.0276,0.0015,0.0001,7.1030,0.0002,200,0.0003
7.4839,0.0371,0.0012,0.0001,7.4464,0.0002,200,0.0003
6.4523,0.0280,0.0011,0.0001,6.4239,0.0001,200,0.0003
7.5421,0.0340,0.0012,0.0002,7.5077,0.0002,200,0.0003
7.5309,0.0273,0.0011,0.0001,7.5033,0.0001,200,0.0003
7.6422,0.0386,0.0012,0.0001,7.6032,0.0002,200,0.0002
6.5309,0.0363,0.0011,0.0001,6.4943,0.0001,200,0.0004
6.3335,0.0335,0.0012,0.0001,6.2996,0.0002,200,0.0005
6.2374,0.0384,0.0015,0.0001,6.1987,0.0002,200,0.0003
7.4890,0.0282,0.0011,0.0001,7.4604,0.0002,200,0.0003
7.2389,0.0366,0.0011,0.0001,7.2020,0.0001,200,0.0003
6.2211,0.0283,0.0012,0.0001,6.1924,0.0002,200,0.0003
