response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.0262,0.0283,0.0014,0.0001,11.9975,0.0002,200,0.0003
11.9826,0.0361,0.0010,0.0001,11.9461,0.0002,200,0.0003
13.0669,0.0343,0.0012,0.0001,13.0322,0.0002,200,0.0003
14.9055,0.0277,0.0011,0.0001,14.8775,0.0002,200,0.0003
12.0189,0.0263,0.0013,0.0001,11.9921,0.0002,200,0.0003
13.2625,0.0372,0.0013,0.0001,13.2250,0.0001,200,0.0003
13.4861,0.0285,0.0014,0.0001,13.4571,0.0002,200,0.0003
12.5635,0.0288,0.0013,0.0001,12.5342,0.0002,200,0.0003
12.8782,0.0286,0.0012,0.0001,12.8491,0.0002,200,0.0003
13.8340,0.0346,0.0012,0.0001,13.7989,0.0002,200,0.0003
14.0567,0.0346,0.0013,0.0001,14.0217,0.0002,200,0.0003
12.0662,0.0289,0.0012,0.0001,12.0368,0.0001,200,0.0003
11.9273,0.0337,0.0012,0.0001,11.8933,0.0002,200,0.0003
14.1041,0.0326,0.0011,0.0001,14.0710,0.0003,200,0.0002
13.1893,0.0339,0.0014,0.0002,13.1549,0.0002,200,0.0002
13.6126,0.0282,0.0011,0.0001,13.5841,0.0002,200,0.0003
14.1855,0.0344,0.0012,0.0001,14.1509,0.0001,200,0.0002
13.4557,0.0254,0.0014,0.0001,13.4299,0.0001,200,0.0004
12.6589,0.0396,0.0012,0.0001,12.6190,0.0002,200,0.0003
13.0948,0.0349,0.0011,0.0001,13.0594,0.0002,200,0.0003
12.9957,0.0340,0.0012,0.0001,12.9613,0.0001,200,0.0003
12.7064,0.0395,0.0012,0.0001,12.6666,0.0001,200,0.0003
13.0572,0.0348,0.0011,0.0001,13.0221,0.0001,200,0.0002
12.8515,0.0342,0.0011,0.0002,12.8170,0.0001,200,0.0003
12.7035,0.0285,0.0012,0.0001,12.6746,0.0002,200,0.0003
13.0154,0.0358,0.0011,0.0001,12.9793,0.0001,200,0.0003
13.2441,0.0351,0.0015,0.0001,13.2087,0.0001,200,0.0003
12.0641,0.0369,0.0018,0.0001,12.0269,0.0001,200,0.0003
13.7338,0.0337,0.0010,0.0001,13.6997,0.0001,200,0.0003
12.3184,0.0353,0.0011,0.0001,12.2828,0.0002,200,0.0003
13.8032,0.0359,0.0013,0.0001,13.7668,0.0002,200,0.0003
12.7198,0.0343,0.0014,0.0001,12.6852,0.0001,200,0.0003
14.1497,0.0352,0.0013,0.0001,14.1142,0.0001,200,0.0003
12.5895,0.0291,0.0014,0.0001,12.5601,0.0002,200,0.0002
12.5937,0.0284,0.0013,0.0001,12.5650,0.0002,200,0.0003
13.7898,0.0404,0.0011,0.0001,13.7489,0.0001,200,0.0003
13.5378,0.0346,0.0012,0.0001,13.5028,0.0002,200,0.0003
14.0637,0.0289,0.0014,0.0001,14.0344,0.0002,200,0.0003
13.2707,0.0411,0.0014,0.0001,13.2292,0.0002,200,0.0003
13.1674,0.0245,0.0011,0.0001,13.1425,0.0002,200,0.0004
12.5645,0.0351,0.0012,0.0001,12.5289,0.0003,200,0.0004
13.6655,0.0352,0.0015,0.0001,13.6299,0.0002,200,0.0004
13.1829,0.0292,0.0012,0.0002,13.1532,0.0002,200,0.0003
13.2188,0.0289,0.0013,0.0001,13.1895,0.0001,200,0.0003
13.4924,0.0283,0.0012,0.0001,13.4638,0.0001,200,0.0003
14.1540,0.0289,0.0013,0.0001,14.1246,0.0002,200,0.0003
14.0645,0.0286,0.0012,0.0001,14.0357,0.0001,200,0.0003
13.3310,0.0382,0.0012,0.0001,13.2924,0.0002,200,0.0003
13.2394,0.0405,0.0012,0.0001,13.1985,0.0001,200,0.0003
12.8867,0.0360,0.0012,0.0001,12.8503,0.0001,200,0.0002
12.9926,0.0387,0.0012,0.0001,12.9535,0.0002,200,0.0004
12.4887,0.0389,0.0015,0.0001,12.4495,0.0001,200,0.0003
14.6053,0.0342,0.0012,0.0001,14.5707,0.0001,200,0.0003
