response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.6415,0.0355,0.0012,0.0001,8.6055,0.0002,200,0.0003
10.4717,0.0305,0.0011,0.0001,10.4408,0.0001,200,0.0003
10.0834,0.0275,0.0015,0.0001,10.0554,0.0002,200,0.0003
9.7372,0.0333,0.0012,0.0001,9.7035,0.0002,200,0.0003
9.0371,0.0283,0.0012,0.0001,9.0084,0.0002,200,0.0003
9.5015,0.0289,0.0013,0.0001,9.4724,0.0002,200,0.0003
8.7437,0.0289,0.0012,0.0001,8.7145,0.0001,200,0.0003
9.3628,0.0282,0.0012,0.0001,9.3343,0.0001,200,0.0003
9.2511,0.0339,0.0013,0.0001,9.2169,0.0001,200,0.0003
9.2968,0.0357,0.0014,0.0001,9.2607,0.0002,200,0.0002
9.8793,0.0288,0.0011,0.0001,9.8501,0.0002,200,0.0003
9.7764,0.0355,0.0013,0.0001,9.7406,0.0002,200,0.0003
9.5523,0.0293,0.0013,0.0001,9.5227,0.0002,200,0.0003
10.3309,0.0344,0.0011,0.0001,10.2962,0.0001,200,0.0003
8.6188,0.0405,0.0012,0.0001,8.5780,0.0001,200,0.0003
9.7647,0.0295,0.0011,0.0001,9.7348,0.0001,200,0.0003
10.5665,0.0284,0.0013,0.0001,10.5376,0.0002,200,0.0003
9.7887,0.0361,0.0013,0.0001,9.7522,0.0002,200,0.0002
10.0485,0.0331,0.0014,0.0002,10.0149,0.0002,200,0.0003
9.1400,0.0404,0.0012,0.0001,9.0993,0.0002,200,0.0003
10.1770,0.0292,0.0016,0.0001,10.1473,0.0002,200,0.0003
9.8157,0.0281,0.0012,0.0001,9.7873,0.0001,200,0.0003
9.7231,0.0279,0.0011,0.0001,9.6948,0.0002,200,0.0003
10.1460,0.0306,0.0019,0.0001,10.1151,0.0001,200,0.0003
8.8583,0.0310,0.0012,0.0001,8.8270,0.0002,200,0.0002
8.7435,0.0288,0.0011,0.0001,8.7144,0.0001,200,0.0003
8.8226,0.0296,0.0011,0.0001,8.7927,0.0002,200,0.0002
9.1139,0.0338,0.0013,0.0001,9.0798,0.0001,200,0.0003
10.1766,0.0347,0.0012,0.0001,10.1414,0.0002,200,0.0003
10.0586,0.0345,0.0011,0.0001,10.0236,0.0002,200,0.0003
9.9296,0.0381,0.0011,0.0001,9.8911,0.0001,200,0.0003
9.4328,0.0358,0.0013,0.0001,9.3967,0.0002,200,0.0003
9.8006,0.0380,0.0011,0.0002,9.7623,0.0001,200,0.0003
9.2340,0.0330,0.0011,0.0001,9.2007,0.0001,200,0.0003
8.9079,0.0289,0.0012,0.0001,8.8786,0.0002,200,0.0002
10.2756,0.0274,0.0010,0.0001,10.2479,0.0002,200,0.0003
10.0063,0.0281,0.0013,0.0001,9.9777,0.0003,200,0.0003
9.8812,0.0299,0.0012,0.0001,9.8508,0.0002,200,0.0003
8.4597,0.0286,0.0013,0.0001,8.4307,0.0001,200,0.0003
9.2506,0.0300,0.0015,0.0001,9.2202,0.0002,200,0.0002
10.5165,0.0282,0.0013,0.0001,10.4880,0.0001,200,0.0003
9.7226,0.0256,0.0012,0.0001,9.6966,0.0001,200,0.0003
8.9170,0.0278,0.0011,0.0001,8.8888,0.0002,200,0.0002
10.0917,0.0280,0.0012,0.0001,10.0632,0.0001,200,0.0003
9.9018,0.0285,0.0013,0.0001,9.8729,0.0002,200,0.0003
9.8560,0.0295,0.0012,0.0001,9.8263,0.0001,200,0.0002
8.9945,0.0291,0.0013,0.0001,8.9650,0.0002,200,0.0003
8.7698,0.0285,0.0012,0.0001,8.7410,0.0001,200,0.0003
10.2173,0.0361,0.0013,0.0001,10.1808,0.0001,200,0.0004
9.3844,0.0406,0.0011,0.0001,9.3434,0.0002,200,0.0003
10.0987,0.0344,0.0011,0.0001,10.0640,0.0001,200,0.0003
9.1173,0.0362,0.0012,0.0001,9.0806,0.0002,200,0.0003
10.4634,0.0287,0.0011,0.0001,10.4343,0.0001,200,0.0004
9.9856,0.0286,0.0013,0.0001,9.9566,0.0001,200,0.0003
10.6103,0.0328,0.0011,0.0001,10.5771,0.0001,200,0.0003
10.6583,0.0282,0.0014,0.0001,10.6298,0.0002,200,0.0003
10.4736,0.0343,0.0010,0.0001,10.4389,0.0002,200,0.0003
8.3985,0.0410,0.0012,0.0001,8.3570,0.0003,200,0.0002
9.8492,0.0282,0.0012,0.0001,9.8205,0.0002,200,0.0004
9.9436,0.0287,0.0013,0.0001,9.9145,0.0002,200,0.0003
9.8036,0.0284,0.0012,0.0001,9.7749,0.0001,200,0.0003
9.0691,0.0356,0.0015,0.0001,9.0331,0.0002,200,0.0003
8.9026,0.0288,0.0015,0.0001,8.8735,0.0001,200,0.0004
10.3300,0.0286,0.0012,0.0001,10.3011,0.0002,200,0.0003
10.0214,0.0284,0.0012,0.0001,9.9928,0.0001,200,0.0003
8.2666,0.0350,0.0011,0.0001,8.2314,0.0001,200,0.0003
9.1420,0.0362,0.0010,0.0001,9.1055,0.0001,200,0.0003
9.8058,0.0350,0.0012,0.0001,9.7705,0.0001,200,0.0003
9.5751,0.0360,0.0014,0.0001,9.5388,0.0001,200,0.0003
10.4209,0.0351,0.0012,0.0001,10.3854,0.0002,200,0.0003
9.5978,0.0415,0.0018,0.0001,9.5560,0.0001,200,0.0003
9.2768,0.0342,0.0012,0.0002,9.2421,0.0001,200,0.0003
8.7109,0.0288,0.0013,0.0001,8.6818,0.0001,200,0.0002
10.1620,0.0341,0.0013,0.0001,10.1275,0.0002,200,0.0003
8.3257,0.0354,0.0013,0.0001,8.2899,0.0001,200,0.0003
10.3079,0.0280,0.0011,0.0001,10.2795,0.0001,200,0.0003
10.4264,0.0296,0.0013,0.0001,10.3964,0.0002,200,0.0003
9.5783,0.0345,0.0012,0.0001,9.5432,0.0003,200,0.0003
8.5342,0.0284,0.0013,0.0001,8.5054,0.0002,200,0.0003
9.1290,0.0357,0.0013,0.0001,9.0929,0.0001,200,0.0003
10.1418,0.0356,0.0011,0.0001,10.1059,0.0002,200,0.0003
8.2630,0.0297,0.0013,0.0001,8.2330,0.0002,200,0.0003
9.0698,0.0278,0.0013,0.0001,9.0416,0.0001,200,0.0003
10.1641,0.0349,0.0017,0.0001,10.1288,0.0002,200,0.0003
9.8775,0.0348,0.0014,0.0001,9.8422,0.0001,200,0.0003
8.8323,0.0297,0.0011,0.0001,8.8021,0.0002,200,0.0002
9.5125,0.0344,0.0014,0.0001,9.4778,0.0001,200,0.0003
10.7379,0.0355,0.0012,0.0001,10.7019,0.0002,200,0.0003
8.9358,0.0354,0.0012,0.0001,8.9000,0.0001,200,0.0003
9.5633,0.0339,0.0011,0.0001,9.5291,0.0001,200,0.0003
