response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.3902,0.0348,0.0013,0.0001,11.3549,0.0002,200,0.0003
12.8878,0.0335,0.0012,0.0001,12.8539,0.0002,200,0.0003
11.1134,0.0395,0.0011,0.0001,11.0736,0.0002,200,0.0003
11.3175,0.0299,0.0013,0.0001,11.2872,0.0001,200,0.0003
11.5867,0.0366,0.0010,0.0001,11.5499,0.0001,200,0.0003
12.0101,0.0291,0.0014,0.0001,11.9806,0.0002,200,0.0003
11.1268,0.0340,0.0011,0.0001,11.0924,0.0001,200,0.0003
11.5262,0.0352,0.0012,0.0001,11.4905,0.0002,200,0.0003
11.5229,0.0320,0.0012,0.0001,11.4906,0.0002,200,0.0003
10.6654,0.0359,0.0018,0.0001,10.6290,0.0001,200,0.0003
10.8230,0.0344,0.0013,0.0001,10.7882,0.0003,200,0.0003
10.9103,0.0379,0.0012,0.0001,10.8720,0.0002,200,0.0003
11.7276,0.0352,0.0012,0.0001,11.6921,0.0001,200,0.0003
11.8044,0.0341,0.0013,0.0001,11.7700,0.0002,200,0.0003
11.5955,0.0348,0.0012,0.0001,11.5601,0.0003,200,0.0003
11.0341,0.0390,0.0012,0.0001,10.9946,0.0003,200,0.0002
11.8363,0.0283,0.0013,0.0001,11.8077,0.0001,200,0.0002
11.5724,0.0272,0.0011,0.0001,11.5449,0.0002,200,0.0003
11.7071,0.0279,0.0012,0.0001,11.6788,0.0001,200,0.0003
12.4816,0.0283,0.0011,0.0001,12.4530,0.0002,200,0.0003
11.1132,0.0359,0.0016,0.0001,11.0769,0.0003,200,0.0003
11.5720,0.0228,0.0013,0.0001,11.5489,0.0001,200,0.0003
11.6532,0.0291,0.0011,0.0001,11.6236,0.0001,200,0.0003
11.5132,0.0300,0.0012,0.0001,11.4828,0.0002,200,0.0003
12.2305,0.0281,0.0013,0.0001,12.2020,0.0001,200,0.0003
11.8188,0.0387,0.0012,0.0001,11.7798,0.0001,200,0.0003
10.8353,0.0294,0.0011,0.0001,10.8056,0.0001,200,0.0003
12.1152,0.0285,0.0012,0.0001,12.0865,0.0001,200,0.0003
12.4762,0.0295,0.0012,0.0001,12.4464,0.0001,200,0.0003
11.5343,0.0375,0.0014,0.0001,11.4964,0.0001,200,0.0003
11.2558,0.0352,0.0012,0.0001,11.2202,0.0002,200,0.0003
12.3442,0.0352,0.0014,0.0001,12.3086,0.0001,200,0.0003
11.5085,0.0362,0.0011,0.0003,11.4717,0.0002,200,0.0003
11.2431,0.0293,0.0012,0.0001,11.2134,0.0001,200,0.0004
10.7932,0.0337,0.0013,0.0001,10.7592,0.0001,200,0.0002
11.7475,0.0346,0.0011,0.0001,11.7125,0.0001,200,0.0003
10.3612,0.0379,0.0011,0.0001,10.3230,0.0002,200,0.0003
11.9518,0.0277,0.0012,0.0001,11.9238,0.0001,200,0.0002
12.2655,0.0359,0.0012,0.0001,12.2294,0.0001,200,0.0003
12.5473,0.0331,0.0012,0.0001,12.5139,0.0002,200,0.0003
11.7461,0.0285,0.0013,0.0001,11.7170,0.0002,200,0.0004
10.7309,0.0340,0.0014,0.0001,10.6963,0.0003,200,0.0003
12.8497,0.0281,0.0012,0.0001,12.8211,0.0002,200,0.0003
13.6578,0.0345,0.0012,0.0001,13.6228,0.0002,200,0.0003
10.2052,0.0327,0.0013,0.0001,10.1722,0.0001,200,0.0003
11.8345,0.0326,0.0011,0.0001,11.8016,0.0001,200,0.0002
12.3665,0.0295,0.0011,0.0002,12.3365,0.0002,200,0.0003
10.6360,0.0348,0.0011,0.0001,10.6009,0.0001,200,0.0003
12.1103,0.0360,0.0012,0.0001,12.0738,0.0002,200,0.0003
