response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.0497,0.0358,0.0012,0.0001,7.0134,0.0002,500,0.0003
5.0038,0.0342,0.0013,0.0001,4.9693,0.0002,500,0.0003
6.0169,0.0290,0.0012,0.0001,5.9877,0.0001,500,0.0003
6.1099,0.0273,0.0011,0.0001,6.0823,0.0001,500,0.0003
5.6142,0.0342,0.0013,0.0001,5.5796,0.0001,500,0.0003
5.9180,0.0348,0.0012,0.0001,5.8828,0.0002,500,0.0003
7.3337,0.0353,0.0012,0.0001,7.2981,0.0001,500,0.0003
5.3175,0.0405,0.0012,0.0001,5.2768,0.0001,500,0.0003
5.2181,0.0359,0.0014,0.0001,5.1818,0.0002,500,0.0004
5.8191,0.0342,0.0012,0.0001,5.7844,0.0001,500,0.0003
5.9261,0.0290,0.0016,0.0001,5.8967,0.0002,500,0.0003
5.4169,0.0332,0.0010,0.0001,5.3834,0.0001,500,0.0004
5.7099,0.0279,0.0013,0.0001,5.6816,0.0002,500,0.0003
6.7236,0.0278,0.0013,0.0001,6.6955,0.0001,500,0.0003
7.1310,0.0393,0.0020,0.0001,7.0912,0.0002,500,0.0003
36.0249,0.0266,0.0010,0.0002,35.9977,0.0003,200,0.0003
47.3447,0.0340,0.0013,0.0001,47.3104,0.0002,200,0.0003
35.6301,0.0347,0.0011,0.0001,35.5951,0.0001,200,0.0003
35.5211,0.0291,0.0013,0.0001,35.4917,0.0002,200,0.0003
36.2287,0.0280,0.0011,0.0001,36.2004,0.0001,200,0.0002
36.7397,0.0321,0.0015,0.0001,36.7071,0.0001,200,0.0003
35.6281,0.0347,0.0012,0.0001,35.5931,0.0001,200,0.0003
36.5407,0.0351,0.0011,0.0001,36.5053,0.0001,200,0.0003
35.5235,0.0338,0.0015,0.0001,35.4892,0.0002,200,0.0003
35.2247,0.0345,0.0013,0.0001,35.1898,0.0002,200,0.0003
36.3454,0.0289,0.0011,0.0001,36.3162,0.0001,200,0.0003
35.9250,0.0282,0.0013,0.0001,35.8964,0.0001,200,0.0003
36.6461,0.0359,0.0011,0.0001,36.6099,0.0001,200,0.0003
35.9197,0.0285,0.0011,0.0001,35.8909,0.0001,200,0.0002
36.2345,0.0293,0.0012,0.0001,36.2049,0.0002,200,0.0003
35.9291,0.0343,0.0014,0.0001,35.8946,0.0001,200,0.0003
35.4276,0.0283,0.0012,0.0001,35.3987,0.0003,200,0.0003
35.9259,0.0288,0.0010,0.0001,35.8968,0.0002,200,0.0003
36.5320,0.0287,0.0012,0.0001,36.5030,0.0001,200,0.0003
36.0264,0.0280,0.0013,0.0001,35.9979,0.0001,200,0.0003
36.4432,0.0376,0.0011,0.0001,36.4053,0.0002,200,0.0003
35.7195,0.0292,0.0011,0.0001,35.6900,0.0001,200,0.0003
36.4343,0.0349,0.0013,0.0001,36.3991,0.0001,200,0.0003
35.5284,0.0355,0.0012,0.0001,35.4925,0.0001,200,0.0002
35.9304,0.0298,0.0013,0.0001,35.9004,0.0001,200,0.0003
36.2428,0.0343,0.0013,0.0001,36.2082,0.0002,200,0.0003
36.4417,0.0391,0.0011,0.0001,36.4022,0.0002,200,0.0003
36.9407,0.0347,0.0011,0.0001,36.9057,0.0001,200,0.0003
35.2213,0.0345,0.0010,0.0001,35.1864,0.0002,200,0.0003
36.3992,0.0360,0.0013,0.0001,36.3629,0.0002,200,0.0003
36.2344,0.0365,0.0012,0.0001,36.1977,0.0001,200,0.0003
35.2389,0.0402,0.0011,0.0001,35.1983,0.0002,200,0.0003
35.7389,0.0353,0.0010,0.0001,35.7034,0.0001,200,0.0003
35.3125,0.0241,0.0012,0.0001,35.2881,0.0002,200,0.0003
35.9293,0.0287,0.0012,0.0001,35.9003,0.0002,200,0.0002
35.8829,0.0286,0.0013,0.0001,35.8539,0.0002,200,0.0003
34.8186,0.0331,0.0012,0.0001,34.7851,0.0002,200,0.0002
35.6265,0.0291,0.0014,0.0001,35.5971,0.0002,200,0.0003
35.3231,0.0290,0.0015,0.0001,35.2937,0.0001,200,0.0003
36.9562,0.0292,0.0014,0.0001,36.9267,0.0001,200,0.0003
35.6229,0.0286,0.0011,0.0001,35.5940,0.0002,200,0.0003
35.3258,0.0278,0.0014,0.0001,35.2978,0.0002,200,0.0003
36.3284,0.0277,0.0015,0.0001,36.3003,0.0001,200,0.0003
36.1252,0.0292,0.0014,0.0001,36.0956,0.0001,200,0.0003
35.1214,0.0284,0.0014,0.0001,35.0926,0.0002,200,0.0003
34.6193,0.0355,0.0014,0.0001,34.5833,0.0002,200,0.0003
35.0229,0.0356,0.0012,0.0001,34.9870,0.0001,200,0.0003
35.4183,0.0285,0.0012,0.0001,35.3895,0.0002,200,0.0003
34.7208,0.0345,0.0013,0.0001,34.6860,0.0001,200,0.0002
36.6408,0.0298,0.0013,0.0001,36.6107,0.0002,200,0.0003
36.5303,0.0278,0.0015,0.0001,36.5021,0.0002,200,0.0003
35.7350,0.0363,0.0012,0.0001,35.6984,0.0001,200,0.0003
