response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.3939,0.0343,0.0012,0.0001,9.3593,0.0001,200,0.0002
8.1650,0.0291,0.0013,0.0001,8.1356,0.0002,200,0.0003
7.1831,0.0362,0.0014,0.0001,7.1465,0.0001,200,0.0004
7.8408,0.0291,0.0013,0.0001,7.8114,0.0001,200,0.0004
7.6964,0.0354,0.0014,0.0001,7.6607,0.0002,200,0.0003
8.7737,0.0293,0.0019,0.0001,8.7439,0.0002,200,0.0003
8.8781,0.0350,0.0012,0.0001,8.8427,0.0002,200,0.0003
8.7599,0.0337,0.0011,0.0001,8.7259,0.0002,200,0.0002
8.4484,0.0349,0.0010,0.0001,8.4131,0.0002,200,0.0003
8.4721,0.0279,0.0012,0.0001,8.4438,0.0002,200,0.0003
7.4523,0.0341,0.0013,0.0001,7.4178,0.0002,200,0.0003
7.5601,0.0391,0.0013,0.0001,7.5206,0.0002,200,0.0002
8.7662,0.0279,0.0013,0.0001,8.7380,0.0001,200,0.0003
8.1615,0.0291,0.0012,0.0001,8.1320,0.0001,200,0.0004
7.3581,0.0294,0.0012,0.0001,7.3282,0.0002,200,0.0003
8.3798,0.0372,0.0011,0.0001,8.3423,0.0001,200,0.0003
7.0479,0.0356,0.0012,0.0001,7.0118,0.0003,200,0.0003
8.8795,0.0287,0.0011,0.0001,8.8504,0.0001,200,0.0003
8.6739,0.0282,0.0012,0.0001,8.6454,0.0002,200,0.0003
8.2778,0.0364,0.0013,0.0001,8.2410,0.0002,200,0.0003
7.3263,0.0279,0.0011,0.0001,7.2981,0.0001,200,0.0003
8.0852,0.0334,0.0012,0.0001,8.0514,0.0002,200,0.0003
8.2621,0.0283,0.0014,0.0001,8.2334,0.0001,200,0.0003
8.1801,0.0353,0.0012,0.0001,8.1445,0.0001,200,0.0003
8.5446,0.0291,0.0013,0.0001,8.5152,0.0001,200,0.0002
7.4912,0.0280,0.0011,0.0001,7.4629,0.0002,200,0.0003
6.7857,0.0344,0.0011,0.0001,6.7510,0.0002,200,0.0003
7.7646,0.0366,0.0014,0.0001,7.7276,0.0001,200,0.0003
8.7250,0.0278,0.0012,0.0001,8.6968,0.0002,200,0.0003
8.8836,0.0347,0.0011,0.0001,8.8486,0.0001,200,0.0003
7.6823,0.0350,0.0012,0.0001,7.6470,0.0001,200,0.0003
7.3488,0.0285,0.0010,0.0001,7.3199,0.0001,200,0.0003
6.8725,0.0293,0.0012,0.0001,6.8428,0.0002,200,0.0003
6.7873,0.0282,0.0013,0.0001,6.7587,0.0001,200,0.0003
8.2806,0.0286,0.0012,0.0001,8.2517,0.0002,200,0.0004
7.2749,0.0355,0.0012,0.0001,7.2391,0.0002,200,0.0003
8.8205,0.0339,0.0012,0.0001,8.7861,0.0002,200,0.0003
7.3326,0.0270,0.0018,0.0001,7.3052,0.0001,200,0.0002
7.6615,0.0377,0.0012,0.0001,7.6236,0.0001,200,0.0003
9.0921,0.0406,0.0012,0.0001,9.0510,0.0002,200,0.0003
7.6485,0.0292,0.0012,0.0001,7.6189,0.0002,200,0.0003
8.2179,0.0362,0.0013,0.0001,8.1814,0.0002,200,0.0002
8.2660,0.0340,0.0011,0.0001,8.2317,0.0002,200,0.0003
8.4021,0.0285,0.0014,0.0001,8.3731,0.0001,200,0.0003
8.8885,0.0276,0.0012,0.0001,8.8604,0.0003,200,0.0003
8.9225,0.0334,0.0012,0.0001,8.8888,0.0002,200,0.0002
8.5883,0.0348,0.0012,0.0001,8.5530,0.0003,200,0.0002
8.1406,0.0277,0.0011,0.0001,8.1126,0.0002,200,0.0003
8.3634,0.0279,0.0012,0.0001,8.3352,0.0001,200,0.0002
8.0790,0.0342,0.0012,0.0001,8.0445,0.0001,200,0.0003
8.3011,0.0276,0.0012,0.0001,8.2731,0.0002,200,0.0003
7.2036,0.0293,0.0012,0.0001,7.1739,0.0001,200,0.0003
8.3495,0.0352,0.0014,0.0001,8.3140,0.0002,200,0.0003
8.0529,0.0286,0.0011,0.0001,8.0239,0.0001,200,0.0004
7.7741,0.0343,0.0013,0.0001,7.7394,0.0001,200,0.0003
8.6712,0.0285,0.0013,0.0001,8.6424,0.0002,200,0.0002
7.1789,0.0393,0.0013,0.0001,7.1393,0.0002,200,0.0002
