response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.9517,0.0281,0.0012,0.0001,9.9233,0.0001,200,0.0003
9.0625,0.0348,0.0014,0.0001,9.0273,0.0002,200,0.0003
8.8333,0.0287,0.0014,0.0001,8.8042,0.0001,200,0.0003
10.1827,0.0295,0.0011,0.0001,10.1527,0.0003,200,0.0003
8.1982,0.0406,0.0011,0.0001,8.1573,0.0001,200,0.0003
8.1161,0.0360,0.0019,0.0001,8.0798,0.0002,200,0.0003
9.0133,0.0286,0.0012,0.0001,8.9844,0.0001,200,0.0003
8.7578,0.0375,0.0012,0.0001,8.7200,0.0002,200,0.0003
9.9340,0.0344,0.0012,0.0001,9.8991,0.0002,200,0.0003
7.7575,0.0331,0.0011,0.0001,7.7241,0.0002,200,0.0003
8.0795,0.0281,0.0012,0.0001,8.0511,0.0002,200,0.0003
9.8012,0.0292,0.0013,0.0001,9.7714,0.0002,200,0.0004
9.0183,0.0276,0.0015,0.0001,8.9905,0.0001,200,0.0003
9.3805,0.0288,0.0012,0.0001,9.3513,0.0002,200,0.0003
8.6985,0.0348,0.0013,0.0001,8.6633,0.0001,200,0.0003
9.7458,0.0373,0.0010,0.0001,9.7081,0.0002,200,0.0004
10.2673,0.0335,0.0014,0.0001,10.2335,0.0002,200,0.0002
9.4359,0.0337,0.0010,0.0001,9.4020,0.0001,200,0.0003
10.4432,0.0281,0.0012,0.0001,10.4147,0.0003,200,0.0003
9.8729,0.0360,0.0015,0.0001,9.8365,0.0002,200,0.0003
8.5040,0.0340,0.0013,0.0001,8.4695,0.0002,200,0.0003
9.8321,0.0283,0.0012,0.0001,9.8035,0.0002,200,0.0002
9.1318,0.0296,0.0012,0.0001,9.1019,0.0001,200,0.0003
9.3758,0.0373,0.0020,0.0001,9.3381,0.0001,200,0.0003
9.3841,0.0351,0.0012,0.0001,9.3486,0.0001,200,0.0003
10.1528,0.0376,0.0012,0.0001,10.1148,0.0001,200,0.0003
9.0267,0.0283,0.0012,0.0001,8.9981,0.0002,200,0.0003
8.3163,0.0339,0.0012,0.0001,8.2819,0.0002,200,0.0003
9.5831,0.0342,0.0013,0.0001,9.5484,0.0002,200,0.0004
9.2759,0.0291,0.0012,0.0001,9.2465,0.0001,200,0.0003
8.9972,0.0357,0.0011,0.0002,8.9611,0.0002,200,0.0002
9.5400,0.0370,0.0010,0.0001,9.5027,0.0001,200,0.0004
9.5145,0.0290,0.0015,0.0001,9.4851,0.0002,200,0.0003
9.4059,0.0292,0.0010,0.0001,9.3763,0.0001,200,0.0003
8.2973,0.0286,0.0012,0.0001,8.2684,0.0002,200,0.0002
8.1785,0.0292,0.0012,0.0001,8.1490,0.0002,200,0.0002
9.4723,0.0283,0.0013,0.0001,9.4437,0.0001,200,0.0003
9.2185,0.0378,0.0020,0.0001,9.1803,0.0001,200,0.0003
9.3668,0.0275,0.0011,0.0001,9.3390,0.0001,200,0.0003
9.0671,0.0273,0.0013,0.0001,9.0395,0.0002,200,0.0002
9.7379,0.0282,0.0013,0.0001,9.7093,0.0002,200,0.0003
9.7336,0.0326,0.0012,0.0001,9.7006,0.0002,200,0.0002
10.1061,0.0282,0.0013,0.0001,10.0775,0.0001,200,0.0003
8.6266,0.0379,0.0012,0.0001,8.5883,0.0002,200,0.0002
8.6215,0.0274,0.0012,0.0001,8.5937,0.0001,200,0.0003
8.6648,0.0352,0.0012,0.0001,8.6291,0.0003,200,0.0003
8.8945,0.0291,0.0011,0.0001,8.8650,0.0002,200,0.0003
8.6608,0.0337,0.0011,0.0001,8.6268,0.0001,200,0.0004
8.4456,0.0341,0.0013,0.0001,8.4112,0.0001,200,0.0003
8.2876,0.0299,0.0011,0.0001,8.2575,0.0001,200,0.0003
9.1588,0.0294,0.0013,0.0001,9.1290,0.0002,200,0.0003
8.7648,0.0368,0.0012,0.0001,8.7277,0.0001,200,0.0004
9.1814,0.0292,0.0013,0.0001,9.1518,0.0002,200,0.0002
9.3744,0.0368,0.0012,0.0001,9.3373,0.0001,200,0.0003
8.4559,0.0347,0.0011,0.0001,8.4209,0.0001,200,0.0003
9.7582,0.0332,0.0012,0.0001,9.7246,0.0002,200,0.0003
8.6716,0.0281,0.0010,0.0001,8.6432,0.0002,200,0.0002
9.3612,0.0352,0.0014,0.0001,9.3258,0.0001,200,0.0003
9.0675,0.0349,0.0012,0.0001,9.0321,0.0002,200,0.0003
8.1266,0.0377,0.0014,0.0001,8.0885,0.0002,200,0.0002
8.8127,0.0314,0.0012,0.0001,8.7810,0.0002,200,0.0003
7.9921,0.0338,0.0012,0.0001,7.9580,0.0001,200,0.0003
9.9329,0.0287,0.0015,0.0001,9.9038,0.0001,200,0.0003
9.1545,0.0338,0.0015,0.0001,9.1202,0.0002,200,0.0004
9.9903,0.0351,0.0012,0.0001,9.9549,0.0001,200,0.0003
9.6526,0.0360,0.0013,0.0001,9.6161,0.0002,200,0.0003
10.2735,0.0347,0.0011,0.0001,10.2383,0.0002,200,0.0003
8.8695,0.0280,0.0011,0.0001,8.8413,0.0001,200,0.0003
9.7928,0.0288,0.0011,0.0001,9.7638,0.0001,200,0.0003
9.0205,0.0338,0.0011,0.0001,8.9864,0.0002,200,0.0004
9.6969,0.0337,0.0011,0.0001,9.6628,0.0002,200,0.0003
10.1267,0.0365,0.0014,0.0001,10.0898,0.0001,200,0.0003
8.7572,0.0345,0.0012,0.0001,8.7223,0.0001,200,0.0003
9.7891,0.0347,0.0012,0.0001,9.7540,0.0001,200,0.0003
8.4138,0.0290,0.0013,0.0001,8.3844,0.0002,200,0.0003
9.1583,0.0283,0.0011,0.0001,9.1297,0.0001,200,0.0003
8.3468,0.0280,0.0011,0.0001,8.3185,0.0002,200,0.0003
9.0139,0.0279,0.0014,0.0001,8.9856,0.0001,200,0.0003
8.9986,0.0368,0.0012,0.0001,8.9614,0.0002,200,0.0003
8.3843,0.0335,0.0013,0.0001,8.3504,0.0002,200,0.0003
8.8542,0.0277,0.0011,0.0001,8.8260,0.0003,200,0.0003
10.3733,0.0293,0.0021,0.0001,10.3435,0.0002,200,0.0003
8.5043,0.0344,0.0014,0.0001,8.4695,0.0001,200,0.0003
8.8190,0.0287,0.0015,0.0001,8.7900,0.0002,200,0.0003
9.5851,0.0400,0.0011,0.0001,9.5447,0.0002,200,0.0003
8.2691,0.0332,0.0012,0.0001,8.2357,0.0001,200,0.0003
9.7872,0.0287,0.0013,0.0001,9.7581,0.0002,200,0.0003
9.1020,0.0347,0.0013,0.0001,9.0670,0.0001,200,0.0003
8.9268,0.0353,0.0011,0.0001,8.8911,0.0001,200,0.0003
9.8431,0.0282,0.0010,0.0001,9.8145,0.0002,200,0.0003
9.6457,0.0278,0.0011,0.0001,9.6175,0.0002,200,0.0003
9.0592,0.0334,0.0011,0.0001,9.0255,0.0001,200,0.0002
9.3821,0.0339,0.0013,0.0001,9.3480,0.0001,200,0.0002
9.4704,0.0346,0.0012,0.0001,9.4354,0.0001,200,0.0003
9.0305,0.0367,0.0012,0.0001,8.9934,0.0002,200,0.0002
9.7619,0.0289,0.0012,0.0001,9.7328,0.0001,200,0.0002
9.1467,0.0290,0.0013,0.0001,9.1173,0.0002,200,0.0003
8.4423,0.0284,0.0013,0.0001,8.4136,0.0002,200,0.0002
10.0110,0.0273,0.0010,0.0001,9.9834,0.0001,200,0.0003
8.2104,0.0345,0.0010,0.0001,8.1756,0.0002,200,0.0004
