response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
14.0321,0.0286,0.0013,0.0001,14.0031,0.0001,200,0.0003
14.0264,0.0271,0.0013,0.0001,13.9988,0.0002,200,0.0003
14.1248,0.0349,0.0011,0.0001,14.0896,0.0001,200,0.0003
14.3712,0.0352,0.0011,0.0001,14.3357,0.0002,200,0.0003
14.2941,0.0347,0.0014,0.0001,14.2592,0.0001,200,0.0003
13.8656,0.0355,0.0011,0.0001,13.8297,0.0002,200,0.0003
14.5022,0.0275,0.0013,0.0001,14.4742,0.0002,200,0.0003
13.3607,0.0355,0.0010,0.0001,13.3248,0.0003,200,0.0003
14.9184,0.0249,0.0012,0.0001,14.8932,0.0001,200,0.0004
13.4850,0.0287,0.0013,0.0001,13.4559,0.0003,200,0.0003
14.1800,0.0352,0.0011,0.0001,14.1443,0.0002,200,0.0003
14.4031,0.0343,0.0012,0.0001,14.3685,0.0002,200,0.0003
14.3056,0.0340,0.0013,0.0001,14.2713,0.0001,200,0.0003
13.8805,0.0286,0.0012,0.0001,13.8517,0.0001,200,0.0003
14.5552,0.0295,0.0015,0.0001,14.5253,0.0001,200,0.0004
14.8387,0.0270,0.0012,0.0001,14.8113,0.0003,200,0.0003
13.1807,0.0286,0.0014,0.0001,13.1518,0.0001,200,0.0003
13.8910,0.0336,0.0013,0.0001,13.8571,0.0002,200,0.0002
13.7089,0.0276,0.0013,0.0001,13.6810,0.0001,200,0.0003
14.7887,0.0332,0.0012,0.0001,14.7551,0.0001,200,0.0004
14.3034,0.0288,0.0011,0.0001,14.2744,0.0001,200,0.0003
13.9127,0.0359,0.0013,0.0001,13.8764,0.0002,200,0.0003
14.6897,0.0355,0.0013,0.0001,14.6537,0.0002,200,0.0002
14.4201,0.0348,0.0011,0.0001,14.3850,0.0001,200,0.0003
13.2087,0.0353,0.0013,0.0001,13.1732,0.0001,200,0.0004
13.6982,0.0286,0.0012,0.0001,13.6692,0.0001,200,0.0003
14.6925,0.0278,0.0011,0.0001,14.6644,0.0001,200,0.0003
13.0063,0.0352,0.0015,0.0001,12.9707,0.0002,200,0.0003
14.4389,0.0286,0.0012,0.0001,14.4099,0.0001,200,0.0003
12.8485,0.0353,0.0014,0.0001,12.8128,0.0002,200,0.0004
13.0750,0.0379,0.0011,0.0001,13.0367,0.0002,200,0.0003
15.1631,0.0350,0.0012,0.0001,15.1276,0.0002,200,0.0003
14.3376,0.0338,0.0014,0.0001,14.3035,0.0001,200,0.0003
13.9093,0.0285,0.0012,0.0001,13.8804,0.0002,200,0.0003
14.6080,0.0400,0.0013,0.0001,14.5677,0.0001,200,0.0002
13.3168,0.0355,0.0011,0.0001,13.2808,0.0002,200,0.0003
13.4204,0.0377,0.0012,0.0001,13.3823,0.0001,200,0.0003
14.7178,0.0388,0.0012,0.0001,14.6787,0.0001,200,0.0003
14.2077,0.0292,0.0011,0.0001,14.1782,0.0001,200,0.0003
14.2976,0.0287,0.0012,0.0001,14.2685,0.0001,200,0.0002
13.7941,0.0349,0.0011,0.0002,13.7587,0.0002,200,0.0003
13.7119,0.0343,0.0012,0.0001,13.6773,0.0001,200,0.0003
13.4204,0.0283,0.0013,0.0001,13.3918,0.0002,200,0.0003
13.3196,0.0294,0.0013,0.0001,13.2895,0.0004,200,0.0003
14.0389,0.0296,0.0012,0.0001,14.0089,0.0001,200,0.0003
15.0555,0.0275,0.0016,0.0001,15.0277,0.0001,200,0.0003
