response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.0304,0.0281,0.0012,0.0001,12.0020,0.0002,200,0.0003
13.6760,0.0368,0.0013,0.0001,13.6388,0.0001,200,0.0003
14.3657,0.0288,0.0014,0.0001,14.3366,0.0002,200,0.0003
13.1714,0.0293,0.0014,0.0001,13.1417,0.0001,200,0.0004
12.6149,0.0284,0.0011,0.0001,12.5860,0.0002,200,0.0004
11.8510,0.0293,0.0010,0.0001,11.8213,0.0002,200,0.0003
12.7813,0.0362,0.0011,0.0001,12.7447,0.0002,200,0.0003
11.9460,0.0292,0.0014,0.0001,11.9164,0.0002,200,0.0003
13.2208,0.0276,0.0010,0.0001,13.1929,0.0002,200,0.0003
12.9925,0.0327,0.0011,0.0001,12.9594,0.0001,200,0.0003
13.0129,0.0383,0.0013,0.0001,12.9744,0.0001,200,0.0003
12.1341,0.0351,0.0011,0.0001,12.0987,0.0001,200,0.0003
11.5412,0.0297,0.0012,0.0001,11.5112,0.0001,200,0.0003
12.2953,0.0353,0.0018,0.0001,12.2598,0.0001,200,0.0003
11.2576,0.0288,0.0014,0.0001,11.2285,0.0001,200,0.0003
13.4190,0.0283,0.0012,0.0001,13.3904,0.0002,200,0.0002
12.9188,0.0278,0.0012,0.0001,12.8906,0.0002,200,0.0003
12.0779,0.0288,0.0013,0.0001,12.0488,0.0001,200,0.0003
12.4538,0.0322,0.0012,0.0001,12.4213,0.0002,200,0.0003
13.0961,0.0290,0.0011,0.0001,13.0666,0.0002,200,0.0003
11.7043,0.0378,0.0012,0.0001,11.6661,0.0001,200,0.0003
13.2411,0.0291,0.0013,0.0001,13.2116,0.0001,200,0.0003
12.9306,0.0339,0.0013,0.0001,12.8963,0.0001,200,0.0003
12.1639,0.0291,0.0013,0.0001,12.1344,0.0002,200,0.0002
12.3861,0.0341,0.0014,0.0001,12.3516,0.0002,200,0.0002
11.7989,0.0278,0.0011,0.0001,11.7708,0.0001,200,0.0003
12.3825,0.0297,0.0019,0.0001,12.3525,0.0001,200,0.0003
11.4248,0.0356,0.0014,0.0001,11.3888,0.0001,200,0.0004
11.8289,0.0278,0.0011,0.0001,11.8008,0.0001,200,0.0003
12.3735,0.0289,0.0013,0.0001,12.3443,0.0001,200,0.0003
11.8458,0.0284,0.0012,0.0001,11.8171,0.0002,200,0.0002
12.2378,0.0292,0.0014,0.0001,12.2083,0.0002,200,0.0003
10.9399,0.0285,0.0014,0.0001,10.9110,0.0002,200,0.0002
12.4926,0.0347,0.0011,0.0001,12.4576,0.0001,200,0.0002
11.4354,0.0353,0.0013,0.0001,11.3997,0.0001,200,0.0003
12.6531,0.0224,0.0013,0.0001,12.6302,0.0002,200,0.0003
11.5748,0.0284,0.0011,0.0001,11.5461,0.0001,200,0.0003
11.8634,0.0283,0.0011,0.0001,11.8347,0.0002,200,0.0003
11.5863,0.0359,0.0014,0.0001,11.5500,0.0001,200,0.0003
12.6339,0.0367,0.0014,0.0001,12.5970,0.0001,200,0.0002
12.2246,0.0290,0.0012,0.0001,12.1953,0.0002,200,0.0003
11.8872,0.0286,0.0013,0.0001,11.8581,0.0001,200,0.0003
13.3718,0.0345,0.0012,0.0001,13.3370,0.0001,200,0.0002
13.1488,0.0295,0.0016,0.0001,13.1190,0.0001,200,0.0002
12.6301,0.0259,0.0016,0.0001,12.6039,0.0002,200,0.0004
13.2203,0.0284,0.0012,0.0001,13.1917,0.0001,200,0.0003
12.6893,0.0346,0.0012,0.0001,12.6543,0.0001,200,0.0004
11.2176,0.0350,0.0013,0.0001,11.1823,0.0001,200,0.0003
11.8838,0.0342,0.0010,0.0001,11.8493,0.0001,200,0.0003
12.7581,0.0331,0.0011,0.0001,12.7246,0.0002,200,0.0003
12.0004,0.0352,0.0011,0.0001,11.9649,0.0001,200,0.0003
11.3157,0.0342,0.0013,0.0001,11.2812,0.0001,200,0.0003
12.5164,0.0287,0.0013,0.0001,12.4872,0.0002,200,0.0003
12.4967,0.0291,0.0013,0.0001,12.4671,0.0001,200,0.0003
12.7968,0.0279,0.0012,0.0001,12.7686,0.0001,200,0.0003
11.9588,0.0281,0.0014,0.0001,11.9303,0.0002,200,0.0004
12.5711,0.0370,0.0014,0.0001,12.5338,0.0001,200,0.0003
12.9197,0.0356,0.0011,0.0001,12.8838,0.0001,200,0.0003
12.6077,0.0347,0.0012,0.0001,12.5727,0.0001,200,0.0003
11.7684,0.0284,0.0010,0.0001,11.7396,0.0002,200,0.0003
12.9226,0.0334,0.0012,0.0001,12.8886,0.0002,200,0.0003
12.9682,0.0284,0.0014,0.0001,12.9394,0.0002,200,0.0003
12.1559,0.0347,0.0013,0.0001,12.1208,0.0002,200,0.0002
11.4555,0.0281,0.0012,0.0001,11.4270,0.0001,200,0.0003
13.3521,0.0288,0.0013,0.0001,13.3229,0.0002,200,0.0003
12.4334,0.0285,0.0012,0.0001,12.4045,0.0002,200,0.0003
13.2130,0.0351,0.0011,0.0001,13.1776,0.0001,200,0.0004
11.6333,0.0277,0.0012,0.0001,11.6053,0.0002,200,0.0002
11.8096,0.0358,0.0012,0.0001,11.7735,0.0002,200,0.0003
