response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.7009,0.0341,0.0012,0.0001,6.6664,0.0002,200,0.0003
5.6629,0.0361,0.0010,0.0001,5.6265,0.0002,200,0.0003
6.8757,0.0318,0.0010,0.0001,6.8436,0.0002,200,0.0003
7.5990,0.0349,0.0013,0.0001,7.5637,0.0002,200,0.0003
6.8620,0.0351,0.0015,0.0001,6.8265,0.0002,200,0.0003
7.1727,0.0283,0.0011,0.0001,7.1441,0.0001,200,0.0003
7.0492,0.0293,0.0013,0.0001,7.0195,0.0001,200,0.0003
7.5864,0.0405,0.0012,0.0001,7.5457,0.0001,200,0.0003
7.5921,0.0292,0.0013,0.0001,7.5625,0.0002,200,0.0003
6.8510,0.0333,0.0014,0.0001,6.8174,0.0002,200,0.0004
5.8603,0.0270,0.0012,0.0001,5.8331,0.0001,200,0.0002
6.0730,0.0400,0.0018,0.0001,6.0327,0.0001,200,0.0003
7.5156,0.0291,0.0015,0.0001,7.4861,0.0002,200,0.0003
6.8875,0.0352,0.0012,0.0001,6.8520,0.0002,200,0.0003
6.0662,0.0400,0.0012,0.0001,6.0259,0.0001,200,0.0003
7.0665,0.0413,0.0014,0.0001,7.0249,0.0001,200,0.0003
6.5702,0.0231,0.0012,0.0001,6.5468,0.0001,200,0.0003
7.4649,0.0287,0.0012,0.0001,7.4360,0.0001,200,0.0003
7.4709,0.0320,0.0012,0.0001,7.4386,0.0002,200,0.0002
5.7702,0.0334,0.0011,0.0001,5.7363,0.0002,200,0.0003
6.4756,0.0341,0.0011,0.0001,6.4411,0.0002,200,0.0003
6.4631,0.0289,0.0013,0.0001,6.4336,0.0003,200,0.0003
7.2585,0.0288,0.0013,0.0001,7.2293,0.0001,200,0.0003
6.8665,0.0355,0.0012,0.0001,6.8307,0.0001,200,0.0003
7.2772,0.0285,0.0016,0.0001,7.2484,0.0002,200,0.0003
6.7846,0.0360,0.0011,0.0001,6.7484,0.0001,200,0.0003
6.4880,0.0275,0.0012,0.0001,6.4602,0.0002,200,0.0003
8.1935,0.0344,0.0012,0.0001,8.1588,0.0002,200,0.0004
6.7880,0.0407,0.0012,0.0001,6.7469,0.0002,200,0.0003
7.8740,0.0288,0.0013,0.0001,7.8448,0.0002,200,0.0003
5.5460,0.0348,0.0013,0.0001,5.5109,0.0002,200,0.0003
6.3704,0.0332,0.0014,0.0001,6.3367,0.0003,200,0.0003
5.7718,0.0288,0.0011,0.0001,5.7427,0.0001,200,0.0002
6.2411,0.0304,0.0013,0.0001,6.2103,0.0002,200,0.0003
7.2939,0.0338,0.0010,0.0001,7.2598,0.0001,200,0.0003
5.7255,0.0282,0.0015,0.0001,5.6968,0.0003,200,0.0003
6.0596,0.0281,0.0012,0.0001,6.0312,0.0002,200,0.0003
6.9143,0.0373,0.0011,0.0001,6.8768,0.0001,200,0.0002
5.8085,0.0347,0.0011,0.0001,5.7734,0.0001,200,0.0003
6.3731,0.0412,0.0015,0.0001,6.3317,0.0001,200,0.0003
6.2861,0.0356,0.0012,0.0001,6.2501,0.0002,200,0.0003
6.7886,0.0360,0.0012,0.0001,6.7523,0.0001,200,0.0002
6.7322,0.0290,0.0014,0.0001,6.7028,0.0001,200,0.0003
7.9994,0.0401,0.0012,0.0001,7.9590,0.0001,200,0.0003
7.7819,0.0350,0.0012,0.0001,7.7466,0.0001,200,0.0003
6.7764,0.0351,0.0014,0.0001,6.7409,0.0003,200,0.0002
5.5560,0.0363,0.0012,0.0001,5.5195,0.0001,200,0.0003
5.7824,0.0289,0.0013,0.0001,5.7531,0.0002,200,0.0004
7.7831,0.0369,0.0014,0.0001,7.7458,0.0001,200,0.0003
6.8866,0.0354,0.0011,0.0001,6.8509,0.0002,200,0.0003
6.4587,0.0276,0.0011,0.0001,6.4308,0.0001,200,0.0003
6.6832,0.0340,0.0013,0.0001,6.6489,0.0002,200,0.0003
6.4611,0.0276,0.0010,0.0001,6.4333,0.0001,200,0.0003
6.4812,0.0294,0.0012,0.0001,6.4514,0.0002,200,0.0003
6.7667,0.0322,0.0011,0.0001,6.7342,0.0002,200,0.0003
7.1879,0.0340,0.0012,0.0001,7.1533,0.0002,200,0.0003
6.6591,0.0280,0.0013,0.0001,6.6307,0.0001,200,0.0002
7.2803,0.0358,0.0012,0.0001,7.2441,0.0002,200,0.0003
6.7563,0.0377,0.0012,0.0001,6.7184,0.0001,200,0.0003
6.8782,0.0346,0.0014,0.0001,6.8430,0.0001,200,0.0003
8.2418,0.0344,0.0012,0.0001,8.2071,0.0001,200,0.0003
7.6156,0.0339,0.0012,0.0001,7.5813,0.0002,200,0.0003
8.3722,0.0307,0.0014,0.0001,8.3411,0.0001,200,0.0003
7.6756,0.0344,0.0020,0.0001,7.6410,0.0001,200,0.0003
6.7811,0.0367,0.0011,0.0001,6.7441,0.0002,200,0.0003
7.7895,0.0409,0.0012,0.0001,7.7482,0.0002,200,0.0003
6.3818,0.0280,0.0012,0.0001,6.3536,0.0001,200,0.0003
8.0993,0.0383,0.0012,0.0001,8.0607,0.0001,200,0.0002
6.7509,0.0287,0.0011,0.0001,6.7218,0.0002,200,0.0002
7.4257,0.0346,0.0013,0.0001,7.3907,0.0001,200,0.0004
6.2796,0.0343,0.0011,0.0001,6.2451,0.0002,200,0.0003
8.0679,0.0286,0.0012,0.0001,8.0390,0.0001,200,0.0003
7.2659,0.0248,0.0013,0.0001,7.2409,0.0001,200,0.0003
5.9489,0.0353,0.0013,0.0001,5.9133,0.0002,200,0.0003
5.6545,0.0350,0.0012,0.0001,5.6192,0.0002,200,0.0003
7.0934,0.0347,0.0012,0.0001,7.0583,0.0002,200,0.0003
5.7675,0.0366,0.0011,0.0001,5.7305,0.0002,200,0.0003
7.0209,0.0363,0.0010,0.0001,6.9844,0.0001,200,0.0002
6.2840,0.0367,0.0012,0.0001,6.2470,0.0001,200,0.0003
6.4792,0.0287,0.0012,0.0001,6.4500,0.0002,200,0.0004
6.2478,0.0283,0.0011,0.0001,6.2192,0.0002,200,0.0003
5.5790,0.0350,0.0011,0.0001,5.5437,0.0002,200,0.0003
7.1616,0.0350,0.0014,0.0001,7.1262,0.0002,200,0.0003
6.0576,0.0284,0.0014,0.0001,6.0289,0.0002,200,0.0002
7.2631,0.0311,0.0012,0.0001,7.2317,0.0001,200,0.0003
6.3475,0.0342,0.0012,0.0001,6.3130,0.0002,200,0.0003
7.0645,0.0286,0.0011,0.0001,7.0356,0.0002,200,0.0002
6.3700,0.0282,0.0014,0.0001,6.3415,0.0002,200,0.0004
7.2623,0.0340,0.0011,0.0001,7.2280,0.0001,200,0.0003
5.5659,0.0288,0.0013,0.0001,5.5368,0.0001,200,0.0003
6.5034,0.0274,0.0012,0.0001,6.4756,0.0001,200,0.0003
7.0880,0.0272,0.0012,0.0001,7.0605,0.0002,200,0.0003
6.4828,0.0353,0.0018,0.0001,6.4470,0.0002,200,0.0003
6.5669,0.0291,0.0013,0.0001,6.5376,0.0001,200,0.0003
7.7797,0.0293,0.0012,0.0001,7.7501,0.0001,200,0.0003
6.6668,0.0299,0.0012,0.0001,6.6367,0.0001,200,0.0003
6.9785,0.0271,0.0013,0.0001,6.9510,0.0002,200,0.0004
5.5678,0.0339,0.0011,0.0001,5.5336,0.0001,200,0.0003
6.7910,0.0345,0.0013,0.0001,6.7562,0.0001,200,0.0003
5.7339,0.0364,0.0013,0.0001,5.6972,0.0001,200,0.0003
