response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.0429,0.0339,0.0012,0.0001,9.0087,0.0002,200,0.0003
9.9132,0.0281,0.0013,0.0001,9.8846,0.0002,200,0.0003
8.7209,0.0291,0.0012,0.0001,8.6914,0.0002,200,0.0003
11.4492,0.0286,0.0013,0.0001,11.4202,0.0002,200,0.0003
8.8724,0.0288,0.0014,0.0001,8.8433,0.0002,200,0.0002
8.2295,0.0339,0.0012,0.0001,8.1954,0.0001,200,0.0003
9.2671,0.0334,0.0011,0.0001,9.2333,0.0002,200,0.0003
9.3536,0.0294,0.0012,0.0001,9.3238,0.0002,200,0.0003
10.6001,0.0360,0.0010,0.0001,10.5638,0.0001,200,0.0004
8.0473,0.0346,0.0014,0.0001,8.0124,0.0001,200,0.0003
8.0737,0.0351,0.0013,0.0001,8.0384,0.0001,200,0.0003
8.7069,0.0344,0.0011,0.0001,8.6721,0.0002,200,0.0003
8.5115,0.0279,0.0012,0.0001,8.4832,0.0002,200,0.0003
9.5600,0.0279,0.0010,0.0001,9.5316,0.0002,200,0.0003
9.1075,0.0275,0.0012,0.0001,9.0797,0.0002,200,0.0003
8.5882,0.0279,0.0014,0.0001,8.5599,0.0001,200,0.0003
7.5725,0.0335,0.0013,0.0001,7.5387,0.0002,200,0.0004
8.6091,0.0286,0.0011,0.0001,8.5803,0.0002,200,0.0002
9.2071,0.0325,0.0012,0.0001,9.1742,0.0002,200,0.0003
7.7201,0.0294,0.0013,0.0001,7.6904,0.0002,200,0.0002
8.9630,0.0407,0.0013,0.0001,8.9219,0.0002,200,0.0003
7.7942,0.0324,0.0014,0.0001,7.7615,0.0002,200,0.0003
9.2236,0.0275,0.0012,0.0001,9.1957,0.0002,200,0.0003
8.8120,0.0335,0.0011,0.0001,8.7781,0.0002,200,0.0004
8.9695,0.0287,0.0012,0.0001,8.9403,0.0002,200,0.0003
7.8506,0.0350,0.0011,0.0001,7.8151,0.0002,200,0.0003
