response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.7188,0.0335,0.0012,0.0001,9.6849,0.0002,200,0.0003
8.3761,0.0353,0.0013,0.0001,8.3404,0.0002,200,0.0003
8.0500,0.0305,0.0013,0.0001,8.0192,0.0002,200,0.0004
9.2036,0.0341,0.0014,0.0001,9.1692,0.0001,200,0.0003
7.7094,0.0337,0.0011,0.0001,7.6753,0.0002,200,0.0003
9.1921,0.0351,0.0013,0.0001,9.1566,0.0002,200,0.0002
8.1011,0.0289,0.0012,0.0001,8.0719,0.0002,200,0.0003
8.3957,0.0353,0.0013,0.0001,8.3601,0.0001,200,0.0002
8.2272,0.0286,0.0013,0.0001,8.1982,0.0002,200,0.0003
8.9164,0.0282,0.0014,0.0001,8.8878,0.0002,200,0.0003
7.4842,0.0361,0.0013,0.0001,7.4477,0.0002,200,0.0003
9.0993,0.0407,0.0014,0.0001,9.0584,0.0002,200,0.0002
8.1468,0.0288,0.0013,0.0001,8.1174,0.0002,200,0.0003
7.6970,0.0335,0.0010,0.0001,7.6633,0.0001,200,0.0003
8.4075,0.0290,0.0011,0.0001,8.3783,0.0001,200,0.0003
8.1442,0.0356,0.0011,0.0001,8.1080,0.0002,200,0.0003
8.9993,0.0407,0.0013,0.0001,8.9581,0.0002,200,0.0003
8.5066,0.0340,0.0013,0.0001,8.4723,0.0002,200,0.0003
7.8858,0.0288,0.0017,0.0001,7.8566,0.0001,200,0.0003
8.4947,0.0334,0.0013,0.0001,8.4611,0.0001,200,0.0002
7.9865,0.0395,0.0011,0.0001,7.9467,0.0002,200,0.0003
8.4360,0.0367,0.0014,0.0001,8.3989,0.0001,200,0.0004
8.2935,0.0377,0.0011,0.0001,8.2553,0.0001,200,0.0003
9.1600,0.0298,0.0012,0.0001,9.1297,0.0002,200,0.0003
9.1810,0.0348,0.0013,0.0001,9.1460,0.0001,200,0.0003
8.3528,0.0281,0.0012,0.0001,8.3243,0.0001,200,0.0003
8.9860,0.0287,0.0012,0.0001,8.9569,0.0002,200,0.0003
8.8522,0.0287,0.0013,0.0001,8.8233,0.0001,200,0.0003
9.5889,0.0296,0.0011,0.0001,9.5590,0.0001,200,0.0003
8.3911,0.0289,0.0013,0.0001,8.3617,0.0002,200,0.0003
8.1520,0.0354,0.0011,0.0001,8.1162,0.0002,200,0.0002
8.8995,0.0289,0.0010,0.0001,8.8702,0.0002,200,0.0003
7.5182,0.0350,0.0012,0.0001,7.4829,0.0001,200,0.0003
9.0134,0.0357,0.0014,0.0001,8.9773,0.0001,200,0.0003
8.7392,0.0330,0.0014,0.0001,8.7058,0.0002,200,0.0003
8.7643,0.0291,0.0012,0.0001,8.7348,0.0001,200,0.0002
8.3898,0.0345,0.0013,0.0001,8.3550,0.0002,200,0.0003
9.1408,0.0353,0.0011,0.0001,9.1051,0.0001,200,0.0002
8.1281,0.0290,0.0018,0.0001,8.0987,0.0001,200,0.0003
8.9385,0.0341,0.0013,0.0001,8.9040,0.0001,200,0.0003
7.3004,0.0352,0.0011,0.0001,7.2649,0.0002,200,0.0004
8.6625,0.0363,0.0013,0.0001,8.6259,0.0001,200,0.0002
9.8021,0.0313,0.0013,0.0001,9.7704,0.0001,200,0.0003
9.8668,0.0288,0.0015,0.0001,9.8377,0.0001,200,0.0002
8.6014,0.0284,0.0012,0.0001,8.5727,0.0001,200,0.0003
8.5260,0.0291,0.0012,0.0001,8.4966,0.0001,200,0.0003
9.4997,0.0277,0.0013,0.0001,9.4716,0.0002,200,0.0002
7.8826,0.0288,0.0012,0.0001,7.8535,0.0001,200,0.0003
7.2261,0.0344,0.0015,0.0001,7.1912,0.0002,200,0.0003
8.8788,0.0286,0.0014,0.0001,8.8497,0.0002,200,0.0003
9.1976,0.0347,0.0011,0.0001,9.1626,0.0001,200,0.0003
8.8826,0.0291,0.0012,0.0001,8.8529,0.0002,200,0.0003
9.3742,0.0362,0.0014,0.0001,9.3375,0.0001,200,0.0003
8.8902,0.0287,0.0013,0.0001,8.8611,0.0001,200,0.0003
8.4565,0.0345,0.0011,0.0001,8.4216,0.0001,200,0.0003
8.6714,0.0302,0.0012,0.0001,8.6409,0.0001,200,0.0003
8.5406,0.0363,0.0012,0.0001,8.5039,0.0002,200,0.0003
9.4645,0.0348,0.0011,0.0001,9.4293,0.0001,200,0.0004
8.2991,0.0366,0.0015,0.0001,8.2621,0.0001,200,0.0003
8.1506,0.0276,0.0013,0.0001,8.1227,0.0001,200,0.0002
8.6166,0.0280,0.0012,0.0001,8.5881,0.0001,200,0.0003
9.0126,0.0287,0.0014,0.0001,8.9836,0.0001,200,0.0003
8.1063,0.0285,0.0013,0.0001,8.0774,0.0002,200,0.0003
8.3686,0.0273,0.0012,0.0001,8.3409,0.0001,200,0.0003
8.7151,0.0343,0.0014,0.0002,8.6803,0.0002,200,0.0003
8.1161,0.0289,0.0013,0.0001,8.0868,0.0001,200,0.0003
8.3771,0.0285,0.0013,0.0001,8.3483,0.0001,200,0.0003
8.0343,0.0343,0.0013,0.0001,7.9997,0.0001,200,0.0003
9.0245,0.0347,0.0012,0.0001,8.9896,0.0001,200,0.0003
7.9711,0.0329,0.0012,0.0001,7.9379,0.0001,200,0.0003
8.1707,0.0288,0.0010,0.0001,8.1415,0.0001,200,0.0003
8.5716,0.0293,0.0015,0.0001,8.5419,0.0002,200,0.0004
7.6589,0.0337,0.0013,0.0001,7.6248,0.0001,200,0.0003
7.7932,0.0343,0.0015,0.0001,7.7586,0.0001,200,0.0003
8.8085,0.0285,0.0014,0.0001,8.7796,0.0001,200,0.0003
9.7122,0.0293,0.0013,0.0001,9.6826,0.0002,200,0.0002
8.4311,0.0283,0.0011,0.0001,8.4025,0.0001,200,0.0003
8.2175,0.0281,0.0011,0.0001,8.1891,0.0002,200,0.0003
7.2616,0.0346,0.0012,0.0001,7.2266,0.0002,200,0.0004
9.7685,0.0290,0.0013,0.0001,9.7392,0.0001,200,0.0003
9.7871,0.0284,0.0011,0.0001,9.7584,0.0001,200,0.0003
9.4392,0.0286,0.0015,0.0001,9.4103,0.0001,200,0.0003
8.8007,0.0285,0.0012,0.0001,8.7718,0.0002,200,0.0003
9.1811,0.0287,0.0014,0.0001,9.1520,0.0001,200,0.0004
8.2179,0.0348,0.0012,0.0001,8.1826,0.0002,200,0.0003
7.6736,0.0276,0.0013,0.0001,7.6455,0.0002,200,0.0003
7.7331,0.0350,0.0013,0.0001,7.6979,0.0001,200,0.0003
10.0456,0.0336,0.0012,0.0001,10.0116,0.0001,200,0.0003
7.7796,0.0285,0.0013,0.0001,7.7506,0.0002,200,0.0003
8.0783,0.0346,0.0012,0.0001,8.0433,0.0001,200,0.0003
9.3339,0.0289,0.0013,0.0001,9.3046,0.0002,200,0.0003
7.1178,0.0277,0.0012,0.0001,7.0899,0.0001,200,0.0003
9.7340,0.0291,0.0011,0.0001,9.7046,0.0001,200,0.0003
8.3704,0.0284,0.0014,0.0001,8.3417,0.0001,200,0.0003
8.5176,0.0272,0.0013,0.0001,8.4899,0.0003,200,0.0002
8.3697,0.0276,0.0010,0.0001,8.3418,0.0001,200,0.0003
8.8544,0.0343,0.0012,0.0001,8.8197,0.0002,200,0.0003
8.9843,0.0344,0.0013,0.0001,8.9494,0.0001,200,0.0003
8.4990,0.0285,0.0013,0.0001,8.4702,0.0001,200,0.0004
8.4503,0.0289,0.0011,0.0001,8.4210,0.0002,200,0.0003
