response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.4776,0.0352,0.0011,0.0001,7.4421,0.0002,200,0.0003
8.1133,0.0344,0.0012,0.0001,8.0785,0.0003,200,0.0003
7.3723,0.0381,0.0013,0.0001,7.3339,0.0001,200,0.0003
7.9416,0.0283,0.0010,0.0001,7.9128,0.0002,200,0.0003
8.0361,0.0340,0.0012,0.0001,8.0018,0.0001,200,0.0002
6.7630,0.0277,0.0012,0.0001,6.7350,0.0001,200,0.0003
7.9929,0.0390,0.0012,0.0001,7.9537,0.0001,200,0.0002
6.5706,0.0286,0.0011,0.0001,6.5418,0.0001,200,0.0003
8.7401,0.0348,0.0011,0.0001,8.7049,0.0001,200,0.0003
7.4047,0.0287,0.0011,0.0001,7.3757,0.0001,200,0.0003
6.6093,0.0357,0.0011,0.0001,6.5734,0.0001,200,0.0003
6.8956,0.0343,0.0013,0.0001,6.8609,0.0002,200,0.0003
7.2429,0.0399,0.0014,0.0001,7.2026,0.0001,200,0.0003
8.3223,0.0369,0.0013,0.0001,8.2851,0.0002,200,0.0003
7.7107,0.0313,0.0012,0.0001,7.6790,0.0002,200,0.0003
7.0527,0.0294,0.0011,0.0001,7.0229,0.0002,200,0.0002
6.9152,0.0347,0.0015,0.0001,6.8800,0.0002,200,0.0004
6.9840,0.0367,0.0013,0.0001,6.9470,0.0001,200,0.0003
8.6095,0.0281,0.0012,0.0001,8.5810,0.0002,200,0.0003
7.9021,0.0352,0.0012,0.0001,7.8666,0.0001,200,0.0003
7.0084,0.0296,0.0012,0.0001,6.9783,0.0002,200,0.0003
7.0746,0.0275,0.0012,0.0001,7.0468,0.0001,200,0.0003
8.5874,0.0292,0.0013,0.0001,8.5579,0.0002,200,0.0003
7.4829,0.0275,0.0012,0.0001,7.4550,0.0001,200,0.0003
7.1855,0.0280,0.0013,0.0001,7.1572,0.0001,200,0.0003
6.7415,0.0382,0.0012,0.0001,6.7030,0.0002,200,0.0003
7.5686,0.0277,0.0012,0.0001,7.5405,0.0002,200,0.0003
9.0488,0.0286,0.0012,0.0001,9.0200,0.0001,200,0.0003
7.7797,0.0286,0.0012,0.0001,7.7508,0.0001,200,0.0003
8.8356,0.0410,0.0013,0.0001,8.7943,0.0002,200,0.0003
8.0116,0.0281,0.0012,0.0001,7.9831,0.0002,200,0.0003
9.2156,0.0280,0.0013,0.0001,9.1874,0.0001,200,0.0003
7.0789,0.0280,0.0012,0.0001,7.0506,0.0001,200,0.0003
7.2094,0.0341,0.0012,0.0001,7.1749,0.0002,200,0.0003
8.1844,0.0294,0.0012,0.0001,8.1547,0.0001,200,0.0003
6.5914,0.0282,0.0013,0.0001,6.5627,0.0002,200,0.0003
6.7821,0.0288,0.0014,0.0001,6.7531,0.0001,200,0.0003
8.1043,0.0294,0.0011,0.0001,8.0745,0.0001,200,0.0003
8.2299,0.0287,0.0011,0.0001,8.2009,0.0002,200,0.0003
8.9405,0.0277,0.0011,0.0001,8.9125,0.0002,200,0.0003
8.1096,0.0352,0.0011,0.0001,8.0740,0.0002,200,0.0002
8.5160,0.0279,0.0011,0.0001,8.4876,0.0002,200,0.0003
7.8136,0.0406,0.0013,0.0001,7.7727,0.0001,200,0.0002
7.2977,0.0239,0.0011,0.0001,7.2735,0.0001,200,0.0003
7.9103,0.0338,0.0011,0.0001,7.8761,0.0001,200,0.0003
6.7021,0.0281,0.0011,0.0001,6.6737,0.0001,200,0.0003
6.7115,0.0283,0.0013,0.0001,6.6830,0.0001,200,0.0003
7.6455,0.0341,0.0012,0.0001,7.6111,0.0001,200,0.0003
7.8845,0.0288,0.0012,0.0001,7.8553,0.0001,200,0.0003
7.1032,0.0343,0.0014,0.0001,7.0686,0.0002,200,0.0003
7.2422,0.0409,0.0013,0.0001,7.2010,0.0002,200,0.0003
7.6086,0.0291,0.0014,0.0001,7.5790,0.0001,200,0.0003
9.1238,0.0346,0.0012,0.0001,9.0889,0.0001,200,0.0003
