response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
49.3237,0.0363,0.0013,0.0002,49.2870,0.0002,200,0.0003
50.4443,0.0279,0.0012,0.0001,50.4161,0.0001,200,0.0003
49.9253,0.0350,0.0013,0.0001,49.8899,0.0002,200,0.0003
50.2376,0.0290,0.0011,0.0001,50.2083,0.0002,200,0.0003
51.0600,0.0272,0.0012,0.0001,51.0324,0.0001,200,0.0003
51.4759,0.0357,0.0013,0.0001,51.4398,0.0002,200,0.0003
49.3999,0.0345,0.0012,0.0001,49.3650,0.0002,200,0.0003
49.7462,0.0352,0.0012,0.0001,49.7106,0.0002,200,0.0002
51.5351,0.0340,0.0013,0.0001,51.5006,0.0002,200,0.0003
50.3401,0.0317,0.0012,0.0001,50.3079,0.0002,200,0.0002
51.2489,0.0355,0.0014,0.0001,51.2131,0.0002,200,0.0003
50.2047,0.0283,0.0011,0.0001,50.1761,0.0002,200,0.0003
50.7529,0.0270,0.0011,0.0001,50.7255,0.0001,200,0.0004
51.0207,0.0359,0.0013,0.0001,50.9844,0.0001,200,0.0003
49.5593,0.0334,0.0012,0.0001,49.5256,0.0002,200,0.0003
50.6121,0.0343,0.0012,0.0001,50.5774,0.0002,200,0.0003
49.5229,0.0361,0.0012,0.0001,49.4864,0.0002,200,0.0003
50.6597,0.0274,0.0011,0.0001,50.6320,0.0002,200,0.0004
49.6771,0.0286,0.0012,0.0001,49.6482,0.0001,200,0.0003
50.5660,0.0287,0.0013,0.0001,50.5369,0.0001,200,0.0003
50.4796,0.0302,0.0011,0.0001,50.4492,0.0001,200,0.0002
51.0308,0.0279,0.0012,0.0001,51.0025,0.0001,200,0.0003
49.8636,0.0362,0.0014,0.0001,49.8270,0.0003,200,0.0004
49.8710,0.0336,0.0010,0.0001,49.8371,0.0001,200,0.0004
49.8753,0.0328,0.0010,0.0001,49.8422,0.0001,200,0.0003
49.4189,0.0326,0.0012,0.0001,49.3861,0.0002,200,0.0002
50.7052,0.0354,0.0013,0.0001,50.6694,0.0002,200,0.0003
49.7592,0.0283,0.0012,0.0001,49.7305,0.0001,200,0.0003
50.9277,0.0321,0.0012,0.0001,50.8953,0.0001,200,0.0003
49.1067,0.0349,0.0011,0.0001,49.0713,0.0002,200,0.0003
49.7887,0.0285,0.0012,0.0001,49.7597,0.0002,200,0.0003
50.6311,0.0343,0.0013,0.0001,50.5965,0.0002,200,0.0003
50.3929,0.0368,0.0012,0.0001,50.3556,0.0003,200,0.0004
51.1838,0.0409,0.0013,0.0001,51.1427,0.0001,200,0.0002
50.8579,0.0282,0.0012,0.0001,50.8295,0.0001,200,0.0003
50.1278,0.0286,0.0013,0.0001,50.0989,0.0001,200,0.0002
49.4685,0.0283,0.0010,0.0001,49.4399,0.0001,200,0.0003
51.3400,0.0268,0.0012,0.0001,51.3128,0.0001,200,0.0003
49.2741,0.0357,0.0012,0.0001,49.2380,0.0001,200,0.0003
49.3822,0.0365,0.0011,0.0001,49.3453,0.0001,200,0.0003
51.1416,0.0357,0.0012,0.0001,51.1056,0.0001,200,0.0003
50.1981,0.0374,0.0011,0.0001,50.1604,0.0002,200,0.0003
51.4243,0.0395,0.0010,0.0001,51.3843,0.0003,200,0.0003
51.0085,0.0343,0.0010,0.0001,50.9736,0.0002,200,0.0003
50.5149,0.0292,0.0012,0.0001,50.4853,0.0002,200,0.0003
49.0051,0.0334,0.0012,0.0001,48.9713,0.0001,200,0.0003
51.5678,0.0339,0.0012,0.0001,51.5335,0.0002,200,0.0002
50.7729,0.0272,0.0012,0.0001,50.7453,0.0002,200,0.0004
51.3350,0.0277,0.0014,0.0001,51.3071,0.0001,200,0.0003
50.5380,0.0275,0.0010,0.0001,50.5102,0.0001,200,0.0003
