response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
22.0031,0.0310,0.0016,0.0001,21.9719,0.0001,200,0.0036
21.9983,0.0000,0.0000,0.0000,21.9981,0.0001,200,22.0067
21.8880,0.0000,0.0000,0.0000,21.8878,0.0001,200,44.0050
22.0934,0.0000,0.0000,0.0000,22.0933,0.0001,200,65.8930
21.9359,0.0000,0.0000,0.0000,21.9357,0.0002,200,87.9864
21.9211,0.0000,0.0000,0.0000,21.9209,0.0001,200,109.9223
21.9503,0.0000,0.0000,0.0000,21.9502,0.0001,200,131.8434
22.1099,0.0000,0.0000,0.0000,22.1097,0.0002,200,153.7938
21.9311,0.0000,0.0000,0.0000,21.9308,0.0002,200,175.9036
22.0792,0.0000,0.0000,0.0000,22.0790,0.0001,200,197.8347
22.1526,0.0000,0.0000,0.0000,22.1525,0.0001,200,219.9139
22.4662,0.0000,0.0000,0.0001,22.4661,0.0001,200,242.0665
21.9760,0.0000,0.0000,0.0005,21.9749,0.0001,200,264.5328
21.9252,0.0000,0.0000,0.0000,21.9250,0.0001,200,286.5088
