response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4081,0.0340,0.0013,0.0001,1.3738,0.0001,200,0.0035
0.9686,0.0000,0.0000,0.0001,0.9684,0.0001,200,1.4115
0.9819,0.0000,0.0000,0.0000,0.9818,0.0001,200,2.3802
0.9629,0.0000,0.0000,0.0000,0.9628,0.0001,200,3.3621
0.9637,0.0000,0.0000,0.0000,0.9635,0.0002,200,4.3250
1.0247,0.0000,0.0000,0.0001,1.0245,0.0001,200,5.2887
0.9624,0.0000,0.0000,0.0000,0.9623,0.0001,200,6.3135
0.9574,0.0000,0.0000,0.0000,0.9572,0.0001,200,7.2759
0.9893,0.0000,0.0000,0.0000,0.9892,0.0001,200,8.2332
1.0119,0.0000,0.0000,0.0000,1.0117,0.0001,200,9.2225
1.0535,0.0000,0.0000,0.0000,1.0534,0.0001,200,10.2343
0.9515,0.0000,0.0000,0.0000,0.9514,0.0001,200,11.2879
0.9719,0.0000,0.0000,0.0000,0.9717,0.0001,200,12.2394
1.0492,0.0000,0.0000,0.0000,1.0491,0.0001,200,13.2113
0.9699,0.0000,0.0000,0.0001,0.9697,0.0001,200,14.2605
0.9438,0.0000,0.0000,0.0000,0.9436,0.0001,200,15.2304
1.0280,0.0000,0.0000,0.0000,1.0278,0.0001,200,16.1742
1.0287,0.0000,0.0000,0.0000,1.0285,0.0001,200,17.2022
0.9581,0.0000,0.0000,0.0000,0.9579,0.0001,200,18.2308
0.9783,0.0000,0.0000,0.0000,0.9782,0.0001,200,19.1889
1.0428,0.0000,0.0000,0.0000,1.0427,0.0001,200,20.1672
0.9919,0.0000,0.0000,0.0000,0.9918,0.0001,200,21.2100
0.9703,0.0000,0.0000,0.0000,0.9702,0.0001,200,22.2020
1.0298,0.0000,0.0000,0.0000,1.0297,0.0001,200,23.1723
0.9874,0.0000,0.0000,0.0000,0.9872,0.0001,200,24.2021
0.9683,0.0000,0.0000,0.0000,0.9681,0.0001,200,25.1895
1.0575,0.0000,0.0000,0.0000,1.0573,0.0001,200,26.1578
1.0471,0.0000,0.0000,0.0000,1.0470,0.0001,200,27.2153
1.1023,0.0000,0.0000,0.0000,1.1022,0.0001,200,28.2624
0.9379,0.0000,0.0000,0.0000,0.9378,0.0001,200,29.3647
0.9769,0.0000,0.0000,0.0000,0.9768,0.0001,200,30.3027
1.1249,0.0000,0.0000,0.0000,1.1247,0.0001,200,31.2796
1.0099,0.0000,0.0000,0.0000,1.0097,0.0001,200,32.4045
1.0081,0.0000,0.0000,0.0000,1.0079,0.0001,200,33.4143
1.0106,0.0000,0.0000,0.0000,1.0105,0.0001,200,34.4224
1.0656,0.0000,0.0000,0.0000,1.0654,0.0001,200,35.4330
0.9595,0.0000,0.0000,0.0000,0.9594,0.0001,200,36.4986
1.0342,0.0000,0.0000,0.0000,1.0341,0.0001,200,37.4582
1.0628,0.0000,0.0000,0.0000,1.0626,0.0001,200,38.4924
0.9756,0.0000,0.0000,0.0000,0.9755,0.0001,200,39.5552
0.9708,0.0000,0.0000,0.0000,0.9707,0.0001,200,40.5308
1.0175,0.0000,0.0000,0.0000,1.0173,0.0001,200,41.5017
1.0570,0.0000,0.0000,0.0000,1.0569,0.0001,200,42.5191
