response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.2422,0.0359,0.0016,0.0001,7.2060,0.0002,200,0.0044
7.1804,0.0000,0.0000,0.0000,7.1800,0.0003,200,7.2466
7.1751,0.0000,0.0000,0.0001,7.1748,0.0001,200,14.4269
7.3249,0.0000,0.0000,0.0000,7.3247,0.0001,200,21.6020
7.2957,0.0000,0.0000,0.0000,7.2956,0.0001,200,28.9269
7.2148,0.0000,0.0000,0.0000,7.2147,0.0001,200,36.2226
7.1689,0.0000,0.0000,0.0000,7.1687,0.0001,200,43.4375
7.2877,0.0000,0.0000,0.0000,7.2876,0.0001,200,50.6063
7.2407,0.0000,0.0000,0.0000,7.2405,0.0001,200,57.8941
7.2162,0.0000,0.0000,0.0000,7.2160,0.0001,200,65.1348
7.2077,0.0000,0.0000,0.0000,7.2075,0.0001,200,72.3510
7.1965,0.0000,0.0000,0.0000,7.1963,0.0001,200,79.5586
7.2025,0.0000,0.0000,0.0000,7.2024,0.0001,200,86.7551
7.2018,0.0000,0.0000,0.0000,7.2016,0.0001,200,93.9576
7.2765,0.0000,0.0000,0.0001,7.2763,0.0001,200,101.1594
7.2184,0.0000,0.0000,0.0000,7.2183,0.0001,200,108.4360
7.2242,0.0000,0.0000,0.0000,7.2236,0.0005,200,115.6544
7.2476,0.0000,0.0000,0.0005,7.2468,0.0001,200,122.8785
7.2153,0.0000,0.0000,0.0000,7.2151,0.0002,200,130.1261
7.2369,0.0000,0.0000,0.0001,7.2366,0.0001,200,137.3414
7.2197,0.0000,0.0000,0.0000,7.2196,0.0001,200,144.5783
7.2504,0.0000,0.0000,0.0000,7.2502,0.0001,200,151.7980
7.2668,0.0000,0.0000,0.0000,7.2667,0.0001,200,159.0484
7.2198,0.0000,0.0000,0.0000,7.2197,0.0001,200,166.3152
7.2994,0.0000,0.0000,0.0000,7.2992,0.0001,200,173.5350
7.2272,0.0000,0.0000,0.0000,7.2271,0.0001,200,180.8344
7.2192,0.0000,0.0000,0.0000,7.2191,0.0001,200,188.0617
7.2809,0.0000,0.0000,0.0000,7.2808,0.0001,200,195.2809
7.2004,0.0000,0.0000,0.0000,7.2003,0.0001,200,202.5618
7.2185,0.0000,0.0000,0.0000,7.2183,0.0001,200,209.7622
7.1687,0.0000,0.0000,0.0000,7.1686,0.0001,200,216.9807
7.2402,0.0000,0.0000,0.0000,7.2400,0.0001,200,224.1494
7.2528,0.0000,0.0000,0.0000,7.2526,0.0001,200,231.3896
7.2320,0.0000,0.0000,0.0000,7.2319,0.0001,200,238.6424
7.2777,0.0000,0.0000,0.0001,7.2768,0.0001,200,245.8744
7.2199,0.0000,0.0000,0.0000,7.2196,0.0002,200,253.1521
7.2118,0.0000,0.0000,0.0000,7.2114,0.0002,200,260.3720
7.2392,0.0000,0.0000,0.0000,7.2389,0.0001,200,267.5838
7.2094,0.0000,0.0000,0.0000,7.2092,0.0001,200,274.8230
7.3306,0.0000,0.0000,0.0000,7.3304,0.0001,200,282.0323
7.2112,0.0000,0.0000,0.0000,7.2111,0.0001,200,289.3629
7.2378,0.0000,0.0000,0.0000,7.2376,0.0001,200,296.5742
