response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.7403,0.0291,0.0012,0.0001,3.7103,0.0002,200,0.0052
3.7103,0.0000,0.0000,0.0001,3.7100,0.0001,200,3.7455
3.6649,0.0000,0.0000,0.0000,3.6648,0.0001,200,7.4558
3.6669,0.0000,0.0000,0.0000,3.6665,0.0003,200,11.1207
3.7098,0.0000,0.0000,0.0001,3.7096,0.0001,200,14.7876
3.6826,0.0000,0.0000,0.0000,3.6825,0.0001,200,18.4974
3.6812,0.0000,0.0000,0.0000,3.6811,0.0001,200,22.1801
3.7489,0.0000,0.0000,0.0000,3.7488,0.0001,200,25.8613
3.6929,0.0000,0.0000,0.0000,3.6927,0.0001,200,29.6102
3.7679,0.0000,0.0000,0.0001,3.7677,0.0001,200,33.3031
3.7210,0.0000,0.0000,0.0000,3.7209,0.0001,200,37.0709
3.7756,0.0000,0.0000,0.0000,3.7754,0.0001,200,40.7920
3.7272,0.0000,0.0000,0.0000,3.7271,0.0001,200,44.5675
3.7090,0.0000,0.0000,0.0000,3.7088,0.0001,200,48.2948
3.6926,0.0000,0.0000,0.0000,3.6924,0.0001,200,52.0037
3.7232,0.0000,0.0000,0.0000,3.7231,0.0001,200,55.6964
3.7239,0.0000,0.0000,0.0000,3.7238,0.0001,200,59.4196
3.7023,0.0000,0.0000,0.0000,3.7022,0.0001,200,63.1435
3.6843,0.0000,0.0000,0.0000,3.6841,0.0001,200,66.8458
3.7518,0.0000,0.0000,0.0000,3.7516,0.0001,200,70.5301
3.7309,0.0000,0.0000,0.0000,3.7307,0.0001,200,74.2819
3.7181,0.0000,0.0000,0.0000,3.7179,0.0001,200,78.0127
3.7489,0.0000,0.0000,0.0000,3.7488,0.0001,200,81.7308
3.7276,0.0000,0.0000,0.0000,3.7275,0.0001,200,85.4797
3.7472,0.0000,0.0000,0.0000,3.7470,0.0001,200,89.2073
3.6943,0.0000,0.0000,0.0000,3.6941,0.0001,200,92.9546
3.6814,0.0000,0.0000,0.0000,3.6812,0.0001,200,96.6488
3.8257,0.0000,0.0000,0.0000,3.8256,0.0001,200,100.3302
3.7460,0.0000,0.0000,0.0000,3.7458,0.0001,200,104.1560
3.6650,0.0000,0.0000,0.0000,3.6648,0.0001,200,107.9020
3.7163,0.0000,0.0000,0.0000,3.7161,0.0001,200,111.5669
3.7339,0.0000,0.0000,0.0000,3.7338,0.0001,200,115.2832
3.7164,0.0000,0.0000,0.0000,3.7157,0.0007,200,119.0171
3.8315,0.0000,0.0000,0.0003,3.8309,0.0002,200,122.7336
3.6908,0.0000,0.0000,0.0000,3.6907,0.0001,200,126.5651
3.7783,0.0000,0.0000,0.0000,3.7781,0.0001,200,130.2559
3.7179,0.0000,0.0000,0.0000,3.7177,0.0002,200,134.0342
3.7049,0.0000,0.0000,0.0000,3.7047,0.0001,200,137.7521
3.6779,0.0000,0.0000,0.0000,3.6778,0.0001,200,141.4570
3.7435,0.0000,0.0000,0.0000,3.7434,0.0001,200,145.1349
3.7415,0.0000,0.0000,0.0000,3.7413,0.0001,200,148.8784
3.7251,0.0000,0.0000,0.0000,3.7249,0.0001,200,152.6199
3.6864,0.0000,0.0000,0.0000,3.6862,0.0001,200,156.3450
3.7422,0.0000,0.0000,0.0000,3.7421,0.0001,200,160.0314
3.7399,0.0000,0.0000,0.0000,3.7398,0.0001,200,163.7736
3.6702,0.0000,0.0000,0.0000,3.6701,0.0001,200,167.5135
3.6772,0.0000,0.0000,0.0000,3.6771,0.0001,200,171.1838
3.8016,0.0000,0.0000,0.0000,3.8014,0.0001,200,174.8610
3.6722,0.0000,0.0000,0.0000,3.6720,0.0001,200,178.6626
3.7091,0.0000,0.0000,0.0000,3.7090,0.0001,200,182.3347
3.6603,0.0000,0.0000,0.0000,3.6601,0.0001,200,186.0439
3.7151,0.0000,0.0000,0.0000,3.7149,0.0001,200,189.7042
3.7469,0.0000,0.0000,0.0000,3.7468,0.0001,200,193.4193
3.6747,0.0000,0.0000,0.0000,3.6745,0.0001,200,197.1662
3.6926,0.0000,0.0000,0.0000,3.6925,0.0001,200,200.8409
3.7338,0.0000,0.0000,0.0000,3.7337,0.0001,200,204.5335
3.6708,0.0000,0.0000,0.0000,3.6706,0.0001,200,208.2673
3.7307,0.0000,0.0000,0.0000,3.7306,0.0001,200,211.9381
3.6994,0.0000,0.0000,0.0000,3.6993,0.0001,200,215.6688
3.8516,0.0000,0.0000,0.0000,3.8515,0.0001,200,219.3682
3.7735,0.0000,0.0000,0.0000,3.7734,0.0001,200,223.2199
3.7028,0.0000,0.0000,0.0000,3.7026,0.0001,200,226.9934
3.8216,0.0000,0.0000,0.0000,3.8215,0.0001,200,230.6961
3.7577,0.0000,0.0000,0.0000,3.7576,0.0001,200,234.5178
3.7209,0.0000,0.0000,0.0001,3.7208,0.0001,200,238.2755
3.7356,0.0000,0.0000,0.0000,3.7355,0.0001,200,241.9964
3.7640,0.0000,0.0000,0.0006,3.7633,0.0001,200,245.7321
3.7771,0.0000,0.0000,0.0000,3.7769,0.0001,200,249.4961
3.7588,0.0000,0.0000,0.0000,3.7584,0.0003,200,253.2732
3.6847,0.0000,0.0000,0.0001,3.6844,0.0001,200,257.0320
3.6938,0.0000,0.0000,0.0000,3.6936,0.0001,200,260.7166
3.7654,0.0000,0.0000,0.0000,3.7652,0.0001,200,264.4104
3.6936,0.0000,0.0000,0.0000,3.6935,0.0001,200,268.1758
3.6884,0.0000,0.0000,0.0000,3.6882,0.0001,200,271.8695
3.6723,0.0000,0.0000,0.0001,3.6721,0.0001,200,275.5578
3.7023,0.0000,0.0000,0.0000,3.7022,0.0001,200,279.2302
3.7510,0.0000,0.0000,0.0000,3.7508,0.0001,200,282.9325
3.6781,0.0000,0.0000,0.0000,3.6779,0.0001,200,286.6835
3.6959,0.0000,0.0000,0.0000,3.6958,0.0001,200,290.3615
3.7166,0.0000,0.0000,0.0001,3.7165,0.0001,200,294.0575
3.6812,0.0000,0.0000,0.0000,3.6810,0.0001,200,297.7741
