response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.7470,0.0290,0.0012,0.0001,5.7177,0.0002,200,0.0035
5.6882,0.0000,0.0000,0.0000,5.6880,0.0002,200,5.7505
5.6580,0.0000,0.0000,0.0000,5.6578,0.0001,200,11.4386
5.6339,0.0000,0.0000,0.0000,5.6338,0.0001,200,17.0966
5.7008,0.0000,0.0000,0.0000,5.7006,0.0001,200,22.7306
5.6215,0.0000,0.0000,0.0000,5.6213,0.0001,200,28.4313
5.9825,0.0000,0.0000,0.0000,5.9823,0.0001,200,34.0528
5.7208,0.0000,0.0000,0.0001,5.7206,0.0001,200,40.0353
5.5644,0.0000,0.0000,0.0000,5.5643,0.0001,200,45.7561
5.6472,0.0000,0.0000,0.0000,5.6470,0.0001,200,51.3206
5.5874,0.0000,0.0000,0.0000,5.5872,0.0001,200,56.9678
5.6584,0.0000,0.0000,0.0000,5.6583,0.0001,200,62.5552
5.6044,0.0000,0.0000,0.0000,5.6042,0.0001,200,68.2136
5.6401,0.0000,0.0000,0.0000,5.6400,0.0001,200,73.8180
5.6574,0.0000,0.0000,0.0000,5.6573,0.0001,200,79.4581
5.6408,0.0000,0.0000,0.0000,5.6406,0.0001,200,85.1156
5.6525,0.0000,0.0000,0.0000,5.6524,0.0001,200,90.7563
5.9129,0.0000,0.0000,0.0000,5.9128,0.0001,200,96.4088
5.6460,0.0000,0.0000,0.0000,5.6458,0.0001,200,102.3218
5.7428,0.0000,0.0000,0.0000,5.7426,0.0001,200,107.9678
5.5919,0.0000,0.0000,0.0000,5.5918,0.0001,200,113.7105
5.6252,0.0000,0.0000,0.0000,5.6251,0.0001,200,119.3025
5.6235,0.0000,0.0000,0.0001,5.6229,0.0001,200,124.9277
5.6938,0.0000,0.0000,0.0000,5.6937,0.0001,200,130.5512
5.6280,0.0000,0.0000,0.0000,5.6277,0.0001,200,136.2450
5.6770,0.0000,0.0000,0.0000,5.6768,0.0001,200,141.8730
5.6811,0.0000,0.0000,0.0000,5.6810,0.0001,200,147.5499
5.8757,0.0000,0.0000,0.0000,5.8755,0.0001,200,153.2310
5.6158,0.0000,0.0000,0.0000,5.6157,0.0001,200,159.1067
5.5926,0.0000,0.0000,0.0000,5.5924,0.0001,200,164.7225
5.6942,0.0000,0.0000,0.0000,5.6940,0.0001,200,170.3151
5.5691,0.0000,0.0000,0.0000,5.5689,0.0001,200,176.0093
5.6346,0.0000,0.0000,0.0000,5.6344,0.0001,200,181.5783
5.6037,0.0000,0.0000,0.0000,5.6036,0.0001,200,187.2129
5.7125,0.0000,0.0000,0.0000,5.7124,0.0001,200,192.8167
5.6831,0.0000,0.0000,0.0000,5.6830,0.0001,200,198.5292
5.5860,0.0000,0.0000,0.0000,5.5859,0.0001,200,204.2123
6.0611,0.0000,0.0000,0.0001,6.0609,0.0001,200,209.7984
5.7261,0.0000,0.0000,0.0001,5.7259,0.0001,200,215.8595
5.6827,0.0000,0.0000,0.0000,5.6826,0.0001,200,221.5856
5.7185,0.0000,0.0000,0.0000,5.7184,0.0001,200,227.2683
5.6498,0.0000,0.0000,0.0000,5.6497,0.0001,200,232.9868
5.6104,0.0000,0.0000,0.0000,5.6102,0.0001,200,238.6367
5.6767,0.0000,0.0000,0.0000,5.6766,0.0001,200,244.2470
5.5922,0.0000,0.0000,0.0000,5.5920,0.0001,200,249.9238
5.6106,0.0000,0.0000,0.0000,5.6105,0.0001,200,255.5159
5.6281,0.0000,0.0000,0.0000,5.6279,0.0001,200,261.1266
5.6702,0.0000,0.0000,0.0000,5.6700,0.0001,200,266.7547
5.6221,0.0000,0.0000,0.0000,5.6219,0.0001,200,272.4249
5.6185,0.0000,0.0000,0.0000,5.6184,0.0001,200,278.0469
5.8863,0.0000,0.0000,0.0000,5.8862,0.0001,200,283.6655
5.6106,0.0000,0.0000,0.0000,5.6105,0.0001,200,289.5518
5.6294,0.0000,0.0000,0.0000,5.6292,0.0001,200,295.1624
