response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.5843,0.0402,0.0014,0.0001,30.5438,0.0001,200,0.0039
30.0220,0.0000,0.0000,0.0000,30.0218,0.0001,200,30.5881
30.0232,0.0000,0.0000,0.0000,30.0229,0.0002,200,60.6102
30.0254,0.0000,0.0000,0.0001,30.0252,0.0001,200,90.6333
30.0209,0.0000,0.0000,0.0001,30.0203,0.0001,200,120.6588
30.0239,0.0000,0.0000,0.0000,30.0237,0.0001,200,150.6796
30.0257,0.0000,0.0000,0.0000,30.0254,0.0001,200,180.7035
30.0212,0.0000,0.0000,0.0000,30.0210,0.0001,200,210.7291
30.0229,0.0000,0.0000,0.0001,30.0222,0.0001,200,240.7503
30.0229,0.0000,0.0000,0.0000,30.0227,0.0001,200,270.7732
