response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2455,0.0382,0.0011,0.0001,2.2071,0.0001,200,0.0036
2.2316,0.0000,0.0000,0.0000,2.2314,0.0001,200,2.2491
2.1897,0.0000,0.0000,0.0000,2.1895,0.0001,200,4.4807
2.1785,0.0000,0.0000,0.0000,2.1783,0.0002,200,6.6704
2.1706,0.0000,0.0000,0.0000,2.1703,0.0001,200,8.8489
2.1707,0.0000,0.0000,0.0000,2.1706,0.0001,200,11.0195
2.2047,0.0000,0.0000,0.0000,2.2046,0.0001,200,13.1902
2.1621,0.0000,0.0000,0.0000,2.1620,0.0001,200,15.3949
2.1758,0.0000,0.0000,0.0000,2.1757,0.0001,200,17.5570
2.1604,0.0000,0.0000,0.0000,2.1603,0.0001,200,19.7328
2.1727,0.0000,0.0000,0.0000,2.1724,0.0002,200,21.8932
2.1875,0.0000,0.0000,0.0000,2.1874,0.0001,200,24.0659
2.1569,0.0000,0.0000,0.0000,2.1567,0.0001,200,26.2534
2.1490,0.0000,0.0000,0.0000,2.1489,0.0001,200,28.4103
2.1567,0.0000,0.0000,0.0000,2.1565,0.0001,200,30.5593
2.2199,0.0000,0.0000,0.0001,2.2197,0.0001,200,32.7160
2.1843,0.0000,0.0000,0.0000,2.1841,0.0001,200,34.9359
2.1949,0.0000,0.0000,0.0000,2.1948,0.0001,200,37.1202
2.1691,0.0000,0.0000,0.0000,2.1689,0.0001,200,39.3151
2.2010,0.0000,0.0000,0.0000,2.2009,0.0001,200,41.4842
2.2133,0.0000,0.0000,0.0000,2.2132,0.0001,200,43.6852
2.1661,0.0000,0.0000,0.0000,2.1660,0.0001,200,45.8985
2.2078,0.0000,0.0000,0.0000,2.2076,0.0001,200,48.0647
2.1724,0.0000,0.0000,0.0000,2.1722,0.0001,200,50.2724
2.1896,0.0000,0.0000,0.0000,2.1895,0.0001,200,52.4448
2.1970,0.0000,0.0000,0.0000,2.1968,0.0001,200,54.6344
2.1720,0.0000,0.0000,0.0000,2.1719,0.0001,200,56.8314
2.1657,0.0000,0.0000,0.0000,2.1655,0.0001,200,59.0035
2.1817,0.0000,0.0000,0.0001,2.1815,0.0001,200,61.1692
2.2318,0.0000,0.0000,0.0000,2.2316,0.0001,200,63.3509
2.1742,0.0000,0.0000,0.0000,2.1741,0.0001,200,65.5827
2.1729,0.0000,0.0000,0.0000,2.1727,0.0001,200,67.7569
