response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.5826,0.0291,0.0012,0.0001,3.5533,0.0001,200,0.0033
3.4081,0.0000,0.0000,0.0000,3.4079,0.0001,200,3.5860
3.3079,0.0000,0.0000,0.0000,3.3078,0.0001,200,6.9941
3.3441,0.0000,0.0000,0.0000,3.3438,0.0002,200,10.3020
3.3227,0.0000,0.0000,0.0000,3.3225,0.0001,200,13.6460
3.3852,0.0000,0.0000,0.0001,3.3850,0.0001,200,16.9688
3.3999,0.0000,0.0000,0.0000,3.3998,0.0001,200,20.3540
3.4664,0.0000,0.0000,0.0000,3.4662,0.0001,200,23.7539
3.3657,0.0000,0.0000,0.0000,3.3656,0.0001,200,27.2203
3.3518,0.0000,0.0000,0.0000,3.3517,0.0001,200,30.5860
3.6134,0.0000,0.0000,0.0000,3.6132,0.0001,200,33.9378
3.4748,0.0000,0.0000,0.0001,3.4746,0.0001,200,37.5512
3.3599,0.0000,0.0000,0.0000,3.3598,0.0001,200,41.0260
3.4844,0.0000,0.0000,0.0000,3.4842,0.0001,200,44.3859
3.3233,0.0000,0.0000,0.0000,3.3231,0.0001,200,47.8703
3.3563,0.0000,0.0000,0.0000,3.3562,0.0001,200,51.1937
3.4081,0.0000,0.0000,0.0000,3.4079,0.0001,200,54.5500
3.3202,0.0000,0.0000,0.0000,3.3201,0.0001,200,57.9581
3.2689,0.0000,0.0000,0.0000,3.2688,0.0001,200,61.2783
3.4390,0.0000,0.0000,0.0000,3.4389,0.0001,200,64.5473
3.2503,0.0000,0.0000,0.0000,3.2502,0.0001,200,67.9863
3.3494,0.0000,0.0000,0.0000,3.3493,0.0001,200,71.2366
3.4603,0.0000,0.0000,0.0000,3.4601,0.0001,200,74.5860
3.3198,0.0000,0.0000,0.0000,3.3196,0.0001,200,78.0463
3.4088,0.0000,0.0000,0.0000,3.4087,0.0001,200,81.3661
3.4161,0.0000,0.0000,0.0000,3.4159,0.0001,200,84.7749
3.3093,0.0000,0.0000,0.0000,3.3092,0.0001,200,88.1910
3.4177,0.0000,0.0000,0.0000,3.4175,0.0001,200,91.5003
3.4002,0.0000,0.0000,0.0000,3.4001,0.0001,200,94.9180
3.4028,0.0000,0.0000,0.0000,3.4027,0.0001,200,98.3182
3.3649,0.0000,0.0000,0.0000,3.3647,0.0001,200,101.7211
3.4144,0.0000,0.0000,0.0001,3.4142,0.0001,200,105.0859
3.3975,0.0000,0.0000,0.0000,3.3973,0.0001,200,108.5003
3.3364,0.0000,0.0000,0.0000,3.3362,0.0001,200,111.8978
3.4319,0.0000,0.0000,0.0000,3.4317,0.0001,200,115.2342
3.3720,0.0000,0.0000,0.0000,3.3716,0.0004,200,118.6660
3.3278,0.0000,0.0000,0.0001,3.3274,0.0001,200,122.0382
3.4403,0.0000,0.0000,0.0000,3.4401,0.0001,200,125.3660
3.3400,0.0000,0.0000,0.0000,3.3398,0.0001,200,128.8063
3.3118,0.0000,0.0000,0.0000,3.3116,0.0001,200,132.1463
3.4923,0.0000,0.0000,0.0000,3.4921,0.0001,200,135.4580
3.4130,0.0000,0.0000,0.0000,3.4129,0.0001,200,138.9503
3.3190,0.0000,0.0000,0.0001,3.3188,0.0001,200,142.3634
3.4438,0.0000,0.0000,0.0000,3.4437,0.0001,200,145.6823
3.3357,0.0000,0.0000,0.0000,3.3356,0.0001,200,149.1261
3.3160,0.0000,0.0000,0.0000,3.3159,0.0001,200,152.4618
3.4363,0.0000,0.0000,0.0000,3.4362,0.0001,200,155.7779
3.2735,0.0000,0.0000,0.0000,3.2734,0.0001,200,159.2142
3.3103,0.0000,0.0000,0.0000,3.3102,0.0001,200,162.4877
3.4122,0.0000,0.0000,0.0001,3.4121,0.0001,200,165.7980
3.3423,0.0000,0.0000,0.0000,3.3422,0.0001,200,169.2102
3.3059,0.0000,0.0000,0.0000,3.3057,0.0001,200,172.5526
3.3819,0.0000,0.0000,0.0000,3.3818,0.0001,200,175.8584
3.2698,0.0000,0.0000,0.0000,3.2696,0.0001,200,179.2404
3.3840,0.0000,0.0000,0.0000,3.3838,0.0001,200,182.5101
3.5170,0.0000,0.0000,0.0000,3.5168,0.0001,200,185.8941
3.2949,0.0000,0.0000,0.0000,3.2947,0.0001,200,189.4111
3.3277,0.0000,0.0000,0.0000,3.3275,0.0002,200,192.7060
3.4646,0.0000,0.0000,0.0000,3.4644,0.0001,200,196.0337
3.3123,0.0000,0.0000,0.0000,3.3121,0.0001,200,199.4983
3.3076,0.0000,0.0000,0.0000,3.3075,0.0001,200,202.8105
3.3685,0.0000,0.0000,0.0000,3.3684,0.0001,200,206.1181
3.2913,0.0000,0.0000,0.0000,3.2912,0.0001,200,209.4866
3.2959,0.0000,0.0000,0.0000,3.2958,0.0001,200,212.7780
3.4604,0.0000,0.0000,0.0000,3.4602,0.0001,200,216.0739
3.3158,0.0000,0.0000,0.0000,3.3156,0.0001,200,219.5343
3.3400,0.0000,0.0000,0.0000,3.3398,0.0001,200,222.8500
3.5002,0.0000,0.0000,0.0000,3.5000,0.0001,200,226.1900
3.3036,0.0000,0.0000,0.0000,3.3034,0.0001,200,229.6902
3.2919,0.0000,0.0000,0.0000,3.2918,0.0001,200,232.9938
3.3948,0.0000,0.0000,0.0000,3.3947,0.0001,200,236.2858
3.2814,0.0000,0.0000,0.0000,3.2813,0.0001,200,239.6806
3.3120,0.0000,0.0000,0.0001,3.3114,0.0001,200,242.9620
3.3770,0.0000,0.0000,0.0000,3.3769,0.0001,200,246.2740
3.2830,0.0000,0.0000,0.0000,3.2828,0.0001,200,249.6510
3.3198,0.0000,0.0000,0.0000,3.3197,0.0001,200,252.9340
3.4043,0.0000,0.0000,0.0000,3.4042,0.0001,200,256.2539
3.3078,0.0000,0.0000,0.0000,3.3076,0.0001,200,259.6582
3.3041,0.0000,0.0000,0.0000,3.3039,0.0001,200,262.9660
3.4473,0.0000,0.0000,0.0000,3.4471,0.0001,200,266.2701
3.3287,0.0000,0.0000,0.0000,3.3286,0.0001,200,269.7173
3.3202,0.0000,0.0000,0.0000,3.3201,0.0001,200,273.0461
3.4543,0.0000,0.0000,0.0000,3.4541,0.0001,200,276.3663
3.3814,0.0000,0.0000,0.0000,3.3813,0.0001,200,279.8205
3.3373,0.0000,0.0000,0.0000,3.3371,0.0001,200,283.2020
3.3905,0.0000,0.0000,0.0000,3.3903,0.0001,200,286.5392
3.3978,0.0000,0.0000,0.0000,3.3977,0.0001,200,289.9297
3.4104,0.0000,0.0000,0.0000,3.4102,0.0001,200,293.3276
3.3601,0.0000,0.0000,0.0000,3.3600,0.0001,200,296.7379
