response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.4195,0.0298,0.0012,0.0001,8.3895,0.0001,200,0.0024
8.2348,0.0000,0.0000,0.0001,8.2345,0.0002,200,8.4219
8.2311,0.0000,0.0000,0.0000,8.2309,0.0001,200,16.6567
8.0955,0.0000,0.0000,0.0000,8.0954,0.0001,200,24.8878
8.3243,0.0000,0.0000,0.0000,8.3241,0.0001,200,32.9833
8.2991,0.0000,0.0000,0.0000,8.2990,0.0001,200,41.3076
8.2525,0.0000,0.0000,0.0000,8.2524,0.0001,200,49.6067
8.2481,0.0000,0.0000,0.0000,8.2479,0.0001,200,57.8592
8.2122,0.0000,0.0000,0.0000,8.2120,0.0001,200,66.1073
8.1799,0.0000,0.0000,0.0000,8.1797,0.0001,200,74.3195
8.1269,0.0000,0.0000,0.0000,8.1267,0.0001,200,82.4993
8.2292,0.0000,0.0000,0.0000,8.2290,0.0001,200,90.6262
8.3837,0.0000,0.0000,0.0000,8.3835,0.0001,200,98.8554
8.2683,0.0000,0.0000,0.0000,8.2682,0.0001,200,107.2391
8.3203,0.0000,0.0000,0.0000,8.3201,0.0001,200,115.5075
8.1598,0.0000,0.0000,0.0005,8.1586,0.0001,200,123.8278
8.3599,0.0000,0.0000,0.0000,8.3598,0.0001,200,131.9876
8.2257,0.0000,0.0000,0.0000,8.2255,0.0001,200,140.3476
8.1938,0.0000,0.0000,0.0000,8.1936,0.0001,200,148.5733
8.2002,0.0000,0.0000,0.0000,8.2000,0.0001,200,156.7670
8.2439,0.0000,0.0000,0.0000,8.2437,0.0001,200,164.9672
8.2644,0.0000,0.0000,0.0000,8.2642,0.0001,200,173.2111
8.1849,0.0000,0.0000,0.0000,8.1848,0.0001,200,181.4755
8.2472,0.0000,0.0000,0.0000,8.2470,0.0001,200,189.6604
8.2225,0.0000,0.0000,0.0000,8.2223,0.0001,200,197.9075
8.1936,0.0000,0.0000,0.0000,8.1935,0.0001,200,206.1300
8.1560,0.0000,0.0000,0.0000,8.1559,0.0001,200,214.3237
8.2397,0.0000,0.0000,0.0001,8.2395,0.0001,200,222.4797
8.1927,0.0000,0.0000,0.0000,8.1926,0.0001,200,230.7193
8.2779,0.0000,0.0000,0.0001,8.2777,0.0001,200,238.9121
8.2094,0.0000,0.0000,0.0004,8.2087,0.0001,200,247.1901
8.1678,0.0000,0.0000,0.0000,8.1677,0.0001,200,255.3995
8.1720,0.0000,0.0000,0.0000,8.1718,0.0001,200,263.5674
8.0925,0.0000,0.0000,0.0000,8.0923,0.0001,200,271.7394
8.2157,0.0000,0.0000,0.0001,8.2155,0.0001,200,279.8318
8.1827,0.0000,0.0000,0.0000,8.1826,0.0001,200,288.0475
8.2888,0.0000,0.0000,0.0000,8.2886,0.0001,200,296.2302
