response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.6751,0.0336,0.0011,0.0001,6.6413,0.0001,200,0.0033
6.4219,0.0000,0.0000,0.0000,6.4217,0.0001,200,6.6784
6.5153,0.0000,0.0000,0.0000,6.5151,0.0001,200,13.1003
6.4745,0.0000,0.0000,0.0000,6.4743,0.0001,200,19.6156
6.4625,0.0000,0.0000,0.0000,6.4623,0.0001,200,26.0901
6.4989,0.0000,0.0000,0.0000,6.4988,0.0001,200,32.5525
6.4878,0.0000,0.0000,0.0000,6.4877,0.0001,200,39.0515
6.5078,0.0000,0.0000,0.0000,6.5077,0.0001,200,45.5393
6.4804,0.0000,0.0000,0.0000,6.4803,0.0001,200,52.0471
6.4510,0.0000,0.0000,0.0000,6.4509,0.0001,200,58.5275
6.4390,0.0000,0.0000,0.0000,6.4388,0.0001,200,64.9786
6.5642,0.0000,0.0000,0.0001,6.5640,0.0001,200,71.4175
6.4637,0.0000,0.0000,0.0000,6.4636,0.0001,200,77.9817
6.4802,0.0000,0.0000,0.0000,6.4801,0.0001,200,84.4455
6.5402,0.0000,0.0000,0.0000,6.5401,0.0001,200,90.9257
6.4973,0.0000,0.0000,0.0000,6.4972,0.0001,200,97.4660
6.4569,0.0000,0.0000,0.0000,6.4568,0.0001,200,103.9633
6.4802,0.0000,0.0000,0.0000,6.4801,0.0001,200,110.4202
6.4460,0.0000,0.0000,0.0001,6.4459,0.0001,200,116.9004
6.4928,0.0000,0.0000,0.0000,6.4922,0.0001,200,123.3465
6.4803,0.0000,0.0000,0.0000,6.4801,0.0001,200,129.8392
6.4563,0.0000,0.0000,0.0000,6.4561,0.0001,200,136.3195
6.4630,0.0000,0.0000,0.0000,6.4628,0.0002,200,142.7758
6.5286,0.0000,0.0000,0.0000,6.5284,0.0001,200,149.2388
6.4683,0.0000,0.0000,0.0000,6.4682,0.0001,200,155.7674
6.4793,0.0000,0.0000,0.0000,6.4792,0.0001,200,162.2358
6.4819,0.0000,0.0000,0.0000,6.4817,0.0001,200,168.7151
6.4624,0.0000,0.0000,0.0000,6.4623,0.0001,200,175.1970
6.4808,0.0000,0.0000,0.0000,6.4807,0.0001,200,181.6594
6.4628,0.0000,0.0000,0.0000,6.4626,0.0001,200,188.1402
6.4210,0.0000,0.0000,0.0000,6.4209,0.0001,200,194.6029
6.4571,0.0000,0.0000,0.0000,6.4569,0.0001,200,201.0240
6.5041,0.0000,0.0000,0.0001,6.5039,0.0001,200,207.4810
6.5355,0.0000,0.0000,0.0000,6.5353,0.0001,200,213.9852
6.4363,0.0000,0.0000,0.0000,6.4362,0.0001,200,220.5207
6.4528,0.0000,0.0000,0.0000,6.4527,0.0001,200,226.9570
6.5045,0.0000,0.0000,0.0001,6.5043,0.0001,200,233.4098
6.4807,0.0000,0.0000,0.0000,6.4805,0.0001,200,239.9143
6.4441,0.0000,0.0000,0.0002,6.4433,0.0001,200,246.3949
6.5116,0.0000,0.0000,0.0001,6.5112,0.0001,200,252.8391
6.4451,0.0000,0.0000,0.0000,6.4449,0.0002,200,259.3506
6.4395,0.0000,0.0000,0.0000,6.4394,0.0001,200,265.7957
6.4792,0.0000,0.0000,0.0000,6.4791,0.0001,200,272.2353
6.4704,0.0000,0.0000,0.0000,6.4703,0.0001,200,278.7145
6.4955,0.0000,0.0000,0.0000,6.4953,0.0001,200,285.1849
6.5109,0.0000,0.0000,0.0000,6.5107,0.0001,200,291.6804
6.4872,0.0000,0.0000,0.0000,6.4870,0.0001,200,298.1913
