response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.1713,0.0406,0.0014,0.0001,1.1304,0.0002,200,0.0028
1.1601,0.0000,0.0000,0.0000,1.1600,0.0001,200,1.1741
1.1308,0.0000,0.0000,0.0000,1.1306,0.0001,200,2.3342
1.1417,0.0000,0.0000,0.0001,1.1415,0.0001,200,3.4650
1.1406,0.0000,0.0000,0.0000,1.1405,0.0001,200,4.6067
1.1485,0.0000,0.0000,0.0000,1.1483,0.0001,200,5.7474
1.1532,0.0000,0.0000,0.0000,1.1531,0.0001,200,6.8958
1.1301,0.0000,0.0000,0.0000,1.1299,0.0001,200,8.0490
1.1485,0.0000,0.0000,0.0000,1.1484,0.0001,200,9.1791
1.1459,0.0000,0.0000,0.0000,1.1458,0.0001,200,10.3276
1.1950,0.0000,0.0000,0.0000,1.1948,0.0001,200,11.4736
1.1357,0.0000,0.0000,0.0000,1.1356,0.0001,200,12.6685
1.1427,0.0000,0.0000,0.0000,1.1425,0.0001,200,13.8043
1.1417,0.0000,0.0000,0.0000,1.1416,0.0001,200,14.9470
1.1664,0.0000,0.0000,0.0000,1.1663,0.0001,200,16.0887
1.1531,0.0000,0.0000,0.0000,1.1530,0.0001,200,17.2551
1.1506,0.0000,0.0000,0.0000,1.1505,0.0001,200,18.4082
1.1524,0.0000,0.0000,0.0000,1.1523,0.0001,200,19.5589
1.1485,0.0000,0.0000,0.0000,1.1484,0.0001,200,20.7113
1.1466,0.0000,0.0000,0.0000,1.1465,0.0001,200,21.8598
1.1429,0.0000,0.0000,0.0000,1.1427,0.0001,200,23.0064
1.1568,0.0000,0.0000,0.0000,1.1566,0.0001,200,24.1493
1.1526,0.0000,0.0000,0.0000,1.1525,0.0001,200,25.3061
1.1519,0.0000,0.0000,0.0000,1.1518,0.0001,200,26.4587
1.1434,0.0000,0.0000,0.0000,1.1431,0.0002,200,27.6107
1.1474,0.0000,0.0000,0.0000,1.1473,0.0001,200,28.7540
1.1351,0.0000,0.0000,0.0001,1.1350,0.0001,200,29.9014
1.1635,0.0000,0.0000,0.0000,1.1634,0.0001,200,31.0366
1.1341,0.0000,0.0000,0.0000,1.1340,0.0001,200,32.2001
1.1576,0.0000,0.0000,0.0000,1.1575,0.0001,200,33.3342
1.1342,0.0000,0.0000,0.0001,1.1340,0.0001,200,34.4918
1.1551,0.0000,0.0000,0.0000,1.1550,0.0001,200,35.6260
1.1775,0.0000,0.0000,0.0000,1.1773,0.0001,200,36.7811
1.1378,0.0000,0.0000,0.0000,1.1376,0.0001,200,37.9586
1.1497,0.0000,0.0000,0.0000,1.1496,0.0001,200,39.0964
1.1496,0.0000,0.0000,0.0000,1.1494,0.0001,200,40.2461
