response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.9134,0.0280,0.0014,0.0001,2.8851,0.0002,200,0.0034
2.7886,0.0000,0.0000,0.0000,2.7885,0.0001,200,2.9168
2.7702,0.0000,0.0000,0.0000,2.7700,0.0001,200,5.7054
2.8411,0.0000,0.0000,0.0001,2.8409,0.0001,200,8.4757
2.8145,0.0000,0.0000,0.0000,2.8143,0.0001,200,11.3168
2.8066,0.0000,0.0000,0.0000,2.8064,0.0001,200,14.1313
2.7455,0.0000,0.0000,0.0000,2.7453,0.0001,200,16.9379
2.7460,0.0000,0.0000,0.0000,2.7459,0.0001,200,19.6834
2.8615,0.0000,0.0000,0.0000,2.8613,0.0001,200,22.4294
2.7609,0.0000,0.0000,0.0000,2.7608,0.0001,200,25.2909
2.8150,0.0000,0.0000,0.0000,2.8148,0.0001,200,28.0518
2.8233,0.0000,0.0000,0.0000,2.8231,0.0001,200,30.8668
2.8161,0.0000,0.0000,0.0000,2.8159,0.0001,200,33.6901
2.8164,0.0000,0.0000,0.0000,2.8162,0.0001,200,36.5062
2.7957,0.0000,0.0000,0.0000,2.7956,0.0001,200,39.3225
2.8378,0.0000,0.0000,0.0000,2.8377,0.0001,200,42.1182
2.7724,0.0000,0.0000,0.0000,2.7723,0.0001,200,44.9561
2.8250,0.0000,0.0000,0.0000,2.8248,0.0001,200,47.7285
2.8619,0.0000,0.0000,0.0000,2.8618,0.0001,200,50.5534
2.7532,0.0000,0.0000,0.0000,2.7530,0.0001,200,53.4154
2.8028,0.0000,0.0000,0.0000,2.8026,0.0001,200,56.1685
2.7660,0.0000,0.0000,0.0000,2.7658,0.0001,200,58.9713
2.8363,0.0000,0.0000,0.0000,2.8362,0.0001,200,61.7373
2.7719,0.0000,0.0000,0.0000,2.7717,0.0001,200,64.5736
2.8327,0.0000,0.0000,0.0000,2.8326,0.0001,200,67.3455
2.8475,0.0000,0.0000,0.0000,2.8473,0.0001,200,70.1782
2.7896,0.0000,0.0000,0.0000,2.7895,0.0001,200,73.0257
2.7849,0.0000,0.0000,0.0000,2.7848,0.0001,200,75.8153
2.7879,0.0000,0.0000,0.0000,2.7878,0.0001,200,78.6003
2.8060,0.0000,0.0000,0.0000,2.8058,0.0001,200,81.3882
2.8279,0.0000,0.0000,0.0000,2.8278,0.0001,200,84.1942
2.7820,0.0000,0.0000,0.0000,2.7819,0.0001,200,87.0221
2.8607,0.0000,0.0000,0.0000,2.8605,0.0001,200,89.8041
2.7929,0.0000,0.0000,0.0000,2.7927,0.0001,200,92.6648
2.7638,0.0000,0.0000,0.0000,2.7637,0.0001,200,95.4577
2.7869,0.0000,0.0000,0.0000,2.7867,0.0001,200,98.2215
2.8565,0.0000,0.0000,0.0000,2.8564,0.0001,200,101.0084
2.7930,0.0000,0.0000,0.0000,2.7928,0.0001,200,103.8649
2.7552,0.0000,0.0000,0.0000,2.7551,0.0001,200,106.6579
2.8118,0.0000,0.0000,0.0000,2.8117,0.0001,200,109.4131
2.8108,0.0000,0.0000,0.0000,2.8106,0.0001,200,112.2249
2.7659,0.0000,0.0000,0.0000,2.7657,0.0001,200,115.0357
2.7451,0.0000,0.0000,0.0000,2.7449,0.0001,200,117.8016
2.8078,0.0000,0.0000,0.0003,2.8068,0.0001,200,120.5467
2.7978,0.0000,0.0000,0.0001,2.7975,0.0001,200,123.3545
2.7440,0.0000,0.0000,0.0000,2.7438,0.0001,200,126.1522
2.7642,0.0000,0.0000,0.0000,2.7640,0.0001,200,128.8962
2.8246,0.0000,0.0000,0.0000,2.8245,0.0001,200,131.6603
2.8415,0.0000,0.0000,0.0000,2.8413,0.0001,200,134.4850
2.7480,0.0000,0.0000,0.0000,2.7478,0.0001,200,137.3265
2.8636,0.0000,0.0000,0.0000,2.8635,0.0001,200,140.0744
2.7682,0.0000,0.0000,0.0000,2.7681,0.0001,200,142.9381
2.7762,0.0000,0.0000,0.0000,2.7761,0.0001,200,145.7063
2.8318,0.0000,0.0000,0.0000,2.8316,0.0001,200,148.4825
2.7493,0.0000,0.0000,0.0000,2.7491,0.0001,200,151.3143
2.7676,0.0000,0.0000,0.0000,2.7674,0.0001,200,154.0636
