response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.6134,0.0281,0.0012,0.0001,3.5851,0.0002,200,0.0033
5.0901,0.0000,0.0000,0.0001,5.0898,0.0001,200,3.6168
4.1067,0.0000,0.0000,0.0000,4.1066,0.0001,200,8.7069
4.2058,0.0000,0.0000,0.0000,4.2057,0.0001,200,12.8136
3.7957,0.0000,0.0000,0.0000,3.7955,0.0001,200,17.0194
4.3371,0.0000,0.0000,0.0000,4.3370,0.0001,200,20.8151
4.1556,0.0000,0.0000,0.0000,4.1554,0.0001,200,25.1522
4.3731,0.0000,0.0000,0.0000,4.3730,0.0001,200,29.3078
3.6983,0.0000,0.0000,0.0000,3.6982,0.0001,200,33.6809
4.0891,0.0000,0.0000,0.0000,4.0889,0.0001,200,37.3792
3.9963,0.0000,0.0000,0.0000,3.9961,0.0001,200,41.4683
3.8446,0.0000,0.0000,0.0000,3.8445,0.0001,200,45.4646
3.9271,0.0000,0.0000,0.0000,3.9270,0.0001,200,49.3092
4.2666,0.0000,0.0000,0.0000,4.2664,0.0001,200,53.2363
4.1051,0.0000,0.0000,0.0000,4.1050,0.0001,200,57.5029
4.2056,0.0000,0.0000,0.0000,4.2054,0.0001,200,61.6080
3.7612,0.0000,0.0000,0.0000,3.7610,0.0001,200,65.8135
3.8798,0.0000,0.0000,0.0000,3.8796,0.0001,200,69.5747
4.0613,0.0000,0.0000,0.0000,4.0611,0.0001,200,73.4546
4.2887,0.0000,0.0000,0.0000,4.2885,0.0001,200,77.5158
3.7759,0.0000,0.0000,0.0000,3.7758,0.0001,200,81.8045
4.3960,0.0000,0.0000,0.0000,4.3959,0.0001,200,85.5804
3.9051,0.0000,0.0000,0.0000,3.9049,0.0001,200,89.9765
4.2192,0.0000,0.0000,0.0000,4.2191,0.0001,200,93.8815
3.9914,0.0000,0.0000,0.0000,3.9913,0.0001,200,98.1007
4.4704,0.0000,0.0000,0.0000,4.4702,0.0001,200,102.0922
3.8386,0.0000,0.0000,0.0000,3.8385,0.0001,200,106.5626
4.4436,0.0000,0.0000,0.0000,4.4435,0.0001,200,110.4012
3.8607,0.0000,0.0000,0.0000,3.8605,0.0001,200,114.8448
3.6789,0.0000,0.0000,0.0000,3.6787,0.0001,200,118.7055
3.9314,0.0000,0.0000,0.0001,3.9308,0.0001,200,122.3846
4.0555,0.0000,0.0000,0.0000,4.0553,0.0001,200,126.3159
4.0519,0.0000,0.0000,0.0000,4.0517,0.0001,200,130.3714
4.1213,0.0000,0.0000,0.0000,4.1212,0.0001,200,134.4233
3.8043,0.0000,0.0000,0.0000,3.8041,0.0001,200,138.5446
4.3027,0.0000,0.0000,0.0000,4.3025,0.0001,200,142.3488
4.0550,0.0000,0.0000,0.0001,4.0548,0.0001,200,146.6515
4.1349,0.0000,0.0000,0.0000,4.1348,0.0001,200,150.7065
4.0140,0.0000,0.0000,0.0000,4.0139,0.0001,200,154.8414
4.2827,0.0000,0.0000,0.0000,4.2826,0.0001,200,158.8554
3.9489,0.0000,0.0000,0.0000,3.9487,0.0001,200,163.1381
4.3745,0.0000,0.0000,0.0000,4.3744,0.0001,200,167.0870
3.9057,0.0000,0.0000,0.0000,3.9055,0.0001,200,171.4615
4.1538,0.0000,0.0000,0.0000,4.1536,0.0001,200,175.3672
3.9698,0.0000,0.0000,0.0000,3.9696,0.0001,200,179.5210
4.1476,0.0000,0.0000,0.0000,4.1475,0.0001,200,183.4908
4.3372,0.0000,0.0000,0.0000,4.3370,0.0001,200,187.6384
4.3347,0.0000,0.0000,0.0000,4.3345,0.0001,200,191.9756
4.0156,0.0000,0.0000,0.0000,4.0155,0.0001,200,196.3103
4.4591,0.0000,0.0000,0.0000,4.4589,0.0001,200,200.3259
4.2009,0.0000,0.0000,0.0000,4.2007,0.0001,200,204.7850
4.2693,0.0000,0.0000,0.0000,4.2692,0.0001,200,208.9859
4.2682,0.0000,0.0000,0.0000,4.2680,0.0001,200,213.2552
4.2727,0.0000,0.0000,0.0000,4.2725,0.0001,200,217.5234
4.0459,0.0000,0.0000,0.0000,4.0458,0.0001,200,221.7961
4.4107,0.0000,0.0000,0.0000,4.4106,0.0001,200,225.8420
4.1646,0.0000,0.0000,0.0000,4.1645,0.0001,200,230.2527
4.1516,0.0000,0.0000,0.0000,4.1514,0.0001,200,234.4174
4.0883,0.0000,0.0000,0.0000,4.0882,0.0001,200,238.5689
4.2315,0.0000,0.0000,0.0007,4.2307,0.0001,200,242.6573
3.8531,0.0000,0.0000,0.0000,3.8529,0.0001,200,246.8888
4.4525,0.0000,0.0000,0.0000,4.4524,0.0001,200,250.7419
4.1851,0.0000,0.0000,0.0000,4.1848,0.0001,200,255.1944
4.2968,0.0000,0.0000,0.0001,4.2966,0.0001,200,259.3795
3.9719,0.0000,0.0000,0.0000,3.9718,0.0001,200,263.6763
4.3503,0.0000,0.0000,0.0000,4.3501,0.0001,200,267.6482
4.0340,0.0000,0.0000,0.0000,4.0338,0.0001,200,271.9985
4.5806,0.0000,0.0000,0.0000,4.5805,0.0001,200,276.0325
2.9896,0.0000,0.0000,0.0000,2.9894,0.0001,200,280.6131
4.7256,0.0000,0.0000,0.0000,4.7255,0.0001,200,283.6027
3.8726,0.0000,0.0000,0.0000,3.8725,0.0001,200,288.3283
4.2191,0.0000,0.0000,0.0000,4.2189,0.0001,200,292.2009
4.0624,0.0000,0.0000,0.0000,4.0622,0.0001,200,296.4200
