response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.9971,0.0280,0.0011,0.0001,1.9684,0.0002,200,0.0034
1.8969,0.0000,0.0000,0.0001,1.8967,0.0002,200,2.0005
1.9290,0.0000,0.0000,0.0000,1.9288,0.0001,200,3.8974
1.8744,0.0000,0.0000,0.0001,1.8741,0.0002,200,5.8264
1.8960,0.0000,0.0000,0.0000,1.8958,0.0001,200,7.7007
1.8857,0.0000,0.0000,0.0000,1.8856,0.0001,200,9.5967
1.8981,0.0000,0.0000,0.0000,1.8980,0.0001,200,11.4824
1.8846,0.0000,0.0000,0.0000,1.8845,0.0001,200,13.3806
1.8968,0.0000,0.0000,0.0000,1.8967,0.0001,200,15.2652
1.8806,0.0000,0.0000,0.0000,1.8805,0.0001,200,17.1620
1.8665,0.0000,0.0000,0.0000,1.8664,0.0001,200,19.0426
1.9109,0.0000,0.0000,0.0000,1.9108,0.0001,200,20.9092
1.9028,0.0000,0.0000,0.0000,1.9027,0.0001,200,22.8201
1.8480,0.0000,0.0000,0.0001,1.8478,0.0001,200,24.7229
1.8863,0.0000,0.0000,0.0000,1.8861,0.0001,200,26.5709
1.8916,0.0000,0.0000,0.0000,1.8915,0.0001,200,28.4571
1.8575,0.0000,0.0000,0.0000,1.8573,0.0001,200,30.3487
1.8799,0.0000,0.0000,0.0000,1.8798,0.0001,200,32.2062
1.8748,0.0000,0.0000,0.0000,1.8747,0.0001,200,34.0862
1.8876,0.0000,0.0000,0.0000,1.8874,0.0001,200,35.9610
1.8926,0.0000,0.0000,0.0000,1.8925,0.0001,200,37.8486
1.9408,0.0000,0.0000,0.0000,1.9406,0.0001,200,39.7412
1.8865,0.0000,0.0000,0.0000,1.8864,0.0001,200,41.6820
1.9136,0.0000,0.0000,0.0000,1.9134,0.0001,200,43.5685
1.8963,0.0000,0.0000,0.0000,1.8962,0.0001,200,45.4821
1.9069,0.0000,0.0000,0.0000,1.9067,0.0001,200,47.3784
1.8695,0.0000,0.0000,0.0000,1.8693,0.0001,200,49.2853
1.8980,0.0000,0.0000,0.0000,1.8978,0.0001,200,51.1548
1.9096,0.0000,0.0000,0.0000,1.9095,0.0001,200,53.0527
1.8573,0.0000,0.0000,0.0000,1.8571,0.0001,200,54.9623
1.8804,0.0000,0.0000,0.0000,1.8803,0.0001,200,56.8197
1.8737,0.0000,0.0000,0.0000,1.8736,0.0001,200,58.7001
1.9044,0.0000,0.0000,0.0000,1.9042,0.0001,200,60.5738
1.8870,0.0000,0.0000,0.0001,1.8868,0.0001,200,62.4781
1.8878,0.0000,0.0000,0.0000,1.8876,0.0001,200,64.3651
1.8872,0.0000,0.0000,0.0000,1.8870,0.0001,200,66.2529
1.8984,0.0000,0.0000,0.0000,1.8983,0.0001,200,68.1400
1.9104,0.0000,0.0000,0.0000,1.9102,0.0001,200,70.0384
1.9041,0.0000,0.0000,0.0000,1.9039,0.0001,200,71.9488
1.8987,0.0000,0.0000,0.0000,1.8986,0.0001,200,73.8529
1.8908,0.0000,0.0000,0.0000,1.8907,0.0001,200,75.7516
1.8596,0.0000,0.0000,0.0000,1.8595,0.0001,200,77.6424
1.8972,0.0000,0.0000,0.0000,1.8971,0.0001,200,79.5020
1.8940,0.0000,0.0000,0.0000,1.8939,0.0001,200,81.3992
1.8910,0.0000,0.0000,0.0000,1.8908,0.0001,200,83.2932
1.9494,0.0000,0.0000,0.0000,1.9493,0.0001,200,85.1842
1.9286,0.0000,0.0000,0.0000,1.9284,0.0001,200,87.1336
1.9028,0.0000,0.0000,0.0000,1.9027,0.0001,200,89.0622
1.9397,0.0000,0.0000,0.0000,1.9395,0.0001,200,90.9650
1.8819,0.0000,0.0000,0.0000,1.8818,0.0001,200,92.9047
1.8910,0.0000,0.0000,0.0000,1.8909,0.0001,200,94.7866
1.9134,0.0000,0.0000,0.0000,1.9132,0.0001,200,96.6776
1.8884,0.0000,0.0000,0.0000,1.8882,0.0001,200,98.5910
1.8954,0.0000,0.0000,0.0000,1.8953,0.0001,200,100.4794
1.9263,0.0000,0.0000,0.0000,1.9261,0.0001,200,102.3748
1.8888,0.0000,0.0000,0.0000,1.8886,0.0001,200,104.3011
1.9738,0.0000,0.0000,0.0000,1.9736,0.0001,200,106.1899
1.8813,0.0000,0.0000,0.0000,1.8811,0.0001,200,108.1637
1.8986,0.0000,0.0000,0.0000,1.8985,0.0001,200,110.0450
1.9427,0.0000,0.0000,0.0000,1.9425,0.0001,200,111.9436
1.9101,0.0000,0.0000,0.0000,1.9100,0.0001,200,113.8863
1.9080,0.0000,0.0000,0.0000,1.9078,0.0001,200,115.7964
1.9023,0.0000,0.0000,0.0000,1.9021,0.0001,200,117.7044
1.8959,0.0000,0.0000,0.0000,1.8957,0.0001,200,119.6067
1.9639,0.0000,0.0000,0.0003,1.9629,0.0001,200,121.5026
1.9068,0.0000,0.0000,0.0000,1.9066,0.0001,200,123.4665
1.8832,0.0000,0.0000,0.0000,1.8831,0.0001,200,125.3733
1.9259,0.0000,0.0000,0.0000,1.9257,0.0001,200,127.2566
1.8865,0.0000,0.0000,0.0000,1.8864,0.0001,200,129.1824
