response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
154.2879,0.0387,0.0013,0.0001,154.2490,0.0002,200,0.0009
156.5570,0.0378,0.0009,0.0000,156.5190,0.0001,200,0.0011
158.7953,0.0501,0.0014,0.0000,158.7451,0.0001,200,0.0009
161.2203,0.0719,0.0012,0.0000,161.1481,0.0001,200,0.0005
312.4656,0.0429,0.0013,0.0000,312.4225,0.0001,200,0.0009
315.3590,0.0749,0.0015,0.0000,315.2840,0.0001,200,0.0008
320.1917,0.1004,0.0015,0.0001,320.0910,0.0001,200,0.0006
320.2705,0.0708,0.0016,0.0000,320.1995,0.0000,200,0.0007
470.9431,0.0389,0.0015,0.0001,470.9040,0.0001,200,0.0008
474.0672,0.0699,0.0016,0.0001,473.9970,0.0001,200,0.0006
476.1392,0.0370,0.0014,0.0001,476.1021,0.0001,200,0.0009
479.6666,0.0711,0.0014,0.0000,479.5953,0.0001,200,0.0009
629.7906,0.0394,0.0018,0.0000,629.7511,0.0001,200,0.0006
632.8410,0.0723,0.0012,0.0000,632.7686,0.0001,200,0.0011
635.6987,0.1046,0.0011,0.0000,635.5939,0.0001,200,0.0011
639.4214,0.1053,0.0017,0.0000,639.3160,0.0001,200,0.0007
789.1896,0.0735,0.0012,0.0000,789.1159,0.0001,200,0.0010
791.1583,0.0411,0.0016,0.0001,791.1169,0.0001,200,0.0003
793.0350,0.1061,0.0015,0.0001,792.9288,0.0001,200,0.0008
794.9436,0.1066,0.0017,0.0001,794.8368,0.0001,200,0.0007
