response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.5939,0.0440,0.0013,0.0000,4.5497,0.0001,200,0.0006
4.6616,0.0687,0.0014,0.0000,4.5928,0.0001,200,0.0005
4.6644,0.0431,0.0014,0.0007,4.6206,0.0000,200,0.0006
4.6677,0.0419,0.0010,0.0000,4.6258,0.0000,200,0.0009
8.9732,0.0751,0.0012,0.0000,8.8979,0.0001,200,0.0007
8.9747,0.0433,0.0014,0.0000,8.9313,0.0001,200,0.0007
8.9800,0.0448,0.0014,0.0001,8.9350,0.0001,200,0.0004
8.9833,0.0786,0.0012,0.0000,8.9045,0.0001,200,0.0008
12.9216,0.0418,0.0009,0.0000,12.8796,0.0001,200,0.0009
13.7069,0.0450,0.0014,0.0001,13.6617,0.0001,200,0.0007
14.0847,0.0659,0.0010,0.0000,14.0187,0.0001,200,0.0009
14.0858,0.0962,0.0014,0.0000,13.9895,0.0001,200,0.0006
15.6293,0.0764,0.0014,0.0001,15.5526,0.0001,200,0.0005
18.1115,0.1021,0.0010,0.0000,18.0093,0.0001,200,0.0008
18.7144,0.1304,0.0012,0.0000,18.5838,0.0001,200,0.0008
18.7178,0.0430,0.0014,0.0001,18.6745,0.0001,200,0.0003
19.0930,0.0766,0.0011,0.0001,19.0162,0.0001,200,0.0007
20.9405,0.1355,0.0009,0.0001,20.8048,0.0001,200,0.0010
21.6151,0.1644,0.0007,0.0001,21.4504,0.0001,200,0.0009
21.6157,0.1067,0.0012,0.0001,21.5089,0.0001,200,0.0008
