response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
51.9227,0.0415,0.0014,0.0001,51.8811,0.0001,200,0.0007
52.2987,0.0605,0.0013,0.0000,52.2380,0.0001,200,0.0009
52.6359,0.0460,0.0013,0.0001,52.5896,0.0001,200,0.0009
52.8360,0.0429,0.0015,0.0000,52.7930,0.0001,200,0.0008
104.5505,0.0262,0.0010,0.0001,104.5241,0.0001,200,0.0010
104.5765,0.0662,0.0016,0.0001,104.5102,0.0001,200,0.0006
104.7218,0.0414,0.0014,0.0001,104.6802,0.0001,200,0.0009
105.0984,0.0746,0.0014,0.0000,105.0236,0.0000,200,0.0006
156.5780,0.0760,0.0012,0.0000,156.5018,0.0001,200,0.0010
157.0230,0.1096,0.0016,0.0000,156.9132,0.0001,200,0.0007
157.1544,0.0419,0.0012,0.0001,157.1124,0.0000,200,0.0009
157.1598,0.0757,0.0015,0.0000,157.0840,0.0001,200,0.0008
209.0568,0.1134,0.0015,0.0001,208.9432,0.0001,200,0.0005
209.3016,0.0424,0.0012,0.0001,209.2590,0.0001,200,0.0009
209.7481,0.0940,0.0013,0.0000,209.6540,0.0001,200,0.0009
209.9078,0.0403,0.0012,0.0001,209.8674,0.0001,200,0.0008
261.8401,0.0734,0.0016,0.0001,261.7662,0.0001,200,0.0003
261.8447,0.1055,0.0014,0.0000,261.7391,0.0001,200,0.0008
261.9434,0.1269,0.0013,0.0001,261.8160,0.0001,200,0.0003
261.9761,0.1455,0.0013,0.0000,261.8305,0.0001,200,0.0010
