response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
23.9795,0.0461,0.0013,0.0000,23.9332,0.0001,200,0.0007
23.9911,0.0446,0.0010,0.0001,23.9464,0.0001,200,0.0009
23.9935,0.0463,0.0013,0.0001,23.9471,0.0001,200,0.0007
24.0141,0.0781,0.0009,0.0000,23.9359,0.0001,200,0.0010
47.7077,0.0446,0.0010,0.0001,47.6629,0.0001,200,0.0009
47.7839,0.0649,0.0010,0.0001,47.7188,0.0000,200,0.0009
47.7892,0.0641,0.0011,0.0000,47.7250,0.0000,200,0.0008
47.8070,0.0849,0.0013,0.0001,47.7220,0.0001,200,0.0005
69.8352,0.0837,0.0013,0.0001,69.7513,0.0001,200,0.0004
71.4292,0.0449,0.0006,0.0001,71.3841,0.0001,200,0.0011
71.4850,0.1032,0.0013,0.0001,71.3816,0.0001,200,0.0007
71.5387,0.0505,0.0010,0.0001,71.4881,0.0000,200,0.0008
90.1087,0.0703,0.0013,0.0000,90.0382,0.0001,200,0.0003
94.4943,0.0308,0.0009,0.0001,94.4634,0.0001,200,0.0009
94.6998,0.1091,0.0011,0.0001,94.5906,0.0000,200,0.0010
94.7117,0.0899,0.0013,0.0000,94.6216,0.0000,200,0.0006
111.4912,0.0792,0.0010,0.0000,111.4119,0.0001,200,0.0008
114.3839,0.1194,0.0014,0.0000,114.2642,0.0002,200,0.0004
114.8496,0.0450,0.0010,0.0001,114.8044,0.0001,200,0.0011
114.8600,0.1007,0.0014,0.0000,114.7592,0.0001,200,0.0007
