response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.4712,0.0545,0.0013,0.0001,6.4164,0.0001,200,0.0006
6.5291,0.0445,0.0010,0.0000,6.4844,0.0001,200,0.0009
6.5918,0.0534,0.0013,0.0001,6.5382,0.0001,200,0.0005
6.6181,0.0554,0.0011,0.0000,6.5626,0.0001,200,0.0008
12.7600,0.0400,0.0013,0.0001,12.7198,0.0001,200,0.0007
12.7782,0.0387,0.0009,0.0001,12.7394,0.0001,200,0.0010
12.9591,0.0657,0.0007,0.0000,12.8932,0.0001,200,0.0009
12.9758,0.0901,0.0010,0.0000,12.8856,0.0000,200,0.0007
18.9894,0.0675,0.0014,0.0000,18.9217,0.0001,200,0.0004
18.9962,0.0302,0.0009,0.0001,18.9656,0.0001,200,0.0005
19.1170,0.0623,0.0009,0.0000,19.0545,0.0001,200,0.0009
19.1431,0.1136,0.0014,0.0000,19.0293,0.0001,200,0.0003
25.2648,0.1245,0.0013,0.0001,25.1401,0.0001,200,0.0006
25.2749,0.0830,0.0014,0.0000,25.1917,0.0001,200,0.0004
25.3001,0.0635,0.0011,0.0001,25.2365,0.0001,200,0.0008
25.4098,0.1242,0.0010,0.0001,25.2854,0.0001,200,0.0008
31.9715,0.1035,0.0012,0.0000,31.8678,0.0001,200,0.0007
32.3210,0.1023,0.0009,0.0001,32.2185,0.0001,200,0.0009
32.3392,0.0838,0.0013,0.0000,32.2552,0.0001,200,0.0007
32.3391,0.0334,0.0009,0.0001,32.3056,0.0000,200,0.0008
