response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2607,0.0437,0.0015,0.0000,0.2167,0.0001,500,0.0007
0.2609,0.0776,0.0015,0.0001,0.1830,0.0001,500,0.0005
0.2605,0.0282,0.0011,0.0001,0.2321,0.0000,500,0.0010
0.2607,0.0433,0.0013,0.0009,0.2164,0.0000,500,0.0008
0.2605,0.0440,0.0010,0.0000,0.2164,0.0001,500,0.0010
0.2605,0.0491,0.0010,0.0000,0.2113,0.0000,500,0.0011
0.2654,0.0636,0.0013,0.0001,0.2015,0.0001,500,0.0006
0.2694,0.0424,0.0014,0.0001,0.2267,0.0001,500,0.0004
0.2710,0.0838,0.0015,0.0001,0.1870,0.0001,500,0.0007
0.2765,0.1095,0.0014,0.0000,0.1669,0.0001,500,0.0005
0.2839,0.0430,0.0012,0.0000,0.2407,0.0001,500,0.0010
0.2847,0.0757,0.0013,0.0001,0.2088,0.0001,500,0.0009
0.2917,0.1438,0.0013,0.0001,0.1478,0.0001,500,0.0009
0.2961,0.0442,0.0008,0.0000,0.2518,0.0000,500,0.0009
0.2992,0.1087,0.0010,0.0001,0.1904,0.0000,500,0.0011
0.3045,0.1441,0.0013,0.0001,0.1602,0.0001,500,0.0008
0.3069,0.1823,0.0011,0.0000,0.1245,0.0001,500,0.0011
0.3099,0.0767,0.0011,0.0001,0.2331,0.0001,500,0.0009
0.3128,0.1627,0.0012,0.0000,0.1500,0.0000,500,0.0010
30.2864,0.0767,0.0012,0.0000,30.2096,0.0001,200,0.0010
