response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.9262,0.0304,0.0015,0.0001,9.8955,0.0002,200,0.0005
10.9539,0.0411,0.0011,0.0000,10.9126,0.0002,200,0.0009
13.2366,0.0629,0.0013,0.0000,13.1736,0.0001,200,0.0007
13.5491,0.0398,0.0009,0.0001,13.5090,0.0001,200,0.0011
21.5693,0.0463,0.0008,0.0001,21.5229,0.0001,200,0.0011
22.2167,0.0739,0.0015,0.0001,22.1425,0.0001,200,0.0005
24.8546,0.0413,0.0013,0.0001,24.8131,0.0001,200,0.0008
25.3746,0.0606,0.0009,0.0001,25.3136,0.0001,200,0.0009
32.7029,0.0812,0.0008,0.0001,32.6214,0.0002,200,0.0011
33.4835,0.0690,0.0013,0.0001,33.4143,0.0001,200,0.0006
36.1619,0.0495,0.0014,0.0000,36.1121,0.0001,200,0.0003
37.2516,0.0896,0.0015,0.0001,37.1617,0.0001,200,0.0004
43.9162,0.0748,0.0013,0.0000,43.8412,0.0001,200,0.0006
44.7831,0.0420,0.0010,0.0001,44.7409,0.0001,200,0.0008
47.3929,0.1087,0.0013,0.0001,47.2840,0.0001,200,0.0007
48.5192,0.0415,0.0007,0.0000,48.4776,0.0001,200,0.0012
54.7422,0.0747,0.0010,0.0001,54.6673,0.0001,200,0.0008
55.8519,0.1089,0.0010,0.0001,55.7428,0.0001,200,0.0010
56.7054,0.1469,0.0016,0.0000,56.5584,0.0001,200,0.0004
57.3012,0.1270,0.0011,0.0001,57.1741,0.0001,200,0.0010
