response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
27.1178,0.0607,0.0014,0.0000,27.0569,0.0001,200,0.0009
27.4364,0.0416,0.0013,0.0006,27.3940,0.0001,200,0.0008
27.4751,0.0432,0.0019,0.0000,27.4318,0.0001,200,0.0004
27.5552,0.0750,0.0012,0.0001,27.4801,0.0001,200,0.0007
52.6386,0.0414,0.0014,0.0009,52.5962,0.0001,200,0.0008
53.5392,0.0414,0.0015,0.0000,53.4975,0.0001,200,0.0003
57.3539,0.0398,0.0009,0.0000,57.3139,0.0001,200,0.0010
58.0493,0.0736,0.0013,0.0001,57.9755,0.0001,200,0.0007
79.7630,0.0727,0.0014,0.0000,79.6902,0.0001,200,0.0006
82.2627,0.0423,0.0011,0.0001,82.2202,0.0001,200,0.0007
82.2818,0.1058,0.0015,0.0002,82.1756,0.0001,200,0.0007
84.5392,0.0746,0.0017,0.0001,84.4643,0.0001,200,0.0003
107.0428,0.1074,0.0015,0.0000,106.9352,0.0001,200,0.0006
109.2568,0.0415,0.0010,0.0001,109.2152,0.0001,200,0.0010
109.3512,0.1091,0.0012,0.0000,109.2420,0.0001,200,0.0008
112.7475,0.0751,0.0013,0.0000,112.6723,0.0001,200,0.0009
137.1747,0.1109,0.0012,0.0000,137.0637,0.0001,200,0.0009
138.2548,0.0781,0.0013,0.0000,138.1767,0.0001,200,0.0007
138.3994,0.1302,0.0012,0.0000,138.2691,0.0001,200,0.0009
138.4108,0.0432,0.0011,0.0001,138.3674,0.0000,200,0.0008
