response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.1243,0.0419,0.0018,0.0001,11.0821,0.0001,200,0.0012
19.1471,0.0451,0.0022,0.0001,19.1015,0.0002,200,0.0006
28.1882,0.0450,0.0012,0.0000,28.1430,0.0001,200,0.0017
36.3301,0.0445,0.0015,0.0000,36.2854,0.0001,200,0.0015
44.6327,0.0757,0.0023,0.0000,44.5565,0.0001,200,0.0006
52.6241,0.0635,0.0022,0.0000,52.5604,0.0001,200,0.0011
60.5727,0.0749,0.0015,0.0000,60.4977,0.0001,200,0.0015
68.5554,0.0764,0.0018,0.0000,68.4789,0.0001,200,0.0013
76.5245,0.0436,0.0015,0.0001,76.4808,0.0001,200,0.0015
84.5053,0.0426,0.0025,0.0001,84.4624,0.0001,200,0.0005
92.6563,0.0428,0.0016,0.0000,92.6133,0.0001,200,0.0016
100.7481,0.0834,0.0022,0.0000,100.6645,0.0001,200,0.0012
108.6516,0.0770,0.0022,0.0000,108.5744,0.0001,200,0.0011
116.9920,0.1086,0.0024,0.0001,116.8832,0.0001,200,0.0010
125.1214,0.1093,0.0019,0.0000,125.0119,0.0001,200,0.0013
133.2119,0.0658,0.0023,0.0002,133.1457,0.0001,200,0.0011
141.6196,0.0856,0.0019,0.0001,141.5338,0.0001,200,0.0014
149.1973,0.0420,0.0016,0.0001,149.1549,0.0001,200,0.0013
156.7945,0.1251,0.0024,0.0001,156.6692,0.0001,200,0.0010
164.2887,0.1066,0.0019,0.0001,164.1820,0.0001,200,0.0012
