response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
26.3608,0.0429,0.0012,0.0002,26.3176,0.0002,200,0.0011
26.4873,0.0756,0.0013,0.0001,26.4107,0.0010,200,0.0009
26.5378,0.0448,0.0017,0.0000,26.4924,0.0006,200,0.0004
26.8741,0.0444,0.0013,0.0001,26.8295,0.0001,200,0.0010
52.5071,0.0445,0.0010,0.0000,52.4624,0.0001,200,0.0010
52.5926,0.0831,0.0015,0.0000,52.5093,0.0001,200,0.0007
52.7180,0.0613,0.0010,0.0001,52.6564,0.0002,200,0.0011
52.8482,0.0411,0.0008,0.0001,52.8069,0.0001,200,0.0012
78.8475,0.0741,0.0010,0.0001,78.7733,0.0001,200,0.0011
79.0033,0.0955,0.0012,0.0000,78.9075,0.0001,200,0.0008
79.4087,0.0435,0.0015,0.0001,79.3650,0.0001,200,0.0004
81.0731,0.0626,0.0013,0.0000,81.0104,0.0001,200,0.0008
104.8032,0.0425,0.0013,0.0000,104.7605,0.0001,200,0.0009
104.9933,0.1041,0.0015,0.0001,104.8890,0.0001,200,0.0007
105.9741,0.0850,0.0010,0.0001,105.8888,0.0001,200,0.0011
106.1505,0.0756,0.0015,0.0001,106.0747,0.0001,500,0.0007
130.8680,0.0429,0.0015,0.0001,130.8250,0.0001,200,0.0008
130.9575,0.1094,0.0011,0.0001,130.8479,0.0001,200,0.0011
131.0256,0.0767,0.0015,0.0001,130.9485,0.0001,200,0.0004
131.1210,0.1086,0.0013,0.0001,131.0122,0.0001,200,0.0009
