response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.4303,0.0442,0.0010,0.0000,8.3859,0.0001,200,0.0010
8.5486,0.0430,0.0007,0.0000,8.5055,0.0001,200,0.0012
8.6372,0.0429,0.0009,0.0002,8.5940,0.0001,200,0.0011
8.8761,0.0437,0.0009,0.0000,8.8322,0.0001,200,0.0011
16.8561,0.0830,0.0013,0.0001,16.7729,0.0001,200,0.0008
16.9830,0.0621,0.0007,0.0001,16.9208,0.0001,200,0.0012
17.0596,0.0417,0.0005,0.0000,17.0178,0.0001,200,0.0014
17.3346,0.0760,0.0007,0.0001,17.2584,0.0001,200,0.0014
25.3182,0.1088,0.0009,0.0001,25.2092,0.0001,200,0.0012
25.4499,0.0702,0.0013,0.0000,25.3796,0.0001,200,0.0008
25.6046,0.0304,0.0009,0.0001,25.5740,0.0001,200,0.0010
25.7993,0.0894,0.0007,0.0000,25.7098,0.0001,200,0.0013
33.7120,0.0506,0.0007,0.0001,33.6612,0.0001,200,0.0013
34.0695,0.1106,0.0014,0.0000,33.9588,0.0001,200,0.0007
34.3667,0.1094,0.0014,0.0000,34.2570,0.0001,200,0.0004
34.4113,0.0432,0.0014,0.0000,34.3679,0.0001,200,0.0004
41.9361,0.0759,0.0014,0.0000,41.8600,0.0001,200,0.0004
42.5439,0.1287,0.0012,0.0001,42.4150,0.0001,200,0.0009
42.5690,0.1471,0.0012,0.0000,42.4217,0.0001,200,0.0009
42.5737,0.1659,0.0014,0.0000,42.4075,0.0000,200,0.0005
