response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
17.2783,0.0620,0.0014,0.0001,17.2159,0.0002,200,0.0005
17.5015,0.0421,0.0011,0.0000,17.4593,0.0001,200,0.0007
19.1517,0.0295,0.0015,0.0001,19.1219,0.0001,200,0.0004
31.2968,0.0751,0.0012,0.0000,31.2216,0.0001,200,0.0007
35.8113,0.0627,0.0008,0.0001,35.7485,0.0001,200,0.0011
35.8808,0.0426,0.0014,0.0001,35.8380,0.0001,200,0.0007
43.5888,0.0424,0.0010,0.0000,43.5463,0.0001,200,0.0008
47.5878,0.0829,0.0008,0.0000,47.5048,0.0001,200,0.0010
56.2658,0.0763,0.0014,0.0000,56.1892,0.0001,200,0.0003
56.4309,0.0417,0.0010,0.0000,56.3890,0.0001,200,0.0008
58.2003,0.0970,0.0012,0.0000,58.1031,0.0001,200,0.0007
66.3939,0.0711,0.0008,0.0000,66.3225,0.0001,200,0.0009
70.4907,0.0926,0.0008,0.0001,70.3979,0.0001,200,0.0011
78.1073,0.0406,0.0008,0.0000,78.0666,0.0001,200,0.0010
79.9049,0.0551,0.0011,0.0001,79.8496,0.0001,200,0.0008
79.9115,0.1130,0.0011,0.0000,79.7983,0.0001,200,0.0008
88.4131,0.0762,0.0014,0.0000,88.3368,0.0001,200,0.0006
91.8457,0.1150,0.0010,0.0001,91.7305,0.0001,200,0.0009
95.5799,0.0344,0.0005,0.0001,95.5453,0.0001,200,0.0011
95.5815,0.0970,0.0012,0.0001,95.4844,0.0001,200,0.0007
