response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
14.2045,0.0435,0.0013,0.0001,14.1607,0.0001,200,0.0008
16.5221,0.0285,0.0010,0.0001,16.4933,0.0001,200,0.0005
17.3183,0.0766,0.0014,0.0001,17.2415,0.0002,200,0.0007
17.5793,0.0482,0.0014,0.0000,17.5310,0.0001,200,0.0007
24.8942,0.0480,0.0013,0.0001,24.8459,0.0001,200,0.0009
33.4537,0.0291,0.0009,0.0001,33.4245,0.0001,200,0.0011
35.9180,0.0909,0.0012,0.0000,35.8269,0.0001,200,0.0010
35.9337,0.0693,0.0012,0.0000,35.8643,0.0001,200,0.0010
36.0578,0.0768,0.0015,0.0000,35.9809,0.0001,200,0.0007
39.5121,0.0432,0.0010,0.0001,39.4687,0.0001,200,0.0010
52.8494,0.0968,0.0014,0.0001,52.7523,0.0001,200,0.0004
52.8503,0.1428,0.0013,0.0000,52.7074,0.0001,200,0.0008
53.2555,0.0764,0.0012,0.0000,53.1789,0.0001,200,0.0010
53.2668,0.0430,0.0013,0.0000,53.2237,0.0001,200,0.0009
69.9694,0.0421,0.0011,0.0001,69.9272,0.0001,200,0.0009
69.9701,0.1084,0.0010,0.0001,69.8616,0.0001,200,0.0010
70.4975,0.1113,0.0011,0.0001,70.3860,0.0001,200,0.0010
70.5045,0.0756,0.0015,0.0001,70.4286,0.0000,200,0.0005
78.4776,0.1417,0.0012,0.0001,78.3357,0.0001,200,0.0009
78.4787,0.1673,0.0013,0.0001,78.3113,0.0001,200,0.0008
