response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.3736,0.0422,0.0011,0.0000,9.3312,0.0002,200,0.0011
9.6336,0.0451,0.0015,0.0001,9.5883,0.0001,200,0.0007
9.7305,0.0429,0.0009,0.0000,9.6875,0.0001,200,0.0011
9.7393,0.0331,0.0010,0.0001,9.7061,0.0001,200,0.0010
12.9401,0.0621,0.0011,0.0001,12.8779,0.0001,200,0.0010
18.9078,0.0414,0.0010,0.0001,18.8663,0.0001,200,0.0008
18.9996,0.0746,0.0009,0.0000,18.9249,0.0001,200,0.0011
19.0294,0.0522,0.0014,0.0001,18.9770,0.0001,200,0.0008
19.1432,0.1086,0.0013,0.0001,19.0345,0.0001,200,0.0008
24.8347,0.0848,0.0014,0.0001,24.7498,0.0001,200,0.0007
28.6501,0.1194,0.0015,0.0000,28.5306,0.0001,200,0.0005
28.9755,0.0663,0.0015,0.0000,28.9090,0.0001,200,0.0006
29.0838,0.0983,0.0015,0.0000,28.9854,0.0000,200,0.0007
29.1650,0.0331,0.0010,0.0001,29.1317,0.0001,200,0.0009
31.3564,0.1259,0.0010,0.0001,31.2303,0.0001,200,0.0011
35.4650,0.0747,0.0009,0.0001,35.3902,0.0001,200,0.0011
37.5552,0.0426,0.0007,0.0000,37.5125,0.0001,200,0.0011
37.9431,0.1476,0.0014,0.0001,37.7954,0.0001,200,0.0008
38.0838,0.1280,0.0010,0.0000,37.9555,0.0001,200,0.0009
38.2119,0.1080,0.0014,0.0000,38.1037,0.0001,200,0.0005
