response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
60.3740,0.0410,0.0014,0.0001,60.3329,0.0001,200,0.0010
64.7442,0.0440,0.0016,0.0000,64.7000,0.0001,200,0.0009
64.7492,0.0427,0.0012,0.0000,64.7064,0.0000,200,0.0007
64.7624,0.0647,0.0015,0.0001,64.6975,0.0000,200,0.0003
121.2974,0.0424,0.0010,0.0010,121.2539,0.0001,200,0.0007
127.2908,0.0753,0.0012,0.0000,127.2153,0.0001,200,0.0011
129.8541,0.0771,0.0012,0.0000,129.7769,0.0001,200,0.0007
129.8976,0.0759,0.0016,0.0001,129.8215,0.0001,200,0.0008
183.1528,0.0759,0.0014,0.0011,183.0754,0.0001,200,0.0004
191.6864,0.0439,0.0013,0.0000,191.6424,0.0001,200,0.0010
195.7765,0.0428,0.0014,0.0001,195.7336,0.0001,200,0.0009
195.8397,0.0432,0.0012,0.0001,195.7962,0.0001,200,0.0007
245.6934,0.0746,0.0016,0.0000,245.6186,0.0001,200,0.0008
256.7503,0.1077,0.0013,0.0001,256.6422,0.0001,200,0.0005
261.7524,0.1090,0.0012,0.0001,261.6431,0.0001,200,0.0008
262.1642,0.1107,0.0014,0.0000,262.0532,0.0002,200,0.0007
308.6370,0.1109,0.0016,0.0000,308.5260,0.0001,200,0.0010
319.6629,0.0769,0.0016,0.0001,319.5857,0.0001,200,0.0004
325.0767,0.1315,0.0016,0.0000,324.9451,0.0001,200,0.0009
325.3667,0.0429,0.0013,0.0009,325.3228,0.0001,200,0.0007
