response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3336,0.0284,0.0013,0.0001,0.3050,0.0001,200,1.0040
0.3911,0.0284,0.0014,0.0001,0.3624,0.0001,200,1.0039
0.4182,0.0484,0.0015,0.0000,0.3695,0.0001,200,1.0039
0.4183,0.0472,0.0014,0.0000,0.3709,0.0000,200,1.0038
0.3106,0.0000,0.0000,0.0000,0.3104,0.0001,200,2.0039
0.3210,0.0000,0.0000,0.0001,0.3208,0.0001,200,2.0037
0.3465,0.0000,0.0000,0.0001,0.3463,0.0001,200,2.0039
0.3520,0.0000,0.0000,0.0000,0.3519,0.0001,200,2.0038
0.3591,0.0000,0.0000,0.0000,0.3589,0.0001,200,3.0038
0.3728,0.0000,0.0000,0.0000,0.3727,0.0001,200,3.0038
0.3811,0.0000,0.0000,0.0000,0.3810,0.0000,200,3.0037
0.3810,0.0000,0.0000,0.0000,0.3809,0.0001,200,3.0038
0.3539,0.0000,0.0000,0.0000,0.3538,0.0001,200,4.0037
0.3879,0.0000,0.0000,0.0000,0.3878,0.0001,200,4.0038
0.3883,0.0000,0.0000,0.0000,0.3882,0.0000,200,4.0037
0.3898,0.0000,0.0000,0.0001,0.3897,0.0000,200,4.0037
0.2828,0.0000,0.0000,0.0000,0.2826,0.0001,200,5.0039
0.3494,0.0000,0.0000,0.0000,0.3492,0.0001,200,5.0039
0.3716,0.0000,0.0000,0.0000,0.3714,0.0001,200,5.0039
0.3747,0.0000,0.0000,0.0000,0.3745,0.0001,200,5.0039
0.2875,0.0000,0.0000,0.0000,0.2873,0.0001,200,6.0037
0.3665,0.0000,0.0000,0.0000,0.3664,0.0001,200,6.0038
0.3665,0.0000,0.0000,0.0000,0.3665,0.0000,200,6.0038
0.3667,0.0000,0.0000,0.0000,0.3665,0.0000,200,6.0037
0.3149,0.0000,0.0000,0.0000,0.3148,0.0001,200,7.0039
0.3341,0.0000,0.0000,0.0001,0.3339,0.0001,200,7.0038
0.3650,0.0000,0.0000,0.0000,0.3648,0.0001,200,7.0039
0.3650,0.0000,0.0000,0.0000,0.3649,0.0001,200,7.0040
0.2700,0.0000,0.0000,0.0000,0.2699,0.0001,200,8.0039
0.3524,0.0000,0.0000,0.0000,0.3522,0.0001,200,8.0038
0.3593,0.0000,0.0000,0.0000,0.3592,0.0001,200,8.0038
0.3593,0.0000,0.0000,0.0000,0.3592,0.0001,200,8.0039
0.2122,0.0000,0.0000,0.0000,0.2119,0.0001,200,9.0037
0.3196,0.0000,0.0000,0.0000,0.3194,0.0001,200,9.0038
0.3250,0.0000,0.0000,0.0000,0.3248,0.0001,200,9.0037
0.3269,0.0000,0.0000,0.0000,0.3268,0.0001,200,9.0038
0.3265,0.0000,0.0000,0.0000,0.3264,0.0001,200,10.0038
0.3572,0.0000,0.0000,0.0000,0.3571,0.0001,200,10.0037
0.3626,0.0000,0.0000,0.0000,0.3625,0.0001,200,10.0038
0.3686,0.0000,0.0000,0.0000,0.3685,0.0001,200,10.0038
0.2684,0.0000,0.0000,0.0000,0.2683,0.0001,200,11.0038
0.3599,0.0000,0.0000,0.0000,0.3598,0.0001,200,11.0039
0.3600,0.0000,0.0000,0.0000,0.3599,0.0001,200,11.0039
0.3715,0.0000,0.0000,0.0000,0.3714,0.0001,200,11.0039
0.3418,0.0000,0.0000,0.0000,0.3416,0.0001,200,12.0038
0.3654,0.0000,0.0000,0.0000,0.3653,0.0001,200,12.0040
0.3705,0.0000,0.0000,0.0000,0.3704,0.0001,200,12.0040
0.3754,0.0000,0.0000,0.0000,0.3753,0.0001,200,12.0038
0.3645,0.0000,0.0000,0.0000,0.3643,0.0001,200,13.0038
0.3691,0.0000,0.0000,0.0000,0.3690,0.0000,200,13.0039
0.3820,0.0000,0.0000,0.0000,0.3820,0.0000,200,13.0039
0.3821,0.0000,0.0000,0.0000,0.3820,0.0000,200,13.0040
0.3034,0.0000,0.0000,0.0000,0.3033,0.0001,200,14.0037
0.3787,0.0000,0.0000,0.0000,0.3785,0.0001,200,14.0037
0.3788,0.0000,0.0000,0.0000,0.3786,0.0001,200,14.0037
0.3788,0.0000,0.0000,0.0000,0.3787,0.0001,200,14.0037
0.2733,0.0000,0.0000,0.0000,0.2732,0.0001,200,15.0038
0.3211,0.0000,0.0000,0.0000,0.3210,0.0001,200,15.0037
0.3458,0.0000,0.0000,0.0000,0.3456,0.0001,200,15.0037
0.3536,0.0000,0.0000,0.0000,0.3534,0.0001,200,15.0038
0.2778,0.0000,0.0000,0.0000,0.2777,0.0001,200,16.0037
0.3478,0.0000,0.0000,0.0000,0.3477,0.0001,200,16.0037
0.3642,0.0000,0.0000,0.0000,0.3640,0.0001,200,16.0037
0.3642,0.0000,0.0000,0.0000,0.3641,0.0000,200,16.0038
0.3290,0.0000,0.0000,0.0000,0.3289,0.0001,200,17.0038
0.3879,0.0000,0.0000,0.0000,0.3877,0.0001,200,17.0038
0.3881,0.0000,0.0000,0.0000,0.3879,0.0001,200,17.0037
0.3885,0.0000,0.0000,0.0000,0.3884,0.0001,200,17.0038
0.3108,0.0000,0.0000,0.0000,0.3107,0.0001,200,18.0039
0.3588,0.0000,0.0000,0.0000,0.3587,0.0000,200,18.0039
0.3692,0.0000,0.0000,0.0000,0.3691,0.0001,200,18.0038
0.3802,0.0000,0.0000,0.0000,0.3801,0.0001,200,18.0039
0.2384,0.0000,0.0000,0.0000,0.2382,0.0001,200,19.0037
0.3126,0.0000,0.0000,0.0000,0.3124,0.0001,200,19.0038
0.3127,0.0000,0.0000,0.0000,0.3126,0.0000,200,19.0038
0.3284,0.0000,0.0000,0.0000,0.3283,0.0000,200,19.0038
0.2938,0.0000,0.0000,0.0001,0.2935,0.0001,200,20.0038
