response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1043,0.0432,0.0010,0.0000,0.0609,0.0001,200,1.0070
0.1658,0.0679,0.0011,0.0001,0.0977,0.0001,200,1.0064
0.1910,0.0439,0.0008,0.0001,0.1469,0.0001,200,1.0071
0.2270,0.1021,0.0016,0.0001,0.1247,0.0000,200,1.0064
0.2714,0.0000,0.0010,0.0000,0.1668,0.0001,200,1.0068
0.2726,0.0828,0.0011,0.0001,0.1897,0.0000,200,1.0068
0.2866,0.0290,0.0014,0.0001,0.2575,0.0000,200,1.0066
0.3089,0.0438,0.0010,0.0000,0.2650,0.0000,200,1.0070
0.3395,0.0626,0.0013,0.0000,0.2767,0.0000,200,1.0062
0.3516,0.1011,0.0015,0.0000,0.2503,0.0001,200,1.0064
0.3513,0.0819,0.0014,0.0000,0.2693,0.0000,200,1.0067
0.3733,0.0483,0.0014,0.0001,0.3249,0.0001,200,1.0066
0.3736,0.0284,0.0012,0.0001,0.3446,0.0000,200,1.0064
0.3748,0.0429,0.0016,0.0001,0.3316,0.0000,200,1.0061
0.3851,0.1210,0.0012,0.0000,0.2640,0.0001,200,1.0070
0.3879,0.0629,0.0010,0.0001,0.3248,0.0001,200,1.0070
0.0975,0.0000,0.0000,0.0000,0.0974,0.0001,200,2.0068
0.1993,0.0000,0.0000,0.0000,0.1992,0.0001,200,2.0068
0.2461,0.0000,0.0000,0.0000,0.2460,0.0000,200,2.0067
0.2513,0.0000,0.0000,0.0000,0.2512,0.0000,200,2.0069
0.2513,0.0000,0.0000,0.0001,0.2511,0.0000,200,2.0070
0.2528,0.0000,0.0000,0.0000,0.2527,0.0001,200,2.0069
0.2532,0.0000,0.0000,0.0001,0.2530,0.0000,200,2.0066
0.2536,0.0000,0.0000,0.0000,0.2535,0.0000,200,2.0067
0.2639,0.0000,0.0000,0.0000,0.2637,0.0001,200,2.0066
0.2676,0.0000,0.0000,0.0000,0.2675,0.0001,200,2.0062
0.2677,0.0000,0.0000,0.0000,0.2676,0.0000,200,2.0061
0.3888,0.0000,0.0000,0.0000,0.3887,0.0001,200,2.0068
0.4136,0.0000,0.0000,0.0000,0.4135,0.0001,200,2.0069
0.4622,0.0000,0.0000,0.0000,0.4621,0.0001,200,2.0068
0.4781,0.0000,0.0000,0.0000,0.4779,0.0001,200,2.0065
0.4994,0.0000,0.0000,0.0000,0.4993,0.0001,200,2.0069
0.0602,0.0000,0.0000,0.0000,0.0600,0.0000,200,3.0069
0.2128,0.0000,0.0000,0.0000,0.2128,0.0000,200,3.0068
0.2494,0.0000,0.0000,0.0000,0.2493,0.0000,200,3.0067
0.2503,0.0000,0.0000,0.0000,0.2502,0.0000,200,3.0067
0.2507,0.0000,0.0000,0.0000,0.2506,0.0000,200,3.0068
0.2508,0.0000,0.0000,0.0000,0.2508,0.0000,200,3.0067
0.2569,0.0000,0.0000,0.0000,0.2568,0.0001,200,3.0068
0.2572,0.0000,0.0000,0.0000,0.2570,0.0000,200,3.0066
0.2717,0.0000,0.0000,0.0000,0.2715,0.0000,200,3.0061
0.3000,0.0000,0.0000,0.0000,0.3000,0.0000,200,3.0068
0.3305,0.0000,0.0000,0.0000,0.3304,0.0000,200,3.0069
0.3381,0.0000,0.0000,0.0000,0.3380,0.0000,200,3.0069
0.3452,0.0000,0.0000,0.0000,0.3451,0.0000,200,3.0068
0.3842,0.0000,0.0000,0.0000,0.3841,0.0000,200,3.0068
0.3849,0.0000,0.0000,0.0000,0.3848,0.0000,200,3.0061
0.4179,0.0000,0.0000,0.0000,0.4178,0.0000,200,3.0069
0.0644,0.0000,0.0000,0.0000,0.0643,0.0001,200,4.0067
0.2327,0.0000,0.0000,0.0001,0.2326,0.0001,200,4.0062
0.2424,0.0000,0.0000,0.0000,0.2423,0.0001,200,4.0064
0.2498,0.0000,0.0000,0.0000,0.2496,0.0001,200,4.0067
0.2520,0.0000,0.0000,0.0000,0.2518,0.0001,200,4.0067
0.2525,0.0000,0.0000,0.0000,0.2523,0.0001,200,4.0066
0.2525,0.0000,0.0000,0.0000,0.2524,0.0000,200,4.0067
0.2641,0.0000,0.0000,0.0000,0.2639,0.0001,200,4.0067
0.3138,0.0000,0.0000,0.0000,0.3137,0.0001,200,4.0068
0.3468,0.0000,0.0000,0.0000,0.3467,0.0001,200,4.0061
0.3544,0.0000,0.0000,0.0000,0.3543,0.0001,200,4.0064
0.3952,0.0000,0.0000,0.0000,0.3951,0.0001,200,4.0065
0.4022,0.0000,0.0000,0.0000,0.4021,0.0001,200,4.0066
0.4024,0.0000,0.0000,0.0001,0.4021,0.0001,200,4.0065
0.4072,0.0000,0.0000,0.0000,0.4070,0.0001,200,4.0065
0.4492,0.0000,0.0000,0.0000,0.4491,0.0001,200,4.0065
0.1285,0.0000,0.0000,0.0000,0.1284,0.0001,200,5.0064
0.1512,0.0000,0.0000,0.0000,0.1511,0.0000,200,5.0065
0.1513,0.0000,0.0000,0.0000,0.1513,0.0000,200,5.0064
0.1872,0.0000,0.0000,0.0000,0.1870,0.0001,200,5.0064
0.1873,0.0000,0.0000,0.0000,0.1873,0.0000,200,5.0064
0.2198,0.0000,0.0000,0.0000,0.2197,0.0001,200,5.0065
