response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0997,0.0297,0.0015,0.0001,0.0697,0.0001,200,1.0063
0.1100,0.0474,0.0015,0.0000,0.0623,0.0001,200,1.0063
0.1728,0.0286,0.0017,0.0001,0.1439,0.0000,200,1.0062
0.1748,0.0286,0.0016,0.0001,0.1460,0.0000,200,1.0062
0.0630,0.0000,0.0000,0.0000,0.0628,0.0001,200,2.0064
0.0643,0.0000,0.0000,0.0000,0.0641,0.0000,200,2.0062
0.0641,0.0000,0.0000,0.0000,0.0641,0.0000,200,2.0064
0.0679,0.0000,0.0000,0.0001,0.0677,0.0000,200,2.0063
0.0615,0.0000,0.0000,0.0000,0.0614,0.0001,200,3.0064
0.0681,0.0000,0.0000,0.0000,0.0680,0.0001,200,3.0065
0.1498,0.0000,0.0000,0.0000,0.1497,0.0001,200,3.0064
0.1546,0.0000,0.0000,0.0000,0.1545,0.0001,200,3.0064
0.0617,0.0000,0.0000,0.0001,0.0616,0.0001,200,4.0063
0.0636,0.0000,0.0000,0.0001,0.0634,0.0001,200,4.0062
0.1351,0.0000,0.0000,0.0000,0.1350,0.0001,200,4.0064
0.1402,0.0000,0.0000,0.0000,0.1401,0.0001,200,4.0063
0.1408,0.0000,0.0000,0.0000,0.1406,0.0001,200,5.0064
0.1483,0.0000,0.0000,0.0001,0.1481,0.0001,200,5.0064
0.1551,0.0000,0.0000,0.0000,0.1550,0.0001,200,5.0064
0.1561,0.0000,0.0000,0.0000,0.1560,0.0001,200,5.0064
0.0623,0.0000,0.0000,0.0000,0.0621,0.0001,200,6.0064
0.0635,0.0000,0.0000,0.0000,0.0633,0.0001,200,6.0062
0.1504,0.0000,0.0000,0.0000,0.1503,0.0001,200,6.0064
0.1506,0.0000,0.0000,0.0000,0.1505,0.0000,200,6.0064
0.0618,0.0000,0.0000,0.0000,0.0617,0.0001,200,7.0061
0.0625,0.0000,0.0000,0.0001,0.0624,0.0001,200,7.0063
0.1532,0.0000,0.0000,0.0000,0.1531,0.0001,200,7.0062
0.1532,0.0000,0.0000,0.0001,0.1531,0.0000,200,7.0063
0.0622,0.0000,0.0000,0.0000,0.0620,0.0000,200,8.0064
0.0657,0.0000,0.0000,0.0000,0.0656,0.0000,200,8.0064
0.1470,0.0000,0.0000,0.0000,0.1468,0.0000,200,8.0064
0.1470,0.0000,0.0000,0.0000,0.1468,0.0000,200,8.0064
0.0709,0.0000,0.0000,0.0000,0.0708,0.0001,200,9.0064
0.2512,0.0000,0.0000,0.0000,0.2511,0.0000,200,9.0064
0.2512,0.0000,0.0000,0.0000,0.2512,0.0000,200,9.0064
0.2584,0.0000,0.0000,0.0000,0.2582,0.0001,200,9.0063
0.0686,0.0000,0.0000,0.0000,0.0684,0.0001,200,10.0065
0.0721,0.0000,0.0000,0.0000,0.0719,0.0001,200,10.0065
0.1510,0.0000,0.0000,0.0001,0.1508,0.0000,200,10.0065
0.1513,0.0000,0.0000,0.0000,0.1512,0.0001,200,10.0065
0.0604,0.0000,0.0000,0.0000,0.0603,0.0001,200,11.0064
0.0661,0.0000,0.0000,0.0000,0.0660,0.0001,200,11.0064
0.1355,0.0000,0.0000,0.0000,0.1354,0.0001,200,11.0064
0.1522,0.0000,0.0000,0.0000,0.1519,0.0001,200,11.0063
0.0628,0.0000,0.0000,0.0000,0.0626,0.0001,200,12.0063
0.0709,0.0000,0.0000,0.0000,0.0708,0.0001,200,12.0064
0.1556,0.0000,0.0000,0.0000,0.1555,0.0001,200,12.0064
0.1557,0.0000,0.0000,0.0000,0.1556,0.0000,200,12.0064
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,13.0065
0.0754,0.0000,0.0000,0.0000,0.0753,0.0001,200,13.0062
