test_name, replicas, timestamp, load
float-operation, 1, 2021-12-10 13:41:25, 8
float-operation, 2, 2021-12-10 13:41:51, 8
float-operation, 3, 2021-12-10 13:41:51, 8
float-operation, 2, 2021-12-10 13:47:55, 1
float-operation, 3, 2021-12-10 13:51:51, 20
float-operation, 4, 2021-12-10 13:51:51, 20
float-operation, 5, 2021-12-10 13:52:07, 20
float-operation, 6, 2021-12-10 14:01:52, 40
float-operation, 7, 2021-12-10 14:01:52, 40
float-operation, 8, 2021-12-10 14:01:52, 40
float-operation, 9, 2021-12-10 14:01:52, 40
float-operation, 8, 2021-12-10 14:11:53, 1
float-operation, 7, 2021-12-10 14:11:53, 1
float-operation, 6, 2021-12-10 14:11:57, 1
float-operation, 5, 2021-12-10 14:16:59, 4
float-operation, 4, 2021-12-10 14:17:00, 4
float-operation, 3, 2021-12-10 14:17:00, 4
float-operation, 2, 2021-12-10 14:17:04, 4
float-operation, 1, 2021-12-10 14:17:08, 4
float-operation, 2, 2021-12-10 14:22:06, 16
float-operation, 3, 2021-12-10 14:22:06, 16
float-operation, 4, 2021-12-10 14:22:51, 16
float-operation, 3, 2021-12-10 14:31:52, 36
float-operation, 2, 2021-12-10 14:31:55, 36
float-operation, 1, 2021-12-10 14:31:57, 36
float-operation, 2, 2021-12-10 14:32:06, 36
float-operation, 3, 2021-12-10 14:32:53, 36
float-operation, 4, 2021-12-10 14:32:53, 36
float-operation, 5, 2021-12-10 14:33:08, 36
float-operation, 6, 2021-12-10 14:33:08, 36
float-operation, 7, 2021-12-10 14:34:56, 36
float-operation, 8, 2021-12-10 14:34:56, 36
float-operation, 9, 2021-12-10 14:34:56, 36
float-operation, 10, 2021-12-10 14:34:56, 36
float-operation, 9, 2021-12-10 14:41:54, 0
float-operation, 8, 2021-12-10 14:42:04, 0
float-operation, 7, 2021-12-10 14:45:59, 0
float-operation, 6, 2021-12-10 14:46:47, 0
float-operation, 5, 2021-12-10 14:46:47, 0
float-operation, 4, 2021-12-10 14:46:48, 0
float-operation, 3, 2021-12-10 14:46:55, 0
float-operation, 2, 2021-12-10 14:46:55, 0
float-operation, 1, 2021-12-10 14:47:46, 0
