response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
28.4957,0.0337,0.0016,0.0001,28.4616,0.0001,200,0.0003
29.3704,0.0273,0.0013,0.0001,29.3428,0.0002,200,0.0003
30.1990,0.0286,0.0012,0.0001,30.1701,0.0001,200,0.0003
29.5751,0.0331,0.0013,0.0001,29.5415,0.0003,200,0.0004
30.7835,0.0311,0.0013,0.0001,30.7520,0.0002,200,0.0003
28.6923,0.0343,0.0013,0.0001,28.6576,0.0002,200,0.0003
28.5651,0.0359,0.0016,0.0001,28.5287,0.0002,200,0.0003
29.2027,0.0354,0.0012,0.0001,29.1670,0.0001,200,0.0003
28.5887,0.0347,0.0010,0.0001,28.5538,0.0002,200,0.0003
29.2510,0.0338,0.0014,0.0001,29.2168,0.0001,200,0.0003
28.7802,0.0333,0.0012,0.0001,28.7466,0.0001,200,0.0003
28.6643,0.0349,0.0014,0.0001,28.6291,0.0002,200,0.0003
30.0085,0.0354,0.0011,0.0001,29.9727,0.0001,200,0.0003
28.2123,0.0286,0.0013,0.0001,28.1833,0.0001,200,0.0003
27.9499,0.0332,0.0011,0.0001,27.9164,0.0001,200,0.0003
28.0338,0.0349,0.0012,0.0001,27.9986,0.0001,200,0.0003
28.9182,0.0351,0.0013,0.0001,28.8827,0.0001,200,0.0003
27.9177,0.0290,0.0013,0.0001,27.8884,0.0001,200,0.0003
28.3347,0.0341,0.0012,0.0001,28.3002,0.0001,200,0.0003
28.3260,0.0274,0.0013,0.0001,28.2984,0.0002,200,0.0003
29.5038,0.0292,0.0015,0.0001,29.4744,0.0001,200,0.0003
29.8951,0.0341,0.0010,0.0001,29.8606,0.0002,200,0.0004
30.0685,0.0287,0.0012,0.0001,30.0395,0.0002,200,0.0004
29.6544,0.0404,0.0013,0.0001,29.6137,0.0002,200,0.0002
29.0772,0.0390,0.0014,0.0001,29.0378,0.0001,200,0.0003
29.9524,0.0371,0.0014,0.0001,29.9149,0.0002,200,0.0003
30.0459,0.0356,0.0013,0.0001,30.0101,0.0001,200,0.0003
29.9528,0.0282,0.0012,0.0001,29.9243,0.0002,200,0.0002
29.9635,0.0293,0.0014,0.0001,29.9338,0.0001,200,0.0003
29.1155,0.0267,0.0013,0.0001,29.0885,0.0002,200,0.0002
29.4242,0.0338,0.0012,0.0001,29.3902,0.0001,200,0.0002
28.1519,0.0356,0.0011,0.0001,28.1160,0.0002,200,0.0003
29.6937,0.0357,0.0014,0.0001,29.6577,0.0001,200,0.0002
30.2280,0.0289,0.0013,0.0001,30.1987,0.0002,200,0.0003
29.2732,0.0334,0.0012,0.0001,29.2395,0.0001,200,0.0003
30.3877,0.0295,0.0014,0.0001,30.3578,0.0002,200,0.0003
30.4820,0.0409,0.0012,0.0001,30.4408,0.0001,200,0.0003
28.5657,0.0278,0.0012,0.0001,28.5377,0.0001,200,0.0003
28.6629,0.0336,0.0010,0.0001,28.6289,0.0002,200,0.0004
29.6120,0.0377,0.0012,0.0001,29.5739,0.0002,200,0.0003
28.5661,0.0382,0.0011,0.0001,28.5276,0.0002,200,0.0002
27.7083,0.0325,0.0013,0.0001,27.6755,0.0002,200,0.0003
29.7211,0.0369,0.0011,0.0001,29.6838,0.0001,200,0.0003
28.5550,0.0356,0.0011,0.0001,28.5191,0.0002,200,0.0002
30.0250,0.0366,0.0010,0.0001,29.9881,0.0001,200,0.0003
29.4969,0.0343,0.0012,0.0001,29.4623,0.0002,200,0.0002
30.0285,0.0352,0.0012,0.0001,29.9930,0.0001,200,0.0003
28.5133,0.0293,0.0013,0.0001,28.4835,0.0002,200,0.0003
28.7941,0.0338,0.0013,0.0001,28.7600,0.0002,200,0.0002
29.9755,0.0285,0.0011,0.0001,29.9467,0.0001,200,0.0003
28.2095,0.0346,0.0018,0.0001,28.1745,0.0002,200,0.0003
28.0009,0.0354,0.0012,0.0001,27.9651,0.0002,200,0.0003
28.6334,0.0354,0.0013,0.0001,28.5976,0.0002,200,0.0003
29.0909,0.0357,0.0012,0.0001,29.0548,0.0001,200,0.0003
29.3101,0.0348,0.0014,0.0001,29.2749,0.0001,200,0.0003
28.9611,0.0296,0.0014,0.0001,28.9312,0.0001,200,0.0002
29.2322,0.0370,0.0012,0.0001,29.1949,0.0001,200,0.0003
28.6064,0.0335,0.0013,0.0001,28.5724,0.0001,200,0.0003
30.6931,0.0285,0.0012,0.0001,30.6644,0.0001,200,0.0003
29.4499,0.0357,0.0013,0.0001,29.4137,0.0002,200,0.0003
29.0908,0.0287,0.0012,0.0001,29.0618,0.0001,200,0.0002
30.1568,0.0340,0.0013,0.0001,30.1224,0.0001,200,0.0003
28.4427,0.0283,0.0012,0.0001,28.4139,0.0001,200,0.0003
29.1020,0.0361,0.0014,0.0001,29.0654,0.0001,200,0.0003
30.2508,0.0369,0.0013,0.0001,30.2135,0.0001,200,0.0003
28.8021,0.0287,0.0012,0.0001,28.7730,0.0002,200,0.0003
28.4997,0.0360,0.0012,0.0001,28.4634,0.0001,200,0.0003
29.6022,0.0310,0.0013,0.0001,29.5707,0.0002,200,0.0003
29.2802,0.0358,0.0018,0.0001,29.2440,0.0001,200,0.0003
28.3841,0.0331,0.0010,0.0001,28.3507,0.0002,200,0.0002
28.3412,0.0277,0.0013,0.0001,28.3131,0.0002,200,0.0003
29.4341,0.0300,0.0018,0.0001,29.4037,0.0002,200,0.0003
27.7505,0.0361,0.0014,0.0001,27.7140,0.0001,200,0.0003
28.5379,0.0354,0.0014,0.0001,28.5023,0.0001,200,0.0003
27.4020,0.0349,0.0013,0.0001,27.3667,0.0001,200,0.0003
29.1304,0.0347,0.0013,0.0001,29.0952,0.0002,200,0.0003
29.8168,0.0278,0.0012,0.0001,29.7885,0.0002,200,0.0003
29.6695,0.0285,0.0013,0.0001,29.6406,0.0002,200,0.0003
29.2550,0.0293,0.0011,0.0001,29.2252,0.0001,200,0.0004
29.5151,0.0285,0.0012,0.0001,29.4864,0.0002,200,0.0002
29.4169,0.0337,0.0013,0.0001,29.3825,0.0004,200,0.0003
30.3633,0.0345,0.0012,0.0001,30.3284,0.0002,200,0.0003
29.1184,0.0361,0.0013,0.0001,29.0820,0.0002,200,0.0003
30.5395,0.0285,0.0011,0.0001,30.5107,0.0002,200,0.0003
31.0091,0.0284,0.0010,0.0001,30.9805,0.0001,200,0.0003
29.7010,0.0289,0.0015,0.0001,29.6718,0.0001,200,0.0002
29.0121,0.0351,0.0010,0.0001,28.9767,0.0001,200,0.0003
30.2990,0.0285,0.0012,0.0001,30.2702,0.0002,200,0.0003
28.5744,0.0313,0.0012,0.0001,28.5426,0.0002,200,0.0003
28.5359,0.0408,0.0012,0.0001,28.4948,0.0001,200,0.0003
29.5736,0.0279,0.0012,0.0001,29.5455,0.0002,200,0.0002
28.8828,0.0360,0.0015,0.0001,28.8464,0.0002,200,0.0003
29.0118,0.0395,0.0011,0.0001,28.9721,0.0002,200,0.0003
29.5241,0.0276,0.0012,0.0001,29.4960,0.0002,200,0.0003
28.7268,0.0289,0.0020,0.0001,28.6976,0.0002,200,0.0003
29.5708,0.0350,0.0012,0.0001,29.5356,0.0001,200,0.0003
28.9104,0.0343,0.0013,0.0001,28.8756,0.0002,200,0.0003
29.2090,0.0379,0.0013,0.0001,29.1708,0.0001,200,0.0003
29.1647,0.0307,0.0013,0.0001,29.1336,0.0002,200,0.0003
30.8999,0.0351,0.0015,0.0001,30.8645,0.0001,200,0.0003
