response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.3353,0.0287,0.0011,0.0001,8.3064,0.0002,200,0.0002
7.5662,0.0313,0.0013,0.0001,7.5344,0.0002,200,0.0004
7.9884,0.0345,0.0010,0.0001,7.9534,0.0002,200,0.0003
8.2845,0.0290,0.0011,0.0002,8.2551,0.0002,200,0.0003
6.6848,0.0281,0.0013,0.0001,6.6564,0.0001,200,0.0003
8.7848,0.0406,0.0012,0.0001,8.7439,0.0001,200,0.0003
7.6705,0.0343,0.0014,0.0001,7.6359,0.0001,200,0.0003
7.8814,0.0358,0.0013,0.0001,7.8453,0.0001,200,0.0003
7.4421,0.0299,0.0019,0.0001,7.4118,0.0002,200,0.0003
7.6606,0.0357,0.0014,0.0001,7.6245,0.0002,200,0.0003
8.1554,0.0303,0.0014,0.0001,8.1248,0.0001,200,0.0003
6.8787,0.0322,0.0013,0.0001,6.8460,0.0002,200,0.0004
8.3173,0.0401,0.0019,0.0001,8.2766,0.0002,200,0.0003
6.9748,0.0347,0.0011,0.0001,6.9398,0.0001,200,0.0004
7.7347,0.0344,0.0015,0.0001,7.6999,0.0001,200,0.0003
6.7620,0.0340,0.0015,0.0001,6.7276,0.0002,200,0.0003
7.7519,0.0291,0.0014,0.0001,7.7225,0.0001,200,0.0002
6.8385,0.0345,0.0011,0.0001,6.8037,0.0002,200,0.0003
7.1898,0.0295,0.0013,0.0002,7.1599,0.0002,200,0.0004
7.0417,0.0279,0.0012,0.0001,7.0136,0.0001,200,0.0003
6.8742,0.0352,0.0013,0.0001,6.8386,0.0002,200,0.0004
6.8763,0.0350,0.0012,0.0001,6.8410,0.0001,200,0.0003
8.3556,0.0296,0.0014,0.0001,8.3257,0.0001,200,0.0003
6.4938,0.0341,0.0012,0.0001,6.4593,0.0002,200,0.0003
7.9823,0.0338,0.0012,0.0001,7.9480,0.0002,200,0.0003
6.9533,0.0330,0.0014,0.0001,6.9199,0.0002,200,0.0004
7.0216,0.0287,0.0014,0.0001,6.9925,0.0002,200,0.0003
7.2329,0.0336,0.0013,0.0001,7.1989,0.0002,200,0.0002
8.7570,0.0360,0.0012,0.0001,8.7207,0.0001,200,0.0003
