response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
14.5065,0.0333,0.0011,0.0001,14.4730,0.0001,200,0.0003
14.3633,0.0410,0.0012,0.0001,14.3221,0.0001,200,0.0002
13.5828,0.0350,0.0010,0.0001,13.5475,0.0002,200,0.0003
14.3154,0.0331,0.0012,0.0001,14.2820,0.0001,200,0.0003
15.0917,0.0337,0.0013,0.0001,15.0576,0.0002,200,0.0003
13.1727,0.0349,0.0012,0.0001,13.1374,0.0001,200,0.0003
12.7262,0.0286,0.0013,0.0001,12.6972,0.0002,200,0.0003
14.7358,0.0349,0.0012,0.0001,14.7006,0.0001,200,0.0003
13.9841,0.0349,0.0012,0.0001,13.9489,0.0002,200,0.0003
14.6938,0.0351,0.0012,0.0001,14.6582,0.0002,200,0.0003
13.9503,0.0355,0.0012,0.0001,13.9145,0.0001,200,0.0003
14.9038,0.0278,0.0014,0.0001,14.8756,0.0001,200,0.0004
13.2999,0.0310,0.0013,0.0001,13.2685,0.0002,200,0.0003
12.9011,0.0351,0.0013,0.0001,12.8656,0.0002,200,0.0003
14.7504,0.0257,0.0011,0.0001,14.7242,0.0002,200,0.0003
13.3393,0.0340,0.0010,0.0001,13.3050,0.0001,200,0.0003
13.9600,0.0334,0.0015,0.0001,13.9263,0.0001,200,0.0003
13.3522,0.0284,0.0012,0.0001,13.3235,0.0001,200,0.0004
13.2660,0.0406,0.0013,0.0001,13.2251,0.0002,200,0.0003
13.7107,0.0317,0.0012,0.0001,13.6786,0.0002,200,0.0003
14.9808,0.0277,0.0012,0.0001,14.9527,0.0002,200,0.0003
13.1630,0.0299,0.0012,0.0001,13.1325,0.0002,200,0.0002
14.1271,0.0342,0.0013,0.0001,14.0927,0.0001,200,0.0004
14.4723,0.0317,0.0011,0.0001,14.4402,0.0001,200,0.0003
13.2351,0.0286,0.0013,0.0001,13.2062,0.0001,200,0.0003
12.9427,0.0294,0.0014,0.0001,12.9128,0.0001,200,0.0003
12.6396,0.0348,0.0013,0.0001,12.6044,0.0001,200,0.0003
13.5321,0.0286,0.0013,0.0001,13.5032,0.0001,200,0.0003
14.1908,0.0266,0.0012,0.0001,14.1639,0.0002,200,0.0002
13.6923,0.0348,0.0016,0.0001,13.6571,0.0002,200,0.0003
13.5720,0.0273,0.0012,0.0001,13.5444,0.0002,200,0.0003
13.9438,0.0335,0.0012,0.0001,13.9099,0.0002,200,0.0003
15.3578,0.0284,0.0012,0.0001,15.3291,0.0002,200,0.0003
14.3477,0.0369,0.0012,0.0001,14.3105,0.0001,200,0.0002
14.0977,0.0268,0.0013,0.0001,14.0706,0.0002,200,0.0003
13.0295,0.0357,0.0012,0.0001,12.9933,0.0002,200,0.0003
15.1443,0.0363,0.0012,0.0001,15.1077,0.0001,200,0.0003
14.2452,0.0385,0.0012,0.0001,14.2065,0.0001,200,0.0002
13.3218,0.0283,0.0012,0.0001,13.2932,0.0002,200,0.0003
13.7758,0.0351,0.0012,0.0001,13.7403,0.0002,200,0.0003
13.2484,0.0359,0.0013,0.0001,13.2122,0.0001,200,0.0003
15.0994,0.0314,0.0011,0.0001,15.0677,0.0001,200,0.0003
14.5325,0.0286,0.0012,0.0001,14.5036,0.0002,200,0.0003
13.1788,0.0308,0.0013,0.0001,13.1475,0.0002,200,0.0003
14.1148,0.0383,0.0011,0.0001,14.0760,0.0002,200,0.0003
13.3047,0.0283,0.0011,0.0001,13.2759,0.0002,200,0.0003
13.7547,0.0298,0.0019,0.0001,13.7245,0.0001,200,0.0003
14.5971,0.0366,0.0014,0.0001,14.5601,0.0001,200,0.0003
13.3093,0.0344,0.0014,0.0001,13.2745,0.0002,200,0.0003
13.1399,0.0262,0.0013,0.0001,13.1134,0.0001,200,0.0003
13.5925,0.0331,0.0013,0.0001,13.5591,0.0001,200,0.0003
13.9247,0.0285,0.0011,0.0001,13.8960,0.0001,200,0.0003
14.1858,0.0405,0.0013,0.0001,14.1448,0.0002,200,0.0003
12.8835,0.0332,0.0013,0.0001,12.8498,0.0002,200,0.0003
14.2088,0.0283,0.0013,0.0002,14.1800,0.0001,200,0.0003
14.6142,0.0293,0.0013,0.0001,14.5847,0.0001,200,0.0003
12.7137,0.0386,0.0014,0.0001,12.6747,0.0002,200,0.0003
13.3196,0.0281,0.0011,0.0001,13.2911,0.0001,200,0.0003
14.4275,0.0384,0.0012,0.0001,14.3887,0.0002,200,0.0003
14.5185,0.0344,0.0013,0.0001,14.4837,0.0001,200,0.0003
14.6191,0.0357,0.0014,0.0001,14.5830,0.0001,200,0.0003
14.1626,0.0327,0.0012,0.0001,14.1297,0.0002,200,0.0003
13.8426,0.0229,0.0015,0.0001,13.8194,0.0002,200,0.0002
14.6972,0.0341,0.0015,0.0001,14.6626,0.0001,200,0.0003
14.1895,0.0281,0.0014,0.0001,14.1610,0.0002,200,0.0003
14.8877,0.0334,0.0013,0.0001,14.8538,0.0002,200,0.0003
15.3483,0.0271,0.0012,0.0001,15.3209,0.0002,200,0.0003
12.7824,0.0343,0.0013,0.0001,12.7478,0.0001,200,0.0003
13.9249,0.0371,0.0015,0.0001,13.8873,0.0002,200,0.0004
14.3205,0.0336,0.0012,0.0001,14.2864,0.0002,200,0.0003
14.0384,0.0346,0.0013,0.0001,14.0034,0.0001,200,0.0003
13.5141,0.0277,0.0010,0.0001,13.4860,0.0002,200,0.0003
14.3712,0.0255,0.0013,0.0001,14.3454,0.0001,200,0.0003
13.8135,0.0291,0.0012,0.0001,13.7841,0.0002,200,0.0003
14.8469,0.0410,0.0012,0.0001,14.8056,0.0001,200,0.0002
13.6082,0.0387,0.0011,0.0001,13.5693,0.0001,200,0.0003
12.7444,0.0345,0.0013,0.0001,12.7096,0.0002,200,0.0003
13.9436,0.0277,0.0012,0.0001,13.9155,0.0001,200,0.0002
13.8375,0.0331,0.0011,0.0001,13.8042,0.0001,200,0.0003
13.9237,0.0287,0.0010,0.0001,13.8945,0.0002,200,0.0003
13.4566,0.0358,0.0012,0.0001,13.4204,0.0001,200,0.0003
13.2788,0.0278,0.0012,0.0001,13.2506,0.0002,200,0.0003
14.9612,0.0326,0.0015,0.0001,14.9282,0.0002,200,0.0003
13.2457,0.0358,0.0016,0.0001,13.2096,0.0001,200,0.0003
13.5777,0.0283,0.0014,0.0002,13.5488,0.0003,200,0.0003
13.9785,0.0291,0.0013,0.0001,13.9491,0.0001,200,0.0003
14.2905,0.0336,0.0013,0.0001,14.2566,0.0002,200,0.0003
13.4686,0.0279,0.0013,0.0001,13.4403,0.0002,200,0.0002
13.9631,0.0372,0.0013,0.0001,13.9256,0.0002,200,0.0003
13.1614,0.0275,0.0012,0.0001,13.1335,0.0001,200,0.0003
13.0326,0.0291,0.0014,0.0002,13.0031,0.0001,200,0.0003
13.6215,0.0345,0.0011,0.0001,13.5867,0.0001,200,0.0002
14.6553,0.0411,0.0011,0.0001,14.6137,0.0002,200,0.0003
14.6341,0.0231,0.0013,0.0001,14.6105,0.0001,200,0.0003
13.0354,0.0387,0.0013,0.0001,12.9963,0.0002,200,0.0004
13.9874,0.0339,0.0014,0.0001,13.9531,0.0001,200,0.0003
13.6286,0.0354,0.0011,0.0001,13.5928,0.0002,200,0.0003
13.8716,0.0356,0.0011,0.0001,13.8356,0.0002,200,0.0003
14.1937,0.0291,0.0014,0.0001,14.1641,0.0002,200,0.0003
12.6972,0.0339,0.0011,0.0001,12.6630,0.0001,200,0.0003
