response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.2808,0.0378,0.0013,0.0001,11.2427,0.0001,200,0.0003
10.3467,0.0325,0.0013,0.0001,10.3138,0.0001,200,0.0003
11.6176,0.0340,0.0012,0.0001,11.5832,0.0002,200,0.0003
9.7618,0.0340,0.0011,0.0001,9.7274,0.0002,200,0.0002
11.1283,0.0252,0.0012,0.0001,11.1027,0.0001,200,0.0003
11.3171,0.0284,0.0013,0.0001,11.2885,0.0001,200,0.0003
12.0067,0.0298,0.0015,0.0001,11.9764,0.0002,200,0.0003
10.1890,0.0308,0.0013,0.0001,10.1578,0.0002,200,0.0003
10.7748,0.0350,0.0011,0.0001,10.7395,0.0001,200,0.0003
11.2492,0.0291,0.0012,0.0001,11.2198,0.0001,200,0.0003
9.5590,0.0284,0.0014,0.0001,9.5304,0.0001,200,0.0003
11.8752,0.0396,0.0012,0.0001,11.8353,0.0001,200,0.0003
11.9693,0.0290,0.0014,0.0001,11.9399,0.0002,200,0.0003
11.8262,0.0283,0.0012,0.0001,11.7976,0.0001,200,0.0003
10.4282,0.0280,0.0013,0.0001,10.3998,0.0003,200,0.0003
11.3235,0.0311,0.0013,0.0001,11.2921,0.0001,200,0.0003
9.5463,0.0271,0.0012,0.0001,9.5188,0.0002,200,0.0003
10.6023,0.0341,0.0013,0.0001,10.5678,0.0001,200,0.0003
10.1946,0.0285,0.0012,0.0002,10.1657,0.0002,200,0.0003
10.3664,0.0287,0.0012,0.0001,10.3374,0.0002,200,0.0003
11.5553,0.0279,0.0012,0.0001,11.5270,0.0002,200,0.0003
9.6116,0.0332,0.0012,0.0001,9.5781,0.0001,200,0.0003
11.1274,0.0349,0.0013,0.0001,11.0920,0.0003,200,0.0003
11.3518,0.0375,0.0013,0.0001,11.3138,0.0001,200,0.0003
10.5600,0.0290,0.0013,0.0001,10.5306,0.0002,200,0.0003
9.8825,0.0340,0.0011,0.0001,9.8482,0.0002,200,0.0003
11.3765,0.0290,0.0012,0.0001,11.3471,0.0001,200,0.0003
10.0381,0.0356,0.0012,0.0001,10.0022,0.0002,200,0.0003
11.0090,0.0318,0.0012,0.0001,10.9769,0.0001,200,0.0003
11.1322,0.0284,0.0011,0.0001,11.1033,0.0001,200,0.0003
11.6428,0.0304,0.0019,0.0001,11.6121,0.0001,200,0.0003
11.6451,0.0328,0.0013,0.0001,11.6121,0.0001,200,0.0003
9.6425,0.0359,0.0012,0.0001,9.6061,0.0002,200,0.0003
9.8058,0.0297,0.0013,0.0001,9.7757,0.0002,200,0.0003
11.4399,0.0296,0.0011,0.0001,11.4101,0.0002,200,0.0003
10.7626,0.0277,0.0012,0.0001,10.7345,0.0002,200,0.0002
11.7191,0.0348,0.0011,0.0001,11.6839,0.0002,200,0.0004
9.5742,0.0289,0.0012,0.0001,9.5450,0.0001,200,0.0003
9.8933,0.0375,0.0013,0.0001,9.8554,0.0002,200,0.0003
11.2124,0.0310,0.0012,0.0001,11.1809,0.0002,200,0.0003
11.0663,0.0285,0.0012,0.0001,11.0374,0.0002,200,0.0003
9.8916,0.0322,0.0013,0.0001,9.8589,0.0001,200,0.0003
9.8572,0.0275,0.0011,0.0001,9.8293,0.0002,200,0.0003
10.0429,0.0343,0.0012,0.0001,10.0082,0.0001,200,0.0004
11.0021,0.0293,0.0011,0.0001,10.9725,0.0001,200,0.0003
9.5979,0.0270,0.0013,0.0001,9.5705,0.0002,200,0.0003
9.9318,0.0290,0.0013,0.0001,9.9024,0.0001,200,0.0003
11.4803,0.0356,0.0011,0.0001,11.4443,0.0001,200,0.0003
10.2991,0.0379,0.0012,0.0001,10.2608,0.0001,200,0.0004
10.9823,0.0342,0.0014,0.0001,10.9478,0.0001,200,0.0003
10.0706,0.0348,0.0015,0.0001,10.0354,0.0002,200,0.0003
10.8194,0.0299,0.0015,0.0001,10.7891,0.0002,200,0.0003
11.1414,0.0292,0.0019,0.0001,11.1119,0.0002,200,0.0003
9.6228,0.0288,0.0012,0.0001,9.5935,0.0001,200,0.0003
10.6897,0.0287,0.0012,0.0001,10.6606,0.0002,200,0.0003
10.7997,0.0276,0.0012,0.0001,10.7718,0.0001,200,0.0003
10.7648,0.0303,0.0014,0.0001,10.7341,0.0002,200,0.0003
10.2151,0.0289,0.0012,0.0001,10.1857,0.0002,200,0.0003
10.5888,0.0351,0.0009,0.0001,10.5534,0.0002,200,0.0003
9.7600,0.0283,0.0013,0.0001,9.7315,0.0001,200,0.0002
9.4782,0.0284,0.0013,0.0001,9.4496,0.0001,200,0.0003
11.1650,0.0361,0.0012,0.0001,11.1286,0.0001,200,0.0003
10.4052,0.0284,0.0013,0.0001,10.3763,0.0001,200,0.0003
10.9875,0.0305,0.0013,0.0001,10.9566,0.0001,200,0.0003
10.0937,0.0283,0.0013,0.0001,10.0649,0.0002,200,0.0003
10.5933,0.0287,0.0014,0.0001,10.5644,0.0001,200,0.0002
10.4270,0.0341,0.0013,0.0001,10.3925,0.0002,200,0.0003
10.4367,0.0353,0.0012,0.0002,10.4010,0.0002,200,0.0002
11.8264,0.0267,0.0012,0.0001,11.7994,0.0001,200,0.0003
10.1388,0.0289,0.0014,0.0001,10.1094,0.0002,200,0.0003
10.7068,0.0286,0.0014,0.0001,10.6780,0.0001,200,0.0002
