response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.8653,0.0340,0.0013,0.0001,12.8310,0.0001,200,0.0003
12.5162,0.0237,0.0012,0.0001,12.4921,0.0002,200,0.0002
12.9910,0.0332,0.0013,0.0001,12.9574,0.0002,200,0.0003
13.5927,0.0338,0.0012,0.0001,13.5587,0.0001,200,0.0003
12.2305,0.0354,0.0011,0.0001,12.1947,0.0002,200,0.0002
12.5240,0.0341,0.0013,0.0001,12.4894,0.0002,200,0.0002
12.5997,0.0338,0.0011,0.0001,12.5655,0.0001,200,0.0002
11.4879,0.0287,0.0012,0.0001,11.4589,0.0002,200,0.0003
13.4156,0.0356,0.0013,0.0001,13.3797,0.0002,200,0.0002
11.3498,0.0353,0.0013,0.0001,11.3141,0.0002,200,0.0003
13.9416,0.0370,0.0011,0.0001,13.9043,0.0001,200,0.0003
12.4311,0.0284,0.0011,0.0001,12.4024,0.0001,200,0.0003
13.8236,0.0357,0.0012,0.0001,13.7875,0.0001,200,0.0003
13.1908,0.0288,0.0015,0.0001,13.1616,0.0002,200,0.0003
14.0050,0.0409,0.0016,0.0001,13.9638,0.0002,200,0.0003
13.0066,0.0292,0.0014,0.0001,12.9770,0.0002,200,0.0003
12.7287,0.0350,0.0012,0.0001,12.6933,0.0001,200,0.0003
12.8631,0.0282,0.0014,0.0001,12.8346,0.0001,200,0.0003
11.3890,0.0356,0.0015,0.0001,11.3528,0.0002,200,0.0003
12.0448,0.0291,0.0013,0.0001,12.0152,0.0002,200,0.0004
12.2676,0.0315,0.0013,0.0001,12.2358,0.0001,200,0.0003
12.6865,0.0295,0.0012,0.0001,12.6568,0.0001,200,0.0003
11.7068,0.0359,0.0012,0.0001,11.6704,0.0002,200,0.0003
12.4886,0.0355,0.0011,0.0001,12.4528,0.0001,200,0.0003
12.1979,0.0381,0.0013,0.0001,12.1596,0.0001,200,0.0002
13.6353,0.0347,0.0013,0.0001,13.6002,0.0001,200,0.0003
12.3442,0.0357,0.0013,0.0001,12.3081,0.0002,200,0.0003
12.8640,0.0330,0.0011,0.0001,12.8306,0.0001,200,0.0003
11.8342,0.0300,0.0012,0.0001,11.8039,0.0001,200,0.0003
11.8895,0.0285,0.0011,0.0001,11.8606,0.0002,200,0.0003
13.8754,0.0293,0.0019,0.0001,13.8457,0.0001,200,0.0003
12.8155,0.0373,0.0011,0.0001,12.7780,0.0001,200,0.0003
13.8996,0.0350,0.0012,0.0001,13.8642,0.0001,200,0.0003
12.4134,0.0384,0.0011,0.0001,12.3748,0.0001,200,0.0002
13.0661,0.0346,0.0013,0.0001,13.0313,0.0001,200,0.0003
13.2328,0.0359,0.0011,0.0001,13.1966,0.0002,200,0.0003
12.7956,0.0339,0.0014,0.0001,12.7613,0.0002,200,0.0003
12.4037,0.0289,0.0015,0.0002,12.3742,0.0002,200,0.0003
12.1672,0.0354,0.0012,0.0001,12.1315,0.0002,200,0.0004
12.3676,0.0375,0.0014,0.0001,12.3298,0.0001,200,0.0003
12.7701,0.0343,0.0013,0.0001,12.7353,0.0002,200,0.0003
11.3566,0.0294,0.0015,0.0001,11.3268,0.0001,200,0.0003
12.4444,0.0287,0.0012,0.0001,12.4154,0.0002,200,0.0003
12.2924,0.0376,0.0013,0.0001,12.2543,0.0003,200,0.0003
12.7911,0.0327,0.0012,0.0001,12.7580,0.0002,200,0.0003
12.6592,0.0337,0.0011,0.0001,12.6252,0.0001,200,0.0002
12.9541,0.0360,0.0011,0.0001,12.9179,0.0001,200,0.0002
13.0396,0.0254,0.0014,0.0001,13.0139,0.0002,200,0.0002
11.3068,0.0319,0.0012,0.0001,11.2744,0.0001,200,0.0003
12.8855,0.0361,0.0013,0.0001,12.8492,0.0001,200,0.0003
13.0484,0.0340,0.0014,0.0001,13.0140,0.0002,200,0.0003
13.2843,0.0286,0.0011,0.0001,13.2552,0.0002,200,0.0003
12.7210,0.0374,0.0011,0.0001,12.6833,0.0001,200,0.0003
12.7274,0.0282,0.0013,0.0001,12.6988,0.0002,200,0.0003
12.1844,0.0284,0.0013,0.0001,12.1557,0.0002,200,0.0003
11.8193,0.0402,0.0014,0.0001,11.7785,0.0002,200,0.0003
11.8746,0.0352,0.0012,0.0001,11.8391,0.0002,200,0.0003
12.7816,0.0281,0.0012,0.0001,12.7532,0.0001,200,0.0003
12.6231,0.0285,0.0012,0.0002,12.5942,0.0002,200,0.0003
12.3057,0.0288,0.0013,0.0001,12.2764,0.0002,200,0.0004
12.8331,0.0401,0.0012,0.0001,12.7926,0.0002,200,0.0003
12.8350,0.0328,0.0012,0.0001,12.8018,0.0003,200,0.0002
13.2528,0.0333,0.0012,0.0001,13.2191,0.0001,200,0.0003
12.5865,0.0367,0.0011,0.0001,12.5495,0.0001,200,0.0003
11.9626,0.0282,0.0012,0.0001,11.9341,0.0001,200,0.0002
12.1277,0.0354,0.0013,0.0001,12.0920,0.0001,200,0.0003
11.8586,0.0261,0.0022,0.0002,11.8321,0.0002,200,0.0002
12.0949,0.0296,0.0013,0.0001,12.0646,0.0004,200,0.0003
11.8895,0.0357,0.0012,0.0001,11.8534,0.0001,200,0.0004
12.3624,0.0248,0.0012,0.0001,12.3373,0.0002,200,0.0003
11.9275,0.0265,0.0014,0.0001,11.9007,0.0001,200,0.0003
12.1160,0.0290,0.0016,0.0001,12.0867,0.0001,200,0.0003
12.0408,0.0369,0.0013,0.0001,12.0035,0.0002,200,0.0003
12.8065,0.0349,0.0014,0.0001,12.7711,0.0002,200,0.0003
12.9984,0.0368,0.0011,0.0001,12.9613,0.0002,200,0.0003
11.8562,0.0282,0.0014,0.0001,11.8275,0.0002,200,0.0004
12.2918,0.0277,0.0012,0.0001,12.2638,0.0001,200,0.0003
12.0529,0.0295,0.0014,0.0001,12.0230,0.0002,200,0.0003
13.1190,0.0294,0.0013,0.0001,13.0893,0.0002,200,0.0003
12.0857,0.0292,0.0013,0.0001,12.0561,0.0002,200,0.0004
11.8765,0.0353,0.0011,0.0001,11.8408,0.0002,200,0.0003
12.0225,0.0282,0.0012,0.0001,11.9939,0.0002,200,0.0003
11.8242,0.0382,0.0012,0.0001,11.7856,0.0001,200,0.0003
12.8021,0.0362,0.0011,0.0001,12.7657,0.0001,200,0.0003
12.1752,0.0373,0.0011,0.0001,12.1375,0.0002,200,0.0003
13.3371,0.0223,0.0012,0.0001,13.3144,0.0002,200,0.0003
11.3386,0.0288,0.0013,0.0001,11.3094,0.0002,200,0.0003
15.7004,0.0289,0.0013,0.0001,15.6711,0.0002,200,0.0003
12.9477,0.0352,0.0015,0.0001,12.9122,0.0001,200,0.0003
12.2525,0.0261,0.0010,0.0001,12.2260,0.0002,200,0.0003
13.1549,0.0340,0.0015,0.0001,13.1206,0.0002,200,0.0003
11.4741,0.0392,0.0014,0.0001,11.4346,0.0001,200,0.0003
12.9806,0.0288,0.0011,0.0001,12.9513,0.0002,200,0.0003
13.5901,0.0309,0.0012,0.0001,13.5588,0.0001,200,0.0003
12.0050,0.0300,0.0011,0.0001,11.9747,0.0002,200,0.0003
12.8706,0.0359,0.0014,0.0001,12.8344,0.0001,200,0.0002
12.7402,0.0290,0.0012,0.0001,12.7109,0.0001,200,0.0003
12.2098,0.0353,0.0011,0.0001,12.1743,0.0002,200,0.0003
12.6370,0.0370,0.0013,0.0001,12.5996,0.0001,200,0.0003
12.6388,0.0345,0.0013,0.0001,12.6040,0.0002,200,0.0003
