response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
37.0824,0.0360,0.0014,0.0001,37.0460,0.0002,200,0.0004
37.0859,0.0336,0.0011,0.0001,37.0519,0.0001,200,0.0003
36.9340,0.0291,0.0015,0.0001,36.9045,0.0001,200,0.0004
37.2404,0.0304,0.0014,0.0001,37.2095,0.0002,200,0.0003
36.6661,0.0354,0.0015,0.0001,36.6302,0.0002,200,0.0003
35.9351,0.0285,0.0013,0.0001,35.9061,0.0002,200,0.0003
36.9511,0.0343,0.0013,0.0001,36.9165,0.0002,200,0.0002
36.9332,0.0293,0.0012,0.0001,36.9035,0.0002,200,0.0003
37.9576,0.0292,0.0012,0.0001,37.9280,0.0001,200,0.0003
37.6389,0.0293,0.0012,0.0001,37.6092,0.0003,200,0.0003
36.7466,0.0361,0.0015,0.0001,36.7101,0.0001,200,0.0003
37.2403,0.0355,0.0011,0.0001,37.2045,0.0001,200,0.0003
35.5305,0.0288,0.0012,0.0001,35.5014,0.0001,200,0.0003
35.7278,0.0288,0.0013,0.0001,35.6986,0.0002,200,0.0003
37.5446,0.0327,0.0011,0.0001,37.5115,0.0002,200,0.0003
36.9436,0.0339,0.0013,0.0001,36.9094,0.0001,200,0.0003
37.3399,0.0292,0.0014,0.0001,37.3104,0.0002,200,0.0004
37.2537,0.0378,0.0011,0.0001,37.2155,0.0002,200,0.0003
37.0426,0.0349,0.0010,0.0001,37.0074,0.0001,200,0.0003
36.9430,0.0272,0.0011,0.0001,36.9156,0.0001,200,0.0003
36.6391,0.0284,0.0015,0.0001,36.6104,0.0001,200,0.0002
37.0409,0.0356,0.0014,0.0001,37.0050,0.0002,200,0.0003
36.9458,0.0294,0.0012,0.0001,36.9162,0.0001,200,0.0003
36.1446,0.0356,0.0010,0.0001,36.1086,0.0001,200,0.0003
36.5360,0.0292,0.0014,0.0001,36.5066,0.0001,200,0.0003
36.9575,0.0273,0.0012,0.0001,36.9300,0.0001,200,0.0003
36.1400,0.0425,0.0012,0.0001,36.0972,0.0001,200,0.0003
35.5681,0.0331,0.0013,0.0001,35.5348,0.0001,200,0.0003
37.2375,0.0285,0.0011,0.0001,37.2087,0.0001,200,0.0003
36.4460,0.0342,0.0012,0.0001,36.4115,0.0001,200,0.0003
37.2567,0.0335,0.0014,0.0001,37.2229,0.0001,200,0.0003
36.7349,0.0276,0.0012,0.0001,36.7069,0.0001,200,0.0003
36.7342,0.0287,0.0012,0.0001,36.7053,0.0002,200,0.0003
36.5425,0.0341,0.0012,0.0001,36.5080,0.0002,200,0.0003
38.1559,0.0286,0.0012,0.0001,38.1269,0.0001,200,0.0003
37.0560,0.0355,0.0014,0.0001,37.0200,0.0002,200,0.0004
37.3355,0.0335,0.0012,0.0001,37.3016,0.0001,200,0.0004
36.9387,0.0280,0.0011,0.0001,36.9102,0.0002,200,0.0003
38.3549,0.0331,0.0012,0.0001,38.3212,0.0004,200,0.0003
36.6413,0.0360,0.0012,0.0001,36.6049,0.0001,200,0.0003
36.6421,0.0350,0.0012,0.0001,36.6068,0.0001,200,0.0003
36.8419,0.0340,0.0011,0.0001,36.8075,0.0002,200,0.0003
36.2284,0.0340,0.0013,0.0001,36.1942,0.0001,200,0.0003
37.3688,0.0347,0.0014,0.0001,37.3337,0.0002,200,0.0004
36.0238,0.0265,0.0020,0.0001,35.9967,0.0002,200,0.0003
36.5362,0.0277,0.0014,0.0001,36.5083,0.0001,200,0.0002
36.9370,0.0295,0.0011,0.0001,36.9072,0.0002,200,0.0003
36.5408,0.0360,0.0013,0.0001,36.5044,0.0001,200,0.0003
37.0419,0.0290,0.0016,0.0001,37.0124,0.0002,200,0.0003
36.9409,0.0273,0.0012,0.0001,36.9131,0.0002,200,0.0003
36.4390,0.0335,0.0012,0.0001,36.4052,0.0001,200,0.0003
36.7482,0.0414,0.0012,0.0001,36.7064,0.0002,200,0.0003
37.0352,0.0284,0.0014,0.0001,37.0064,0.0002,200,0.0004
36.5589,0.0353,0.0013,0.0001,36.5232,0.0002,200,0.0003
37.3471,0.0290,0.0012,0.0001,37.3179,0.0001,200,0.0002
37.5489,0.0367,0.0012,0.0001,37.5119,0.0001,200,0.0002
37.9522,0.0347,0.0012,0.0002,37.9171,0.0001,200,0.0003
37.0450,0.0403,0.0013,0.0001,37.0044,0.0001,200,0.0003
37.6543,0.0295,0.0013,0.0001,37.6245,0.0002,200,0.0003
35.7179,0.0268,0.0011,0.0001,35.6908,0.0001,200,0.0003
38.1601,0.0336,0.0012,0.0001,38.1261,0.0002,200,0.0003
37.6502,0.0348,0.0012,0.0001,37.6151,0.0002,200,0.0003
36.1321,0.0335,0.0011,0.0001,36.0982,0.0001,200,0.0003
38.3501,0.0285,0.0011,0.0002,38.3212,0.0002,200,0.0003
36.2388,0.0404,0.0012,0.0001,36.1982,0.0001,200,0.0003
36.2321,0.0283,0.0012,0.0001,36.2034,0.0002,200,0.0003
36.3305,0.0273,0.0013,0.0001,36.3027,0.0002,200,0.0004
36.1478,0.0404,0.0013,0.0001,36.1069,0.0002,200,0.0003
36.9464,0.0282,0.0012,0.0001,36.9179,0.0001,200,0.0003
36.5384,0.0281,0.0011,0.0001,36.5098,0.0002,200,0.0003
37.9528,0.0336,0.0012,0.0001,37.9188,0.0002,200,0.0003
36.2378,0.0393,0.0013,0.0001,36.1981,0.0002,200,0.0002
37.1389,0.0348,0.0012,0.0001,37.1038,0.0001,200,0.0003
37.0514,0.0289,0.0012,0.0001,37.0219,0.0003,200,0.0003
36.3288,0.0287,0.0013,0.0001,36.2998,0.0002,200,0.0003
37.3374,0.0291,0.0014,0.0001,37.3078,0.0002,200,0.0003
36.7467,0.0245,0.0012,0.0001,36.7218,0.0002,200,0.0003
