response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.0398,0.0354,0.0014,0.0001,9.0041,0.0001,200,0.0003
9.6756,0.0291,0.0011,0.0001,9.6462,0.0001,200,0.0002
7.9780,0.0289,0.0018,0.0001,7.9488,0.0001,200,0.0002
9.0113,0.0388,0.0012,0.0001,8.9722,0.0001,200,0.0003
8.5541,0.0330,0.0011,0.0001,8.5207,0.0001,200,0.0003
8.3505,0.0289,0.0015,0.0001,8.3211,0.0002,200,0.0004
9.1020,0.0286,0.0012,0.0001,9.0729,0.0002,200,0.0003
8.6313,0.0327,0.0012,0.0001,8.5983,0.0002,200,0.0003
8.4472,0.0291,0.0012,0.0001,8.4178,0.0002,200,0.0003
9.9843,0.0289,0.0013,0.0002,9.9550,0.0002,200,0.0003
8.4134,0.0349,0.0011,0.0001,8.3783,0.0001,200,0.0003
9.1740,0.0342,0.0012,0.0001,9.1394,0.0002,200,0.0003
9.4369,0.0348,0.0011,0.0001,9.4018,0.0002,200,0.0003
9.2489,0.0328,0.0013,0.0001,9.2156,0.0002,200,0.0003
9.3714,0.0286,0.0010,0.0001,9.3424,0.0001,200,0.0003
8.7597,0.0288,0.0012,0.0001,8.7306,0.0001,200,0.0003
8.7576,0.0254,0.0013,0.0001,8.7319,0.0001,200,0.0003
10.4413,0.0291,0.0013,0.0001,10.4118,0.0002,200,0.0003
9.5356,0.0287,0.0012,0.0001,9.5066,0.0002,200,0.0003
8.8421,0.0348,0.0012,0.0001,8.8070,0.0001,200,0.0003
10.1330,0.0360,0.0014,0.0001,10.0967,0.0002,200,0.0002
8.7004,0.0341,0.0011,0.0001,8.6659,0.0001,200,0.0003
9.6522,0.0290,0.0014,0.0001,9.6228,0.0002,200,0.0003
8.6816,0.0340,0.0011,0.0001,8.6472,0.0001,200,0.0003
10.6895,0.0363,0.0012,0.0001,10.6530,0.0002,200,0.0003
8.4324,0.0349,0.0012,0.0001,8.3972,0.0002,200,0.0003
9.2548,0.0282,0.0012,0.0001,9.2263,0.0001,200,0.0003
8.5581,0.0345,0.0011,0.0001,8.5233,0.0002,200,0.0003
10.4956,0.0346,0.0014,0.0001,10.4606,0.0002,200,0.0003
9.1380,0.0279,0.0012,0.0001,9.1097,0.0001,200,0.0004
8.4263,0.0345,0.0013,0.0001,8.3915,0.0001,200,0.0004
9.7517,0.0282,0.0011,0.0001,9.7233,0.0001,200,0.0003
9.6026,0.0291,0.0015,0.0001,9.5731,0.0002,200,0.0003
9.1569,0.0276,0.0011,0.0001,9.1290,0.0001,200,0.0003
9.2762,0.0288,0.0014,0.0001,9.2472,0.0001,200,0.0002
9.2500,0.0291,0.0013,0.0001,9.2206,0.0002,200,0.0003
8.5310,0.0293,0.0012,0.0001,8.5013,0.0001,200,0.0003
9.9181,0.0356,0.0011,0.0001,9.8822,0.0002,200,0.0003
9.2212,0.0277,0.0012,0.0001,9.1930,0.0002,200,0.0003
8.3781,0.0350,0.0013,0.0001,8.3428,0.0001,200,0.0004
8.4178,0.0278,0.0012,0.0001,8.3894,0.0002,200,0.0003
9.3104,0.0343,0.0012,0.0001,9.2757,0.0002,200,0.0002
8.6635,0.0345,0.0014,0.0001,8.6286,0.0001,200,0.0003
8.0465,0.0343,0.0012,0.0001,8.0118,0.0002,200,0.0003
9.0710,0.0363,0.0012,0.0001,9.0343,0.0002,200,0.0005
9.3317,0.0323,0.0014,0.0001,9.2990,0.0002,200,0.0002
8.5300,0.0285,0.0011,0.0001,8.5012,0.0002,200,0.0003
9.7361,0.0348,0.0013,0.0001,9.7008,0.0002,200,0.0003
9.5800,0.0342,0.0013,0.0001,9.5454,0.0002,200,0.0003
9.2409,0.0356,0.0013,0.0001,9.2049,0.0002,200,0.0003
8.3905,0.0279,0.0012,0.0001,8.3623,0.0001,200,0.0003
8.8451,0.0336,0.0010,0.0001,8.8110,0.0002,200,0.0003
8.3629,0.0278,0.0011,0.0001,8.3347,0.0002,200,0.0003
9.8374,0.0346,0.0013,0.0001,9.8025,0.0001,200,0.0003
8.5581,0.0360,0.0013,0.0001,8.5218,0.0002,200,0.0002
8.3333,0.0286,0.0013,0.0001,8.3043,0.0001,200,0.0003
8.3177,0.0275,0.0012,0.0001,8.2899,0.0001,200,0.0003
9.2446,0.0282,0.0012,0.0001,9.2160,0.0002,200,0.0002
9.9571,0.0284,0.0012,0.0001,9.9283,0.0002,200,0.0003
8.6488,0.0289,0.0013,0.0001,8.6195,0.0002,200,0.0002
8.7291,0.0284,0.0014,0.0001,8.7004,0.0001,200,0.0002
8.7290,0.0281,0.0014,0.0001,8.7005,0.0001,200,0.0003
8.0954,0.0350,0.0012,0.0001,8.0600,0.0002,200,0.0003
10.3283,0.0410,0.0014,0.0001,10.2869,0.0002,200,0.0003
8.7036,0.0348,0.0015,0.0001,8.6685,0.0002,200,0.0004
9.5560,0.0285,0.0012,0.0001,9.5271,0.0001,200,0.0003
9.6878,0.0372,0.0013,0.0001,9.6503,0.0002,200,0.0003
9.7947,0.0357,0.0011,0.0001,9.7587,0.0002,200,0.0003
8.7721,0.0276,0.0012,0.0001,8.7440,0.0002,200,0.0004
8.5969,0.0286,0.0013,0.0001,8.5679,0.0002,200,0.0003
8.8847,0.0263,0.0015,0.0001,8.8581,0.0002,200,0.0002
9.4282,0.0296,0.0011,0.0001,9.3983,0.0001,200,0.0002
9.5369,0.0299,0.0013,0.0001,9.5065,0.0001,200,0.0003
9.1251,0.0283,0.0012,0.0001,9.0962,0.0002,200,0.0002
9.7256,0.0349,0.0011,0.0001,9.6904,0.0001,200,0.0003
10.2356,0.0283,0.0012,0.0001,10.2070,0.0001,200,0.0003
9.3289,0.0245,0.0014,0.0001,9.3040,0.0002,200,0.0003
8.8503,0.0355,0.0011,0.0001,8.8144,0.0001,200,0.0003
8.1963,0.0357,0.0015,0.0001,8.1602,0.0001,200,0.0004
7.9297,0.0281,0.0011,0.0001,7.9012,0.0001,200,0.0003
9.2595,0.0357,0.0012,0.0001,9.2235,0.0001,200,0.0003
9.7824,0.0342,0.0013,0.0001,9.7478,0.0001,200,0.0004
9.5556,0.0354,0.0012,0.0001,9.5199,0.0001,200,0.0003
7.7361,0.0378,0.0015,0.0001,7.6979,0.0001,200,0.0003
8.3317,0.0367,0.0015,0.0001,8.2946,0.0002,200,0.0003
8.8305,0.0366,0.0015,0.0001,8.7936,0.0001,200,0.0003
8.7159,0.0285,0.0012,0.0001,8.6871,0.0002,200,0.0003
7.8947,0.0341,0.0011,0.0001,7.8602,0.0002,200,0.0003
9.5492,0.0278,0.0009,0.0001,9.5211,0.0002,200,0.0003
8.6848,0.0355,0.0014,0.0001,8.6490,0.0002,200,0.0003
9.1519,0.0345,0.0013,0.0001,9.1171,0.0001,200,0.0003
10.1634,0.0288,0.0014,0.0001,10.1342,0.0002,200,0.0003
8.0077,0.0375,0.0013,0.0001,7.9697,0.0002,200,0.0002
10.5774,0.0355,0.0011,0.0001,10.5417,0.0001,200,0.0004
8.8303,0.0349,0.0014,0.0001,8.7951,0.0002,200,0.0002
8.4382,0.0339,0.0013,0.0001,8.4041,0.0001,200,0.0003
8.8434,0.0349,0.0013,0.0001,8.8080,0.0002,200,0.0003
8.1944,0.0349,0.0013,0.0001,8.1592,0.0001,200,0.0003
9.5534,0.0274,0.0012,0.0001,9.5257,0.0002,200,0.0002
8.3019,0.0289,0.0012,0.0001,8.2727,0.0002,200,0.0003
