response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.0343,0.0285,0.0013,0.0001,9.0054,0.0002,200,0.0003
10.6453,0.0282,0.0013,0.0001,10.6168,0.0002,200,0.0003
10.2548,0.0296,0.0013,0.0001,10.2247,0.0002,200,0.0003
10.7281,0.0350,0.0012,0.0001,10.6927,0.0001,200,0.0004
10.2212,0.0282,0.0010,0.0001,10.1927,0.0001,200,0.0003
10.4838,0.0299,0.0012,0.0001,10.4535,0.0002,200,0.0003
10.2905,0.0369,0.0012,0.0001,10.2533,0.0001,200,0.0003
10.7766,0.0364,0.0013,0.0001,10.7398,0.0001,200,0.0003
9.6427,0.0346,0.0013,0.0001,9.6079,0.0001,200,0.0003
10.4745,0.0345,0.0013,0.0001,10.4397,0.0002,200,0.0002
11.2865,0.0336,0.0013,0.0001,11.2525,0.0002,200,0.0003
10.5866,0.0349,0.0012,0.0001,10.5513,0.0002,200,0.0003
9.8358,0.0369,0.0012,0.0001,9.7985,0.0001,200,0.0003
9.8166,0.0358,0.0013,0.0001,9.7804,0.0001,200,0.0004
8.9964,0.0318,0.0013,0.0001,8.9642,0.0002,200,0.0003
11.0675,0.0352,0.0012,0.0001,11.0320,0.0002,200,0.0003
11.1402,0.0382,0.0012,0.0001,11.1015,0.0002,200,0.0003
11.0035,0.0322,0.0013,0.0001,10.9709,0.0001,200,0.0003
11.3632,0.0340,0.0012,0.0001,11.3289,0.0002,200,0.0003
10.2006,0.0276,0.0012,0.0001,10.1727,0.0001,200,0.0003
11.3416,0.0347,0.0011,0.0001,11.3065,0.0001,200,0.0003
10.5186,0.0291,0.0011,0.0001,10.4893,0.0001,200,0.0003
10.1544,0.0356,0.0012,0.0001,10.1184,0.0001,200,0.0003
11.1925,0.0343,0.0011,0.0001,11.1578,0.0002,200,0.0003
8.8816,0.0414,0.0012,0.0001,8.8398,0.0002,200,0.0002
10.1252,0.0354,0.0012,0.0001,10.0896,0.0001,200,0.0003
9.7491,0.0380,0.0014,0.0001,9.7108,0.0001,200,0.0003
10.6035,0.0339,0.0012,0.0001,10.5692,0.0001,200,0.0003
11.0430,0.0330,0.0012,0.0001,11.0097,0.0001,200,0.0003
10.6121,0.0354,0.0012,0.0001,10.5763,0.0001,200,0.0004
9.4082,0.0284,0.0013,0.0001,9.3794,0.0002,200,0.0003
10.1452,0.0339,0.0012,0.0001,10.1110,0.0002,200,0.0002
9.9802,0.0365,0.0014,0.0001,9.9433,0.0002,200,0.0003
11.6915,0.0300,0.0010,0.0001,11.6611,0.0002,200,0.0003
11.0268,0.0296,0.0012,0.0001,10.9968,0.0002,200,0.0003
10.4145,0.0287,0.0013,0.0001,10.3854,0.0002,200,0.0002
10.3374,0.0291,0.0010,0.0001,10.3080,0.0001,200,0.0003
11.2245,0.0279,0.0013,0.0001,11.1963,0.0001,200,0.0002
10.4483,0.0392,0.0011,0.0001,10.4088,0.0001,200,0.0002
9.1273,0.0341,0.0013,0.0001,9.0929,0.0001,200,0.0003
10.8575,0.0309,0.0014,0.0001,10.8261,0.0001,200,0.0003
9.8909,0.0237,0.0013,0.0001,9.8670,0.0001,200,0.0003
9.8003,0.0305,0.0015,0.0001,9.7694,0.0001,200,0.0003
9.8127,0.0348,0.0012,0.0001,9.7776,0.0001,200,0.0002
10.2133,0.0287,0.0011,0.0001,10.1842,0.0001,200,0.0004
9.8471,0.0335,0.0011,0.0001,9.8133,0.0001,200,0.0003
10.7302,0.0280,0.0015,0.0001,10.7018,0.0002,200,0.0003
11.2037,0.0292,0.0018,0.0001,11.1742,0.0001,200,0.0003
11.2401,0.0297,0.0012,0.0001,11.2101,0.0001,200,0.0003
