response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
15.1537,0.0409,0.0013,0.0001,15.1124,0.0002,200,0.0003
14.7783,0.0385,0.0014,0.0001,14.7395,0.0002,200,0.0003
15.8049,0.0359,0.0013,0.0001,15.7687,0.0002,200,0.0003
14.6529,0.0334,0.0012,0.0001,14.6191,0.0002,200,0.0003
14.7472,0.0362,0.0011,0.0001,14.7107,0.0002,200,0.0002
15.9455,0.0288,0.0012,0.0001,15.9163,0.0001,200,0.0003
15.9101,0.0334,0.0013,0.0001,15.8763,0.0001,200,0.0004
15.1679,0.0284,0.0013,0.0001,15.1390,0.0002,200,0.0003
15.3231,0.0282,0.0013,0.0001,15.2946,0.0002,200,0.0003
15.6138,0.0292,0.0011,0.0001,15.5843,0.0001,200,0.0003
14.7750,0.0337,0.0012,0.0001,14.7410,0.0001,200,0.0003
15.0335,0.0316,0.0013,0.0001,15.0014,0.0002,200,0.0003
16.0829,0.0329,0.0012,0.0001,16.0495,0.0002,200,0.0003
16.0602,0.0281,0.0014,0.0001,16.0317,0.0001,200,0.0003
14.4598,0.0327,0.0012,0.0002,14.4266,0.0001,200,0.0004
15.9923,0.0295,0.0012,0.0001,15.9625,0.0001,200,0.0003
14.7261,0.0334,0.0013,0.0001,14.6923,0.0002,200,0.0002
15.3841,0.0279,0.0014,0.0001,15.3558,0.0001,200,0.0004
15.0986,0.0261,0.0011,0.0001,15.0723,0.0001,200,0.0003
14.5072,0.0288,0.0012,0.0001,14.4780,0.0002,200,0.0003
14.3600,0.0339,0.0011,0.0001,14.3258,0.0002,200,0.0004
13.9431,0.0353,0.0018,0.0001,13.9074,0.0001,200,0.0003
13.9818,0.0296,0.0017,0.0001,13.9519,0.0001,200,0.0003
14.7701,0.0339,0.0012,0.0001,14.7358,0.0002,200,0.0003
14.3187,0.0299,0.0012,0.0001,14.2884,0.0001,200,0.0003
15.1621,0.0369,0.0013,0.0001,15.1248,0.0001,200,0.0003
15.5014,0.0353,0.0011,0.0001,15.4659,0.0001,200,0.0003
14.8239,0.0333,0.0011,0.0001,14.7903,0.0001,200,0.0003
15.3168,0.0352,0.0013,0.0001,15.2813,0.0001,200,0.0002
14.8446,0.0310,0.0012,0.0001,14.8134,0.0001,200,0.0003
14.9012,0.0341,0.0012,0.0001,14.8667,0.0001,200,0.0003
14.4948,0.0388,0.0012,0.0001,14.4556,0.0002,200,0.0004
14.7592,0.0344,0.0014,0.0001,14.7245,0.0001,200,0.0003
14.8018,0.0367,0.0012,0.0001,14.7648,0.0001,200,0.0003
15.1026,0.0348,0.0011,0.0001,15.0674,0.0002,200,0.0003
15.2487,0.0354,0.0011,0.0001,15.2129,0.0001,200,0.0003
15.1766,0.0347,0.0011,0.0001,15.1417,0.0001,200,0.0002
14.2431,0.0306,0.0011,0.0001,14.2123,0.0001,200,0.0002
15.0655,0.0356,0.0013,0.0001,15.0297,0.0001,200,0.0002
15.6691,0.0353,0.0012,0.0001,15.6334,0.0003,200,0.0002
