response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.8271,0.0332,0.0014,0.0001,7.7936,0.0001,500,0.0003
6.2166,0.0352,0.0011,0.0001,6.1810,0.0001,500,0.0004
13.1266,0.0358,0.0011,0.0001,13.0905,0.0001,200,0.0003
14.4772,0.0325,0.0012,0.0001,14.4444,0.0001,200,0.0003
14.2973,0.0358,0.0011,0.0001,14.2611,0.0002,200,0.0003
13.1826,0.0287,0.0014,0.0001,13.1535,0.0002,200,0.0003
14.4636,0.0407,0.0012,0.0001,14.4223,0.0002,200,0.0003
13.2410,0.0342,0.0012,0.0001,13.2066,0.0001,200,0.0003
13.3975,0.0318,0.0014,0.0001,13.3654,0.0001,200,0.0002
12.6170,0.0279,0.0011,0.0002,12.5887,0.0002,200,0.0003
14.3730,0.0337,0.0012,0.0001,14.3390,0.0001,200,0.0003
12.8332,0.0351,0.0012,0.0001,12.7978,0.0001,200,0.0003
13.1739,0.0292,0.0012,0.0001,13.1443,0.0001,200,0.0003
5.5017,0.0282,0.0012,0.0001,5.4731,0.0001,500,0.0004
13.1842,0.0306,0.0013,0.0001,13.1533,0.0001,200,0.0003
12.2464,0.0362,0.0012,0.0001,12.2099,0.0001,200,0.0003
14.3151,0.0308,0.0013,0.0001,14.2838,0.0002,200,0.0003
12.7589,0.0323,0.0013,0.0001,12.7263,0.0002,200,0.0002
14.2001,0.0279,0.0012,0.0001,14.1717,0.0002,200,0.0003
13.7764,0.0333,0.0013,0.0001,13.7428,0.0001,200,0.0003
14.3002,0.0346,0.0011,0.0001,14.2652,0.0001,200,0.0003
13.1694,0.0347,0.0014,0.0001,13.1342,0.0002,200,0.0003
13.0151,0.0284,0.0013,0.0001,12.9863,0.0001,200,0.0002
12.9205,0.0366,0.0013,0.0001,12.8835,0.0002,200,0.0003
13.6812,0.0357,0.0014,0.0001,13.6451,0.0001,200,0.0003
12.8062,0.0345,0.0014,0.0001,12.7714,0.0001,200,0.0003
14.6685,0.0356,0.0012,0.0001,14.6327,0.0002,200,0.0002
5.7165,0.0321,0.0013,0.0001,5.6841,0.0001,500,0.0003
14.4004,0.0349,0.0016,0.0001,14.3651,0.0002,200,0.0003
14.3270,0.0289,0.0012,0.0001,14.2977,0.0002,200,0.0004
13.3971,0.0282,0.0011,0.0001,13.3685,0.0001,200,0.0003
14.5345,0.0386,0.0014,0.0001,14.4956,0.0001,200,0.0003
12.5404,0.0308,0.0013,0.0001,12.5091,0.0002,200,0.0003
14.3838,0.0344,0.0012,0.0001,14.3491,0.0001,200,0.0003
14.0456,0.0288,0.0012,0.0001,14.0164,0.0002,200,0.0003
12.6786,0.0284,0.0011,0.0001,12.6498,0.0002,200,0.0003
13.2686,0.0335,0.0010,0.0001,13.2347,0.0002,200,0.0004
12.4597,0.0280,0.0011,0.0001,12.4312,0.0002,200,0.0003
13.6591,0.0282,0.0012,0.0001,13.6305,0.0002,200,0.0003
14.7335,0.0282,0.0014,0.0001,14.7050,0.0001,200,0.0003
14.5337,0.0288,0.0011,0.0001,14.5045,0.0001,200,0.0003
14.2971,0.0350,0.0012,0.0001,14.2617,0.0003,200,0.0003
12.5922,0.0287,0.0012,0.0001,12.5633,0.0001,200,0.0003
14.1390,0.0297,0.0013,0.0001,14.1090,0.0001,200,0.0003
