response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.2054,0.0288,0.0012,0.0001,8.1763,0.0001,200,0.0003
7.2910,0.0286,0.0013,0.0001,7.2619,0.0002,200,0.0003
7.7882,0.0282,0.0014,0.0001,7.7597,0.0001,200,0.0003
7.6780,0.0304,0.0012,0.0001,7.6474,0.0001,200,0.0003
7.5756,0.0341,0.0013,0.0001,7.5411,0.0003,200,0.0003
8.7039,0.0344,0.0012,0.0001,8.6692,0.0002,200,0.0003
8.0271,0.0354,0.0015,0.0001,7.9912,0.0002,200,0.0003
9.0199,0.0349,0.0012,0.0001,8.9847,0.0002,200,0.0003
8.5029,0.0291,0.0012,0.0001,8.4735,0.0001,200,0.0003
6.9065,0.0353,0.0012,0.0001,6.8707,0.0001,200,0.0004
7.2576,0.0333,0.0012,0.0001,7.2239,0.0001,200,0.0002
6.9992,0.0330,0.0012,0.0001,6.9659,0.0001,200,0.0003
7.8347,0.0287,0.0015,0.0001,7.8056,0.0001,200,0.0004
7.3146,0.0285,0.0011,0.0001,7.2857,0.0001,200,0.0003
7.6854,0.0388,0.0013,0.0001,7.6463,0.0001,200,0.0003
7.5820,0.0274,0.0014,0.0001,7.5543,0.0002,200,0.0003
7.0933,0.0312,0.0015,0.0001,7.0616,0.0001,200,0.0003
8.3149,0.0280,0.0020,0.0001,8.2865,0.0002,200,0.0003
7.7871,0.0283,0.0012,0.0001,7.7583,0.0002,200,0.0003
8.3049,0.0280,0.0013,0.0001,8.2766,0.0002,200,0.0003
7.5904,0.0290,0.0013,0.0001,7.5611,0.0001,200,0.0003
8.4870,0.0357,0.0011,0.0001,8.4510,0.0002,200,0.0003
6.9803,0.0331,0.0012,0.0001,6.9468,0.0002,200,0.0003
9.1108,0.0332,0.0013,0.0001,9.0773,0.0003,200,0.0003
7.9030,0.0359,0.0012,0.0001,7.8668,0.0001,200,0.0002
8.3872,0.0286,0.0012,0.0001,8.3583,0.0002,200,0.0003
7.7121,0.0298,0.0015,0.0001,7.6818,0.0001,200,0.0003
7.0981,0.0383,0.0013,0.0001,7.0595,0.0001,200,0.0003
8.0899,0.0280,0.0014,0.0001,8.0614,0.0002,200,0.0003
7.5999,0.0359,0.0013,0.0001,7.5636,0.0002,200,0.0003
7.8007,0.0282,0.0011,0.0001,7.7722,0.0001,200,0.0003
8.7822,0.0344,0.0012,0.0001,8.7474,0.0002,200,0.0003
7.5716,0.0281,0.0011,0.0001,7.5432,0.0001,200,0.0003
8.2138,0.0345,0.0014,0.0001,8.1790,0.0001,200,0.0003
8.3538,0.0407,0.0015,0.0001,8.3128,0.0001,200,0.0002
7.3015,0.0344,0.0014,0.0001,7.2667,0.0002,200,0.0003
7.7866,0.0347,0.0015,0.0001,7.7515,0.0002,200,0.0002
7.2762,0.0349,0.0013,0.0001,7.2409,0.0002,200,0.0003
8.7791,0.0282,0.0015,0.0001,8.7505,0.0002,200,0.0003
8.3231,0.0409,0.0011,0.0001,8.2819,0.0001,200,0.0005
7.2734,0.0339,0.0012,0.0001,7.2392,0.0002,200,0.0003
7.2931,0.0357,0.0012,0.0001,7.2570,0.0002,200,0.0003
7.3710,0.0280,0.0011,0.0001,7.3426,0.0001,200,0.0003
6.9189,0.0409,0.0013,0.0001,6.8777,0.0001,200,0.0003
8.6405,0.0289,0.0012,0.0001,8.6113,0.0001,200,0.0003
8.7013,0.0345,0.0011,0.0001,8.6665,0.0001,200,0.0003
8.6005,0.0352,0.0013,0.0001,8.5649,0.0002,200,0.0003
