response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.1932,0.0343,0.0013,0.0001,9.1586,0.0002,200,0.0003
8.7024,0.0342,0.0012,0.0001,8.6679,0.0002,200,0.0003
10.2478,0.0296,0.0012,0.0001,10.2179,0.0002,200,0.0003
8.2314,0.0254,0.0011,0.0001,8.2057,0.0001,200,0.0003
9.8585,0.0345,0.0013,0.0001,9.8235,0.0002,200,0.0003
9.6601,0.0313,0.0013,0.0001,9.6284,0.0002,200,0.0002
9.9306,0.0329,0.0012,0.0001,9.8972,0.0002,200,0.0003
9.7745,0.0347,0.0014,0.0001,9.7394,0.0002,200,0.0003
9.2240,0.0311,0.0012,0.0001,9.1924,0.0003,200,0.0003
10.4575,0.0280,0.0011,0.0001,10.4291,0.0002,200,0.0003
8.6097,0.0287,0.0012,0.0001,8.5807,0.0001,200,0.0003
9.1717,0.0292,0.0014,0.0001,9.1420,0.0002,200,0.0004
9.6871,0.0350,0.0012,0.0001,9.6518,0.0001,200,0.0003
9.4512,0.0350,0.0011,0.0001,9.4158,0.0002,200,0.0003
9.5200,0.0362,0.0011,0.0001,9.4835,0.0001,200,0.0003
9.7676,0.0340,0.0013,0.0001,9.7332,0.0001,200,0.0003
9.6801,0.0408,0.0014,0.0001,9.6389,0.0001,200,0.0003
10.6662,0.0346,0.0014,0.0001,10.6312,0.0001,200,0.0003
9.3216,0.0342,0.0012,0.0001,9.2870,0.0002,200,0.0003
10.0115,0.0284,0.0013,0.0001,9.9827,0.0001,200,0.0003
9.4275,0.0349,0.0012,0.0001,9.3923,0.0001,200,0.0003
11.0607,0.0409,0.0013,0.0001,11.0194,0.0001,200,0.0002
9.7439,0.0359,0.0014,0.0001,9.7076,0.0002,200,0.0003
10.3976,0.0354,0.0013,0.0001,10.3619,0.0002,200,0.0003
9.7209,0.0361,0.0011,0.0001,9.6846,0.0001,200,0.0003
10.1208,0.0289,0.0014,0.0001,10.0917,0.0001,200,0.0003
9.0780,0.0288,0.0010,0.0001,9.0488,0.0002,200,0.0003
9.4747,0.0285,0.0015,0.0001,9.4458,0.0001,200,0.0003
10.6347,0.0348,0.0011,0.0001,10.5995,0.0001,200,0.0003
10.0989,0.0280,0.0012,0.0001,10.0705,0.0002,200,0.0003
9.5499,0.0364,0.0012,0.0001,9.5130,0.0002,200,0.0003
9.7995,0.0341,0.0012,0.0001,9.7651,0.0001,200,0.0003
8.7606,0.0360,0.0013,0.0001,8.7243,0.0001,200,0.0003
9.3294,0.0298,0.0012,0.0001,9.2993,0.0001,200,0.0003
9.1462,0.0344,0.0013,0.0001,9.1115,0.0001,200,0.0002
10.0777,0.0338,0.0013,0.0001,10.0437,0.0001,200,0.0002
9.7816,0.0361,0.0015,0.0001,9.7451,0.0002,200,0.0003
9.9689,0.0343,0.0013,0.0001,9.9341,0.0002,200,0.0003
9.1762,0.0288,0.0011,0.0001,9.1471,0.0002,200,0.0002
10.7895,0.0289,0.0011,0.0001,10.7603,0.0002,200,0.0003
11.2628,0.0280,0.0012,0.0001,11.2345,0.0001,200,0.0003
9.6980,0.0356,0.0014,0.0001,9.6621,0.0002,200,0.0003
10.3398,0.0411,0.0016,0.0001,10.2984,0.0002,200,0.0003
9.4420,0.0289,0.0013,0.0001,9.4127,0.0002,200,0.0003
10.1013,0.0363,0.0015,0.0001,10.0647,0.0002,200,0.0003
10.5760,0.0239,0.0012,0.0001,10.5517,0.0002,200,0.0003
9.9471,0.0353,0.0012,0.0001,9.9115,0.0002,200,0.0003
8.9064,0.0330,0.0014,0.0001,8.8730,0.0002,200,0.0003
10.9785,0.0351,0.0011,0.0001,10.9431,0.0002,200,0.0003
