response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.6229,0.0285,0.0013,0.0001,10.5942,0.0001,200,0.0002
9.2837,0.0343,0.0016,0.0001,9.2491,0.0002,200,0.0003
11.3360,0.0348,0.0013,0.0001,11.3008,0.0001,200,0.0003
10.8459,0.0352,0.0012,0.0001,10.8101,0.0002,200,0.0003
9.6342,0.0292,0.0013,0.0001,9.6045,0.0002,200,0.0003
11.1118,0.0408,0.0011,0.0001,11.0707,0.0001,200,0.0003
9.6431,0.0262,0.0014,0.0001,9.6165,0.0002,200,0.0003
9.8681,0.0428,0.0010,0.0001,9.8250,0.0001,200,0.0003
10.0660,0.0335,0.0012,0.0001,10.0322,0.0001,200,0.0003
9.5634,0.0280,0.0012,0.0001,9.5351,0.0002,200,0.0003
10.0994,0.0271,0.0011,0.0001,10.0720,0.0001,200,0.0003
9.5037,0.0377,0.0012,0.0001,9.4656,0.0001,200,0.0003
9.4322,0.0361,0.0017,0.0001,9.3957,0.0002,200,0.0003
9.1586,0.0342,0.0012,0.0001,9.1241,0.0001,200,0.0003
9.2395,0.0292,0.0013,0.0001,9.2099,0.0001,200,0.0003
10.2701,0.0352,0.0010,0.0001,10.2344,0.0002,200,0.0003
11.0210,0.0283,0.0013,0.0001,10.9924,0.0001,200,0.0002
9.5002,0.0283,0.0013,0.0001,9.4716,0.0001,200,0.0003
9.8229,0.0283,0.0012,0.0001,9.7943,0.0001,200,0.0004
10.1207,0.0288,0.0013,0.0001,10.0914,0.0001,200,0.0003
8.8028,0.0343,0.0012,0.0001,8.7682,0.0001,200,0.0003
9.2853,0.0342,0.0012,0.0001,9.2506,0.0002,200,0.0003
11.0910,0.0377,0.0013,0.0001,11.0531,0.0001,200,0.0003
9.5040,0.0350,0.0011,0.0001,9.4685,0.0002,200,0.0003
10.1365,0.0367,0.0012,0.0001,10.0995,0.0002,200,0.0003
10.6026,0.0342,0.0015,0.0001,10.5680,0.0003,200,0.0002
9.1366,0.0294,0.0011,0.0001,9.1070,0.0001,200,0.0003
9.8558,0.0344,0.0014,0.0001,9.8210,0.0001,200,0.0002
9.6474,0.0285,0.0012,0.0001,9.6186,0.0001,200,0.0003
9.0495,0.0281,0.0013,0.0001,9.0210,0.0001,200,0.0003
10.1923,0.0328,0.0011,0.0001,10.1591,0.0002,200,0.0002
9.3088,0.0406,0.0011,0.0001,9.2680,0.0001,200,0.0002
9.2659,0.0334,0.0012,0.0001,9.2321,0.0001,200,0.0003
8.8575,0.0282,0.0012,0.0001,8.8290,0.0001,200,0.0002
10.9285,0.0335,0.0012,0.0001,10.8946,0.0001,200,0.0003
9.9254,0.0343,0.0014,0.0002,9.8906,0.0002,200,0.0004
8.9800,0.0285,0.0012,0.0001,8.9512,0.0001,200,0.0004
9.0292,0.0347,0.0013,0.0001,8.9941,0.0002,200,0.0003
11.2488,0.0325,0.0014,0.0001,11.2159,0.0001,200,0.0003
9.1265,0.0277,0.0011,0.0001,9.0984,0.0002,200,0.0004
10.0634,0.0286,0.0011,0.0001,10.0343,0.0001,200,0.0003
9.8029,0.0325,0.0013,0.0001,9.7701,0.0001,200,0.0003
8.7722,0.0285,0.0013,0.0001,8.7432,0.0003,200,0.0003
10.2027,0.0373,0.0011,0.0001,10.1650,0.0002,200,0.0003
9.6927,0.0361,0.0018,0.0001,9.6561,0.0002,200,0.0003
10.5307,0.0255,0.0015,0.0001,10.5048,0.0002,200,0.0003
9.5111,0.0253,0.0013,0.0001,9.4855,0.0001,200,0.0003
9.9538,0.0361,0.0016,0.0001,9.9172,0.0002,200,0.0003
8.9049,0.0350,0.0014,0.0001,8.8693,0.0002,200,0.0003
8.7405,0.0351,0.0011,0.0001,8.7052,0.0001,200,0.0003
8.6753,0.0290,0.0013,0.0002,8.6457,0.0003,200,0.0003
10.1378,0.0273,0.0011,0.0001,10.1102,0.0001,200,0.0003
9.6368,0.0347,0.0013,0.0001,9.6016,0.0002,200,0.0003
9.7193,0.0281,0.0011,0.0001,9.6909,0.0001,200,0.0003
9.8984,0.0377,0.0013,0.0001,9.8603,0.0002,200,0.0003
9.3223,0.0371,0.0015,0.0001,9.2846,0.0002,200,0.0003
10.0162,0.0409,0.0011,0.0001,9.9750,0.0001,200,0.0003
9.9887,0.0354,0.0013,0.0001,9.9529,0.0001,200,0.0003
9.1249,0.0345,0.0011,0.0001,9.0901,0.0002,200,0.0003
9.8330,0.0279,0.0012,0.0001,9.8047,0.0002,200,0.0003
10.4959,0.0284,0.0018,0.0001,10.4672,0.0002,200,0.0003
9.6062,0.0350,0.0013,0.0001,9.5709,0.0001,200,0.0003
9.8261,0.0287,0.0015,0.0001,9.7970,0.0002,200,0.0003
9.3586,0.0286,0.0012,0.0001,9.3296,0.0001,200,0.0003
9.5421,0.0265,0.0011,0.0001,9.5152,0.0002,200,0.0003
10.0599,0.0269,0.0013,0.0001,10.0326,0.0001,200,0.0003
10.8060,0.0338,0.0014,0.0001,10.7718,0.0002,200,0.0003
10.6455,0.0292,0.0012,0.0001,10.6160,0.0001,200,0.0003
9.6469,0.0353,0.0012,0.0001,9.6113,0.0002,200,0.0003
10.5551,0.0342,0.0011,0.0001,10.5206,0.0001,200,0.0003
9.3867,0.0290,0.0013,0.0001,9.3573,0.0002,200,0.0004
9.4662,0.0289,0.0012,0.0001,9.4370,0.0001,200,0.0002
