response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.7845,0.0287,0.0012,0.0001,8.7555,0.0001,200,0.0003
8.5012,0.0338,0.0012,0.0001,8.4672,0.0001,200,0.0002
8.0441,0.0344,0.0011,0.0001,8.0094,0.0001,200,0.0003
7.8074,0.0282,0.0012,0.0001,7.7789,0.0002,200,0.0003
9.0300,0.0284,0.0011,0.0001,9.0010,0.0002,200,0.0003
8.3681,0.0288,0.0011,0.0001,8.3390,0.0001,200,0.0003
8.2928,0.0284,0.0012,0.0001,8.2641,0.0001,200,0.0003
8.5977,0.0281,0.0013,0.0001,8.5692,0.0002,200,0.0003
8.4021,0.0342,0.0018,0.0001,8.3676,0.0001,200,0.0003
7.9866,0.0358,0.0011,0.0001,7.9503,0.0002,200,0.0003
8.2551,0.0360,0.0012,0.0001,8.2188,0.0001,200,0.0003
8.8763,0.0271,0.0013,0.0001,8.8488,0.0002,200,0.0003
7.9830,0.0281,0.0013,0.0001,7.9543,0.0002,200,0.0003
8.0792,0.0284,0.0010,0.0001,8.0506,0.0001,200,0.0003
9.0505,0.0348,0.0013,0.0001,9.0154,0.0001,200,0.0002
9.5302,0.0337,0.0014,0.0001,9.4960,0.0002,200,0.0003
7.3569,0.0338,0.0012,0.0001,7.3229,0.0001,200,0.0002
8.5847,0.0291,0.0012,0.0001,8.5553,0.0001,200,0.0003
7.3719,0.0283,0.0011,0.0001,7.3432,0.0002,200,0.0002
6.7745,0.0361,0.0011,0.0001,6.7380,0.0001,200,0.0003
8.3839,0.0279,0.0013,0.0002,8.3554,0.0002,200,0.0003
7.9125,0.0335,0.0013,0.0001,7.8786,0.0002,200,0.0003
8.1200,0.0260,0.0013,0.0002,8.0935,0.0003,200,0.0003
7.1661,0.0290,0.0011,0.0001,7.1369,0.0002,200,0.0003
7.9715,0.0263,0.0013,0.0001,7.9448,0.0001,200,0.0003
8.4868,0.0347,0.0013,0.0001,8.4517,0.0002,200,0.0003
8.7553,0.0278,0.0013,0.0001,8.7271,0.0001,200,0.0003
9.4258,0.0344,0.0011,0.0001,9.3911,0.0002,200,0.0003
8.4713,0.0279,0.0013,0.0001,8.4431,0.0001,200,0.0003
7.8070,0.0292,0.0012,0.0001,7.7775,0.0001,200,0.0003
9.1031,0.0340,0.0013,0.0001,9.0686,0.0002,200,0.0003
8.0208,0.0345,0.0011,0.0001,7.9859,0.0002,200,0.0003
9.1656,0.0291,0.0019,0.0001,9.1362,0.0001,200,0.0003
8.6953,0.0287,0.0012,0.0001,8.6662,0.0001,200,0.0003
7.3869,0.0278,0.0013,0.0001,7.3587,0.0001,200,0.0003
7.2911,0.0283,0.0014,0.0001,7.2625,0.0001,200,0.0003
8.5829,0.0335,0.0012,0.0001,8.5490,0.0002,200,0.0003
8.5949,0.0341,0.0013,0.0001,8.5604,0.0002,200,0.0002
8.1951,0.0278,0.0010,0.0001,8.1670,0.0001,200,0.0003
8.4183,0.0341,0.0014,0.0001,8.3839,0.0002,200,0.0003
7.5728,0.0337,0.0012,0.0001,7.5388,0.0002,200,0.0004
9.4474,0.0348,0.0011,0.0001,9.4123,0.0002,200,0.0002
8.4920,0.0363,0.0011,0.0001,8.4554,0.0001,200,0.0003
7.6436,0.0334,0.0012,0.0001,7.6096,0.0003,200,0.0003
8.5481,0.0351,0.0012,0.0001,8.5126,0.0002,200,0.0003
7.8894,0.0309,0.0012,0.0001,7.8582,0.0002,200,0.0002
8.6243,0.0350,0.0011,0.0001,8.5889,0.0001,200,0.0003
8.6436,0.0284,0.0011,0.0001,8.6149,0.0001,200,0.0003
7.3791,0.0283,0.0011,0.0001,7.3505,0.0001,200,0.0003
8.2057,0.0293,0.0016,0.0001,8.1762,0.0001,200,0.0003
7.4438,0.0291,0.0014,0.0001,7.4143,0.0002,200,0.0003
8.7126,0.0355,0.0011,0.0001,8.6768,0.0002,200,0.0003
8.4494,0.0275,0.0011,0.0001,8.4216,0.0001,200,0.0003
