response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
54.0285,0.0360,0.0015,0.0001,53.9921,0.0003,200,0.0003
51.9594,0.0382,0.0014,0.0001,51.9208,0.0001,200,0.0004
53.4247,0.0354,0.0011,0.0001,53.3889,0.0002,200,0.0003
51.7067,0.0276,0.0012,0.0001,51.6788,0.0001,200,0.0003
53.9482,0.0226,0.0013,0.0001,53.9253,0.0001,200,0.0004
53.1876,0.0338,0.0018,0.0001,53.1535,0.0001,200,0.0003
53.0345,0.0276,0.0014,0.0001,53.0065,0.0001,200,0.0003
51.7357,0.0337,0.0013,0.0001,51.7016,0.0002,200,0.0003
52.7898,0.0278,0.0011,0.0001,52.7616,0.0002,200,0.0002
53.2087,0.0306,0.0011,0.0001,53.1778,0.0001,200,0.0003
52.1992,0.0354,0.0013,0.0001,52.1635,0.0001,200,0.0003
53.4842,0.0348,0.0012,0.0001,53.4487,0.0003,200,0.0003
52.0463,0.0353,0.0010,0.0001,52.0108,0.0001,200,0.0003
52.2729,0.0289,0.0012,0.0001,52.2437,0.0001,200,0.0003
52.8208,0.0283,0.0013,0.0001,52.7920,0.0003,200,0.0002
51.3918,0.0281,0.0011,0.0001,51.3634,0.0002,200,0.0002
54.0141,0.0413,0.0015,0.0001,53.9723,0.0002,200,0.0003
52.4916,0.0276,0.0014,0.0001,52.4637,0.0002,200,0.0003
52.9783,0.0367,0.0014,0.0002,52.9410,0.0003,200,0.0003
51.0826,0.0386,0.0011,0.0001,51.0437,0.0002,200,0.0003
52.6228,0.0289,0.0012,0.0001,52.5935,0.0001,200,0.0003
51.3120,0.0330,0.0013,0.0001,51.2788,0.0001,200,0.0002
52.3091,0.0288,0.0012,0.0001,52.2798,0.0001,200,0.0003
52.8874,0.0357,0.0012,0.0001,52.8514,0.0001,200,0.0003
52.8140,0.0331,0.0011,0.0001,52.7805,0.0001,200,0.0003
52.0380,0.0339,0.0012,0.0001,52.0037,0.0002,200,0.0003
52.9674,0.0287,0.0011,0.0001,52.9383,0.0002,200,0.0003
52.1652,0.0312,0.0011,0.0001,52.1336,0.0002,200,0.0003
54.1741,0.0355,0.0011,0.0001,54.1384,0.0002,200,0.0002
53.6895,0.0380,0.0011,0.0001,53.6512,0.0001,200,0.0003
52.6317,0.0292,0.0013,0.0001,52.6021,0.0002,200,0.0002
52.7075,0.0283,0.0013,0.0001,52.6789,0.0002,200,0.0003
51.3778,0.0361,0.0012,0.0001,51.3413,0.0001,200,0.0004
52.0575,0.0291,0.0013,0.0001,52.0280,0.0002,200,0.0004
53.1515,0.0285,0.0013,0.0001,53.1226,0.0001,200,0.0003
52.0067,0.0359,0.0012,0.0001,51.9705,0.0001,200,0.0003
