response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
22.7557,0.0344,0.0013,0.0001,22.7210,0.0001,200,0.0050
22.4511,0.0000,0.0000,0.0000,22.4508,0.0002,200,22.7608
22.4753,0.0000,0.0000,0.0000,22.4751,0.0001,200,45.2118
22.4550,0.0000,0.0000,0.0000,22.4549,0.0001,200,67.6871
22.6566,0.0000,0.0000,0.0000,22.6564,0.0001,200,90.1421
22.3759,0.0000,0.0000,0.0000,22.3757,0.0001,200,112.7986
22.4480,0.0000,0.0000,0.0000,22.4479,0.0001,200,135.1745
22.7019,0.0000,0.0000,0.0000,22.7018,0.0001,200,157.6225
22.5459,0.0000,0.0000,0.0000,22.5456,0.0001,200,180.3245
22.3914,0.0000,0.0000,0.0000,22.3912,0.0001,200,202.8703
22.7636,0.0000,0.0000,0.0000,22.7635,0.0001,200,225.2617
22.6567,0.0000,0.0000,0.0000,22.6566,0.0001,200,248.0254
22.4890,0.0000,0.0000,0.0002,22.4883,0.0002,200,270.6821
22.8659,0.0000,0.0000,0.0000,22.8657,0.0001,200,293.1710
